
[00:00:00.000 --> 00:00:00.200]  
[00:00:00.200 --> 00:00:00.940]   This
[00:00:00.940 --> 00:00:01.320]   show
[00:00:01.320 --> 00:00:01.650]   is
[00:00:01.650 --> 00:00:03.730]   distributed
[00:00:03.730 --> 00:00:03.810]   by
[00:00:03.810 --> 00:00:04.310]   Sun
[00:00:04.310 --> 00:00:04.530]  c
[00:00:04.530 --> 00:00:04.980]  row
[00:00:04.980 --> 00:00:05.000]  .
[00:00:05.000 --> 00:00:07.000]   Welcome
[00:00:07.000 --> 00:00:07.000]  !
[00:00:28.000 --> 00:00:28.000]  
[00:00:28.000 --> 00:00:28.390]   Welcome
[00:00:28.390 --> 00:00:28.500]   to
[00:00:28.500 --> 00:00:28.890]   episode
[00:00:28.890 --> 00:00:29.230]   11
[00:00:29.230 --> 00:00:29.400]  4
[00:00:29.400 --> 00:00:29.510]   of
[00:00:29.510 --> 00:00:29.720]   Tech
[00:00:29.720 --> 00:00:29.780]  S
[00:00:29.780 --> 00:00:30.000]  ing
[00:00:30.000 --> 00:00:30.050]  h
[00:00:30.050 --> 00:00:30.150]  ,
[00:00:30.150 --> 00:00:30.460]   hosted
[00:00:30.460 --> 00:00:30.560]   by
[00:00:30.560 --> 00:00:30.870]   myself
[00:00:30.870 --> 00:00:31.000]  ,
[00:00:31.000 --> 00:00:31.490]   Justin
[00:00:31.490 --> 00:00:31.990]   Vincent
[00:00:31.990 --> 00:00:32.140]  ,
[00:00:32.140 --> 00:00:32.360]   and
[00:00:32.360 --> 00:00:32.630]   Jason
[00:00:32.630 --> 00:00:33.000]   Roberts
[00:00:33.000 --> 00:00:33.000]  .
[00:00:33.000 --> 00:00:33.230]   So
[00:00:33.230 --> 00:00:33.800]   today
[00:00:33.800 --> 00:00:34.030]   we
[00:00:34.030 --> 00:00:34.490]   have
[00:00:34.490 --> 00:00:34.720]   on
[00:00:34.720 --> 00:00:34.950]   my
[00:00:34.950 --> 00:00:35.750]   brother
[00:00:35.750 --> 00:00:36.070]  ,
[00:00:36.070 --> 00:00:36.110]   my
[00:00:36.110 --> 00:00:36.400]   older
[00:00:36.400 --> 00:00:36.810]   brother
