
[00:00:00.000 --> 00:00:00.200]  
[00:00:00.200 --> 00:00:01.010]   Join
[00:00:01.010 --> 00:00:01.100]   myself
[00:00:01.100 --> 00:00:01.460]   and
[00:00:01.460 --> 00:00:02.010]   Jason
[00:00:02.010 --> 00:00:02.440]   at
[00:00:02.440 --> 00:00:02.780]   Micro
[00:00:02.780 --> 00:00:03.060]  Conf
[00:00:03.060 --> 00:00:03.980]   2011
[00:00:03.980 --> 00:00:04.730]   June
[00:00:04.730 --> 00:00:04.980]   6
[00:00:04.980 --> 00:00:05.400]   and
[00:00:05.400 --> 00:00:05.910]   7
[00:00:05.910 --> 00:00:06.070]   in
[00:00:06.070 --> 00:00:06.410]   Las
[00:00:06.410 --> 00:00:07.000]   Vegas
[00:00:07.000 --> 00:00:07.000]  .
[00:00:07.000 --> 00:00:07.240]   For
[00:00:07.240 --> 00:00:07.590]   more
[00:00:07.590 --> 00:00:08.450]   information
[00:00:08.450 --> 00:00:08.610]   go
[00:00:08.610 --> 00:00:08.770]   to
[00:00:08.770 --> 00:00:09.170]   micro
[00:00:09.170 --> 00:00:09.490]  conf
[00:00:09.490 --> 00:00:09.730]  .
[00:00:09.730 --> 00:00:10.000]  com
[00:00:10.000 --> 00:00:10.300]   and
[00:00:10.300 --> 00:00:10.790]   enter
[00:00:10.790 --> 00:00:11.000]   in
[00:00:11.000 --> 00:00:11.110]   "
[00:00:11.110 --> 00:00:11.220]  T
[00:00:11.220 --> 00:00:11.440]  ek
[00:00:11.440 --> 00:00:11.550]  Z
[00:00:11.550 --> 00:00:11.870]  ing
[00:00:11.870 --> 00:00:12.000]  "
[00:00:12.000 --> 00:00:12.160]   to
[00:00:12.160 --> 00:00:12.400]   get
[00:00:12.400 --> 00:00:12.480]   $
[00:00:12.480 --> 00:00:13.190]  100
[00:00:13.190 --> 00:00:13.430]   off
[00:00:13.430 --> 00:00:13.510]   a
[00:00:13.510 --> 00:00:14.000]   ticket
[00:00:14.000 --> 00:00:14.000]  .
[00:00:28.000 --> 00:00:28.000]  
[00:00:28.000 --> 00:00:28.410]   Welcome
[00:00:28.410 --> 00:00:28.520]   to
[00:00:28.520 --> 00:00:28.930]   episode
[00:00:28.930 --> 00:00:29.280]   12
[00:00:29.280 --> 00:00:29.450]  9
[00:00:29.450 --> 00:00:29.560]   of
[00:00:29.560 --> 00:00:29.730]   Tek
[00:00:29.730 --> 00:00:29.780]  Z
[00:00:29.780 --> 00:00:30.000]  ing
[00:00:30.000 --> 00:00:30.400]   hosted
[00:00:30.400 --> 00:00:30.530]   by
[00:00:30.530 --> 00:00:30.930]   myself
[00:00:30.930 --> 00:00:31.060]  ,
[00:00:31.060 --> 00:00:31.460]   Justin
[00:00:31.460 --> 00:00:31.930]   Vincent
[00:00:31.930 --> 00:00:32.130]   and
[00:00:32.130 --> 00:00:32.450]   Jason
[00:00:32.450 --> 00:00:33.000]   Roberts
[00:00:33.000 --> 00:00:33.000]  .
[00:00:33.000 --> 00:00:33.150]   On
[00:00:33.150 --> 00:00:33.360]   today
[00:00:33.360 --> 00:00:33.420]  's
[00:00:33.420 --> 00:00:33.610]   show
[00:00:33.610 --> 00:00:33.700]   we
[00:00:33.700 --> 00:00:33.840]  're
[00:00:33.840 --> 00:00:34.180]   talking
[00:00:34.180 --> 00:00:34.270]   to
[00:00:34.270 --> 00:00:34.510]   James
[00:00:34.510 --> 00:00:34.770]   Alter
[00:00:34.770 --> 00:00:34.800]  t
[00:00:34.800 --> 00:00:35.090]  ure
[00:00:35.090 --> 00:00:35.180]   for
[00:00:35.180 --> 00:00:35.360]   the
[00:00:35.360 --> 00:00:35.730]   second
[00:00:35.730 --> 00:00:36.000]   time
[00:00:36.000 --> 00:00:36.080]   who
[00:00:36.080 --> 00:00:36.130]   we
[00:00:36.130 --> 00:00:36.470]   interviewed
[00:00:36.470 --> 00:00:36.500]   in
[00:00:36.500 --> 00:00:37.150]   episode
[00:00:37.150 --> 00:00:38.000]   110
[00:00:38.000 --> 00:00:38.000]  .
[00:00:38.000 --> 00:00:38.100]   Hey
[00:00:38.100 --> 00:00:38.270]   James
[00:00:38.270 --> 00:00:38.330]  ,
[00:00:38.330 --> 00:00:38.600]   welcome
[00:00:38.600 --> 00:00:38.630]   to
[00:00:38.630 --> 00:00:38.730]   the
[00:00:38.730 --> 00:00:38.860]   show
[00:00:38.860 --> 00:00:39.000]  .
[00:00:39.000 --> 00:00:39.490]   Thanks
[00:00:39.490 --> 00:00:39.740]   for
[00:00:39.740 --> 00:00:40.230]   having
[00:00:40.230 --> 00:00:40.390]   me
[00:00:40.390 --> 00:00:40.720]   here
[00:00:40.720 --> 00:00:41.000]  .
[00:00:41.000 --> 00:00:41.040]   I
[00:00:41.040 --> 00:00:41.270]   really
[00:00:41.270 --> 00:00:41.660]   appreciate
[00:00:41.660 --> 00:00:41.890]   coming
[00:00:41.890 --> 00:00:42.000]   on
[00:00:42.000 --> 00:00:42.120]   and
[00:00:42.120 --> 00:00:42.160]   I
[00:00:42.160 --> 00:00:42.230]  'm
[00:00:42.230 --> 00:00:42.380]   glad
[00:00:42.380 --> 00:00:42.500]   you
[00:00:42.500 --> 00:00:42.690]   asked
[00:00:42.690 --> 00:00:42.770]   me
[00:00:42.770 --> 00:00:43.000]   again
[00:00:43.000 --> 00:00:43.180]  .
[00:00:43.180 --> 00:00:43.240]   I
[00:00:43.240 --> 00:00:43.420]   was
[00:00:43.420 --> 00:00:43.670]   just
[00:00:43.670 --> 00:00:43.790]   on
[00:00:43.790 --> 00:00:43.870]   a
[00:00:43.870 --> 00:00:44.220]   couple
[00:00:44.220 --> 00:00:44.590]   months
[00:00:44.590 --> 00:00:44.770]   ago
[00:00:44.770 --> 00:00:45.000]  .
[00:00:45.000 --> 00:00:45.120]   Well
[00:00:45.120 --> 00:00:45.800]   we
[00:00:45.800 --> 00:00:45.900]   had
[00:00:45.900 --> 00:00:46.300]   such
[00:00:46.300 --> 00:00:46.400]   a
[00:00:46.400 --> 00:00:46.800]   good
[00:00:46.800 --> 00:00:47.200]   time
[00:00:47.200 --> 00:00:48.420]   interviewing
[00:00:48.420 --> 00:00:48.720]   the
[00:00:48.720 --> 00:00:49.350]   first
[00:00:49.350 --> 00:00:49.630]   time
[00:00:49.630 --> 00:00:50.060]  .
[00:00:50.060 --> 00:00:50.080]   I
[00:00:50.080 --> 00:00:50.410]   knew
[00:00:50.410 --> 00:00:50.490]   I
[00:00:50.490 --> 00:00:51.100]   wanted
[00:00:51.100 --> 00:00:51.140]   to
[00:00:51.140 --> 00:00:51.380]   get
[00:00:51.380 --> 00:00:51.620]   you
[00:00:51.620 --> 00:00:52.000]   back
[00:00:52.000 --> 00:00:52.200]   and
[00:00:52.200 --> 00:00:52.330]   so
[00:00:52.330 --> 00:00:52.460]   it
[00:00:52.460 --> 00:00:52.590]  's
[00:00:52.590 --> 00:00:52.920]   great
[00:00:52.920 --> 00:00:53.080]   to
[00:00:53.080 --> 00:00:53.360]   have
[00:00:53.360 --> 00:00:53.540]   you
[00:00:53.540 --> 00:00:53.800]   here
[00:00:53.800 --> 00:00:54.000]  .
[00:00:54.000 --> 00:00:54.000]  
[00:00:54.000 --> 00:00:54.100]   I
[00:00:54.100 --> 00:00:54.530]  've
[00:00:54.530 --> 00:00:55.080]   become
[00:00:55.080 --> 00:00:55.490]   kind
[00:00:55.490 --> 00:00:55.730]   of
[00:00:55.730 --> 00:00:56.110]   an
[00:00:56.110 --> 00:00:56.760]   addict
[00:00:56.760 --> 00:00:56.830]   to
[00:00:56.830 --> 00:00:57.190]   your
[00:00:57.190 --> 00:00:57.620]   blog
[00:00:57.620 --> 00:00:58.160]  .
[00:00:58.160 --> 00:00:58.160]   Am
[00:00:58.160 --> 00:00:58.380]   I
[00:00:58.380 --> 00:00:58.400]   an
[00:00:58.400 --> 00:00:58.890]   addict
[00:00:58.890 --> 00:00:59.050]   on
[00:00:59.050 --> 00:00:59.380]   your
[00:00:59.380 --> 00:00:59.710]   blog
[00:00:59.710 --> 00:01:00.000]  ?
[00:01:00.000 --> 00:01:00.080]   Am
[00:01:00.080 --> 00:01:00.120]   I
[00:01:00.120 --> 00:01:00.280]   an
[00:01:00.280 --> 00:01:00.430]   addict
[00:01:00.430 --> 00:01:00.560]   for
[00:01:00.560 --> 00:01:00.700]   your
[00:01:00.700 --> 00:01:00.870]   blog
[00:01:00.870 --> 00:01:01.000]  ?
[00:01:01.000 --> 00:01:01.630]   Well
[00:01:01.630 --> 00:01:02.020]   probably
[00:01:02.020 --> 00:01:02.270]   you
[00:01:02.270 --> 00:01:02.520]  're
[00:01:02.520 --> 00:01:03.200]   addicted
[00:01:03.200 --> 00:01:03.370]   to
[00:01:03.370 --> 00:01:03.620]   the
[00:01:03.620 --> 00:01:04.000]   blog
[00:01:04.000 --> 00:01:04.000]  .
[00:01:04.000 --> 00:01:04.040]   I
[00:01:04.040 --> 00:01:04.120]  'm
[00:01:04.120 --> 00:01:04.510]   addicted
[00:01:04.510 --> 00:01:04.540]   to
[00:01:04.540 --> 00:01:04.660]   the
[00:01:04.660 --> 00:01:04.830]   blog
[00:01:04.830 --> 00:01:04.950]  .
[00:01:04.950 --> 00:01:05.120]   Yeah
[00:01:05.120 --> 00:01:05.240]  ,
[00:01:05.240 --> 00:01:05.280]   I
[00:01:05.280 --> 00:01:05.410]   read
[00:01:05.410 --> 00:01:05.490]   it
[00:01:05.490 --> 00:01:05.700]   every
[00:01:05.700 --> 00:01:05.820]   day
[00:01:05.820 --> 00:01:06.000]  .
[00:01:06.000 --> 00:01:06.450]   You
[00:01:06.450 --> 00:01:07.110]   really
[00:01:07.110 --> 00:01:07.360]   do
[00:01:07.360 --> 00:01:07.560]   a
[00:01:07.560 --> 00:01:07.980]   good
[00:01:07.980 --> 00:01:08.350]   job
[00:01:08.350 --> 00:01:08.660]   of
[00:01:08.660 --> 00:01:09.840]   bringing
[00:01:09.840 --> 00:01:10.150]   up
[00:01:10.150 --> 00:01:10.210]   new
[00:01:10.210 --> 00:01:10.950]   topics
[00:01:10.950 --> 00:01:11.190]  ,
[00:01:11.190 --> 00:01:11.560]   new
[00:01:11.560 --> 00:01:12.930]   interesting
[00:01:12.930 --> 00:01:13.530]   ideas
[00:01:13.530 --> 00:01:14.000]  .
[00:01:14.000 --> 00:01:14.200]   Oh
[00:01:14.200 --> 00:01:14.690]   thank
[00:01:14.690 --> 00:01:15.000]   you
[00:01:15.000 --> 00:01:15.000]  .
[00:01:15.000 --> 00:01:15.250]   And
[00:01:15.250 --> 00:01:15.350]   your
[00:01:15.350 --> 00:01:15.790]   following
[00:01:15.790 --> 00:01:15.990]   has
[00:01:15.990 --> 00:01:16.140]   just
[00:01:16.140 --> 00:01:16.390]   grown
[00:01:16.390 --> 00:01:16.770]   like
[00:01:16.770 --> 00:01:16.840]   crazy
[00:01:16.840 --> 00:01:17.020]  .
[00:01:17.020 --> 00:01:17.060]   I
[00:01:17.060 --> 00:01:17.300]   mean
[00:01:17.300 --> 00:01:17.420]   it
[00:01:17.420 --> 00:01:17.530]  's
[00:01:17.530 --> 00:01:17.830]   gone
[00:01:17.830 --> 00:01:18.190]   hockey
[00:01:18.190 --> 00:01:18.470]   stick
[00:01:18.470 --> 00:01:18.560]  ,
[00:01:18.560 --> 00:01:18.800]   your
[00:01:18.800 --> 00:01:19.220]   Twitter
[00:01:19.220 --> 00:01:19.770]   following
