
[00:00:00.000 --> 00:00:00.810]  
[00:00:00.810 --> 00:00:03.160]   [
[00:00:03.160 --> 00:00:18.850]  Music
[00:00:18.850 --> 00:00:22.000]  ]
[00:00:22.000 --> 00:00:22.550]   Welcome
[00:00:22.550 --> 00:00:22.710]   to
[00:00:22.710 --> 00:00:23.260]   episode
[00:00:23.260 --> 00:00:24.000]   256
[00:00:24.000 --> 00:00:24.250]   of
[00:00:24.250 --> 00:00:24.610]   Tax
[00:00:24.610 --> 00:00:25.000]  ing
[00:00:25.000 --> 00:00:25.090]  ,
[00:00:25.090 --> 00:00:25.400]   hosted
[00:00:25.400 --> 00:00:25.500]   by
[00:00:25.500 --> 00:00:25.800]   myself
[00:00:25.800 --> 00:00:25.920]  ,
[00:00:25.920 --> 00:00:26.200]   Justin
[00:00:26.200 --> 00:00:26.790]   Vincent
[00:00:26.790 --> 00:00:26.990]  ,
[00:00:26.990 --> 00:00:27.070]   and
[00:00:27.070 --> 00:00:27.360]   Jason
[00:00:27.360 --> 00:00:27.990]   Roberts
[00:00:27.990 --> 00:00:28.000]  .
[00:00:28.000 --> 00:00:28.000]  
[00:00:28.000 --> 00:00:28.140]   In
[00:00:28.140 --> 00:00:28.480]   today
[00:00:28.480 --> 00:00:28.580]  's
[00:00:28.580 --> 00:00:28.840]   show
[00:00:28.840 --> 00:00:28.970]  ,
[00:00:28.970 --> 00:00:29.420]   Jason
[00:00:29.420 --> 00:00:29.530]  's
[00:00:29.530 --> 00:00:29.910]   talking
[00:00:29.910 --> 00:00:30.000]   to
[00:00:30.000 --> 00:00:30.390]   Nathan
[00:00:30.390 --> 00:00:30.580]   Haw
[00:00:30.580 --> 00:00:30.840]  kins
[00:00:30.840 --> 00:00:31.000]  ,
[00:00:31.000 --> 00:00:31.870]   creator
[00:00:31.870 --> 00:00:32.120]   of
[00:00:32.120 --> 00:00:32.490]   Con
[00:00:32.490 --> 00:00:32.610]  j
[00:00:32.610 --> 00:00:32.720]  ure
[00:00:32.720 --> 00:00:33.340]  ,
[00:00:33.340 --> 00:00:33.360]   an
[00:00:33.360 --> 00:00:33.770]   epic
[00:00:33.770 --> 00:00:34.040]   new
[00:00:34.040 --> 00:00:34.200]   card
[00:00:34.200 --> 00:00:34.400]   game
[00:00:34.400 --> 00:00:34.640]   that
[00:00:34.640 --> 00:00:34.820]   he
[00:00:34.820 --> 00:00:34.850]  's
