
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.970]   This
[00:00:00.970 --> 00:00:01.320]   show
[00:00:01.320 --> 00:00:01.650]   is
[00:00:01.650 --> 00:00:03.760]   distributed
[00:00:03.760 --> 00:00:03.810]   by
[00:00:03.810 --> 00:00:04.310]   Sun
[00:00:04.310 --> 00:00:04.470]  c
[00:00:04.470 --> 00:00:04.990]  row
[00:00:04.990 --> 00:00:05.000]  .
[00:00:05.000 --> 00:00:07.000]   Welcome
[00:00:07.000 --> 00:00:07.000]  !
[00:00:28.000 --> 00:00:28.000]  
[00:00:28.000 --> 00:00:28.390]   Welcome
[00:00:28.390 --> 00:00:28.500]   to
[00:00:28.500 --> 00:00:28.890]   episode
[00:00:28.890 --> 00:00:29.400]   194
[00:00:29.400 --> 00:00:29.510]   of
[00:00:29.510 --> 00:00:29.730]   Tech
[00:00:29.730 --> 00:00:29.780]  S
[00:00:29.780 --> 00:00:30.000]  ing
[00:00:30.000 --> 00:00:31.000]  h
[00:00:31.000 --> 00:00:31.130]  ,
[00:00:31.130 --> 00:00:31.190]   a
[00:00:31.190 --> 00:00:31.520]   bonus
[00:00:31.520 --> 00:00:32.000]   episode
[00:00:32.000 --> 00:00:32.050]   of
[00:00:32.050 --> 00:00:32.150]   Tech
[00:00:32.150 --> 00:00:32.170]  S
[00:00:32.170 --> 00:00:32.240]  ing
[00:00:32.240 --> 00:00:32.260]  h
[00:00:32.260 --> 00:00:32.310]  ,
[00:00:32.310 --> 00:00:32.490]   hosted
[00:00:32.490 --> 00:00:32.600]   by
[00:00:32.600 --> 00:00:33.050]   myself
[00:00:33.050 --> 00:00:33.070]  ,
[00:00:33.070 --> 00:00:33.320]   Justin
[00:00:33.320 --> 00:00:33.740]   Vincent
[00:00:33.740 --> 00:00:33.900]  ,
[00:00:33.900 --> 00:00:34.090]   and
[00:00:34.090 --> 00:00:34.360]   Jason
[00:00:34.360 --> 00:00:34.780]   Roberts
[00:00:34.780 --> 00:00:35.000]  .
[00:00:35.000 --> 00:00:35.430]   Hey
[00:00:35.430 --> 00:00:35.550]   Jason
[00:00:35.550 --> 00:00:35.660]  ,
[00:00:35.660 --> 00:00:35.860]   how
[00:00:35.860 --> 00:00:36.060]   you
[00:00:36.060 --> 00:00:36.390]   doing
[00:00:36.390 --> 00:00:36.600]  ?
[00:00:36.600 --> 00:00:36.930]   Good
[00:00:36.930 --> 00:00:37.090]  ,
[00:00:37.090 --> 00:00:37.170]   I
[00:00:37.170 --> 00:00:37.580]   like
[00:00:37.580 --> 00:00:37.830]   that
[00:00:37.830 --> 00:00:37.990]  ,
[00:00:37.990 --> 00:00:38.260]   the
[00:00:38.260 --> 00:00:38.650]   bonus
[00:00:38.650 --> 00:00:39.480]   episode
[00:00:39.480 --> 00:00:39.520]  .
[00:00:39.520 --> 00:00:39.660]   So
[00:00:39.660 --> 00:00:39.880]   why
[00:00:39.880 --> 00:00:40.020]   is
[00:00:40.020 --> 00:00:40.310]   this
[00:00:40.310 --> 00:00:40.410]   a
[00:00:40.410 --> 00:00:40.690]   bonus
[00:00:40.690 --> 00:00:41.410]   episode
[00:00:41.410 --> 00:00:41.520]  ?
[00:00:41.520 --> 00:00:41.570]   I
