
[00:00:00.000 --> 00:00:00.050]  
[00:00:00.050 --> 00:00:21.260]   Welcome
[00:00:21.260 --> 00:00:21.430]   to
[00:00:21.430 --> 00:00:21.770]   Tech
[00:00:21.770 --> 00:00:21.850]  S
[00:00:21.850 --> 00:00:22.110]  ing
[00:00:22.110 --> 00:00:22.190]  h
[00:00:22.190 --> 00:00:22.620]   Daily
[00:00:22.620 --> 00:00:23.140]   number
[00:00:23.140 --> 00:00:23.660]   73
[00:00:23.660 --> 00:00:23.960]  .
[00:00:23.960 --> 00:00:24.100]   Tech
[00:00:24.100 --> 00:00:24.130]  S
[00:00:24.130 --> 00:00:24.240]  ing
[00:00:24.240 --> 00:00:24.270]  h
[00:00:24.270 --> 00:00:24.450]   Daily
[00:00:24.450 --> 00:00:24.530]   is
[00:00:24.530 --> 00:00:24.550]   a
[00:00:24.550 --> 00:00:24.730]   daily
[00:00:24.730 --> 00:00:24.870]   chat
[00:00:24.870 --> 00:00:25.080]   show
[00:00:25.080 --> 00:00:25.280]   with
[00:00:25.280 --> 00:00:25.570]   myself
[00:00:25.570 --> 00:00:25.660]  ,
[00:00:25.660 --> 00:00:25.960]   Justin
[00:00:25.960 --> 00:00:25.960]  
[00:00:25.960 --> 00:00:26.430]   Vincent
[00:00:26.430 --> 00:00:26.840]   and
[00:00:26.840 --> 00:00:27.030]   Jason
[00:00:27.030 --> 00:00:27.540]   Roberts
[00:00:27.540 --> 00:00:27.670]  ,
[00:00:27.670 --> 00:00:28.160]   where
[00:00:28.160 --> 00:00:28.170]   we
[00:00:28.170 --> 00:00:28.450]   talk
[00:00:28.450 --> 00:00:28.810]   about
[00:00:28.810 --> 00:00:29.090]   tech
[00:00:29.090 --> 00:00:29.330]  ,
[00:00:29.330 --> 00:00:29.800]   startups
[00:00:29.800 --> 00:00:30.020]   and
[00:00:30.020 --> 00:00:30.510]   hacking
[00:00:30.510 --> 00:00:30.800]   and
[00:00:30.800 --> 00:00:30.960]   other
[00:00:30.960 --> 00:00:31.440]   interesting
[00:00:31.440 --> 00:00:32.050]   stuff
[00:00:32.050 --> 00:00:32.550]  .
[00:00:32.550 --> 00:00:32.580]   Hey
[00:00:32.580 --> 00:00:32.730]   Jason
[00:00:32.730 --> 00:00:32.800]  ,
[00:00:32.800 --> 00:00:32.910]   how
[00:00:32.910 --> 00:00:33.020]   are
[00:00:33.020 --> 00:00:33.140]   you
[00:00:33.140 --> 00:00:33.300]   doing
[00:00:33.300 --> 00:00:33.490]   today
[00:00:33.490 --> 00:00:33.650]  ?
[00:00:33.650 --> 00:00:34.010]   Good
[00:00:34.010 --> 00:00:34.090]  ,
[00:00:34.090 --> 00:00:34.320]   how
[00:00:34.320 --> 00:00:34.600]   about
[00:00:34.600 --> 00:00:35.210]   yourself
[00:00:35.210 --> 00:00:35.240]  ?
[00:00:35.240 --> 00:00:35.510]   Yeah
[00:00:35.510 --> 00:00:35.640]  ,
[00:00:35.640 --> 00:00:35.910]   good
[00:00:35.910 --> 00:00:36.040]  ,
[00:00:36.040 --> 00:00:36.630]   thanks
[00:00:36.630 --> 00:00:36.680]  .
[00:00:36.680 --> 00:00:36.800]   So
[00:00:36.800 --> 00:00:36.980]   you
[00:00:36.980 --> 00:00:37.410]   changed
[00:00:37.410 --> 00:00:37.590]   the
[00:00:37.590 --> 00:00:37.840]   name
[00:00:37.840 --> 00:00:38.150]   from
[00:00:38.150 --> 00:00:38.180]   T
[00:00:38.180 --> 00:00:38.210]  Z
[00:00:38.210 --> 00:00:38.520]   Daily
[00:00:38.520 --> 00:00:38.640]   to
[00:00:38.640 --> 00:00:38.920]   Tech
[00:00:38.920 --> 00:00:38.950]  S
[00:00:38.950 --> 00:00:39.130]  ing
[00:00:39.130 --> 00:00:39.190]  h
[00:00:39.190 --> 00:00:39.500]   Daily
[00:00:39.500 --> 00:00:39.950]  ?
[00:00:39.950 --> 00:00:40.010]   Yeah
[00:00:40.010 --> 00:00:40.040]  ,
[00:00:40.040 --> 00:00:40.090]   I
[00:00:40.090 --> 00:00:40.180]  'm
[00:00:40.180 --> 00:00:40.470]   still
[00:00:40.470 --> 00:00:40.610]   just
[00:00:40.610 --> 00:00:40.800]   kind
[00:00:40.800 --> 00:00:40.930]   of
[00:00:40.930 --> 00:00:41.300]   playing
[00:00:41.300 --> 00:00:41.540]   around
[00:00:41.540 --> 00:00:41.700]   with
[00:00:41.700 --> 00:00:41.860]   that
[00:00:41.860 --> 00:00:42.060]   whole
[00:00:42.060 --> 00:00:42.220]   side
[00:00:42.220 --> 00:00:42.310]   of
[00:00:42.310 --> 00:00:42.540]   things
[00:00:42.540 --> 00:00:42.660]  .
[00:00:42.660 --> 00:00:42.700]   I
[00:00:42.700 --> 00:00:42.820]   don
[00:00:42.820 --> 00:00:42.900]  't
[00:00:42.900 --> 00:00:43.060]   know
[00:00:43.060 --> 00:00:43.340]   exactly
[00:00:43.340 --> 00:00:43.500]   what
[00:00:43.500 --> 00:00:43.580]   it
[00:00:43.580 --> 00:00:43.660]  's
[00:00:43.660 --> 00:00:43.850]   going
[00:00:43.850 --> 00:00:43.940]   to
[00:00:43.940 --> 00:00:44.160]   be
[00:00:44.160 --> 00:00:44.200]  .
[00:00:44.200 --> 00:00:44.210]   I
[00:00:44.210 --> 00:00:44.400]   like
[00:00:44.400 --> 00:00:44.670]   Tech
[00:00:44.670 --> 00:00:44.730]  S
[00:00:44.730 --> 00:00:44.930]  ing
[00:00:44.930 --> 00:00:45.030]  h
[00:00:45.030 --> 00:00:45.320]   Daily
[00:00:45.320 --> 00:00:45.380]   a
[00:00:45.380 --> 00:00:45.780]   little
[00:00:45.780 --> 00:00:46.180]   better
[00:00:46.180 --> 00:00:46.380]  .
[00:00:46.380 --> 00:00:46.440]   I
[00:00:46.440 --> 00:00:46.710]   like
[00:00:46.710 --> 00:00:46.980]   Tech
