
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.790]   Welcome
[00:00:00.790 --> 00:00:01.400]   to
[00:00:01.400 --> 00:00:01.810]   episode
[00:00:01.810 --> 00:00:02.140]   3
[00:00:02.140 --> 00:00:02.850]  33
[00:00:02.850 --> 00:00:03.090]   of
[00:00:03.090 --> 00:00:03.500]   Tech
[00:00:03.500 --> 00:00:03.600]   Z
[00:00:03.600 --> 00:00:03.910]  ing
[00:00:03.910 --> 00:00:04.720]  .
[00:00:04.720 --> 00:00:04.760]   On
[00:00:04.760 --> 00:00:04.940]   today
[00:00:04.940 --> 00:00:05.000]  's
[00:00:05.000 --> 00:00:05.620]   show
[00:00:05.620 --> 00:00:05.680]   I
[00:00:05.680 --> 00:00:05.740]  'm
[00:00:05.740 --> 00:00:06.120]   talking
[00:00:06.120 --> 00:00:06.240]   with
[00:00:06.240 --> 00:00:06.720]   Justin
[00:00:06.720 --> 00:00:07.000]   Jackson
[00:00:07.000 --> 00:00:07.710]  ,
[00:00:07.710 --> 00:00:07.840]   co
[00:00:07.840 --> 00:00:07.900]  -
[00:00:07.900 --> 00:00:08.320]  founder
[00:00:08.320 --> 00:00:08.660]   of
[00:00:08.660 --> 00:00:09.500]   Trans
[00:00:09.500 --> 00:00:09.680]  istor
[00:00:09.680 --> 00:00:11.000]  .
[00:00:11.000 --> 00:00:11.070]  f
[00:00:11.070 --> 00:00:11.200]  m
[00:00:11.200 --> 00:00:11.320]  .
[00:00:11.320 --> 00:00:11.490]   Even
[00:00:11.490 --> 00:00:11.740]   though
[00:00:11.740 --> 00:00:11.820]   we
[00:00:11.820 --> 00:00:11.940]   say
[00:00:11.940 --> 00:00:12.060]   the
[00:00:12.060 --> 00:00:12.250]   word
[00:00:12.250 --> 00:00:12.610]   interview
[00:00:12.610 --> 00:00:12.690]   at
[00:00:12.690 --> 00:00:12.880]   the
[00:00:12.880 --> 00:00:13.470]   beginning
[00:00:13.470 --> 00:00:13.600]   of
[00:00:13.600 --> 00:00:13.760]   the
[00:00:13.760 --> 00:00:14.140]   show
[00:00:14.140 --> 00:00:14.290]  ,
[00:00:14.290 --> 00:00:14.520]   I
[00:00:14.520 --> 00:00:14.970]   wouldn
[00:00:14.970 --> 00:00:15.100]  't
[00:00:15.100 --> 00:00:15.520]   exactly
[00:00:15.520 --> 00:00:15.810]   call
[00:00:15.810 --> 00:00:16.110]   it
[00:00:16.110 --> 00:00:16.400]   that
[00:00:16.400 --> 00:00:16.440]  .
[00:00:16.440 --> 00:00:16.690]   This
[00:00:16.690 --> 00:00:16.770]   is
[00:00:16.770 --> 00:00:17.110]   really
[00:00:17.110 --> 00:00:17.190]   a
[00:00:17.190 --> 00:00:17.860]   discussion
[00:00:17.860 --> 00:00:18.030]   about
[00:00:18.030 --> 00:00:18.450]   business
[00:00:18.450 --> 00:00:18.900]   building
[00:00:18.900 --> 00:00:19.140]   and
[00:00:19.140 --> 00:00:19.280]   the
[00:00:19.280 --> 00:00:20.290]   importance
[00:00:20.290 --> 00:00:20.420]   of
[00:00:20.420 --> 00:00:21.180]   catching
[00:00:21.180 --> 00:00:21.270]   a
[00:00:21.270 --> 00:00:21.830]   market
[00:00:21.830 --> 00:00:22.320]   wave
[00:00:22.320 --> 00:00:22.460]  ,
[00:00:22.460 --> 00:00:22.690]   but
[00:00:22.690 --> 00:00:23.040]   also
[00:00:23.040 --> 00:00:23.680]   being
[00:00:23.680 --> 00:00:24.010]   ready
[00:00:24.010 --> 00:00:24.310]   and
