
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.400]   Just
[00:00:00.400 --> 00:00:00.590]   before
[00:00:00.590 --> 00:00:00.710]   we
[00:00:00.710 --> 00:00:00.860]   get
[00:00:00.860 --> 00:00:01.090]   into
[00:00:01.090 --> 00:00:01.320]   this
[00:00:01.320 --> 00:00:01.720]   episode
[00:00:01.720 --> 00:00:01.880]   of
[00:00:01.880 --> 00:00:02.280]   texting
[00:00:02.280 --> 00:00:02.340]   I
[00:00:02.340 --> 00:00:02.890]   just
[00:00:02.890 --> 00:00:02.900]   want
[00:00:02.900 --> 00:00:02.980]   to
[00:00:02.980 --> 00:00:03.150]   give
[00:00:03.150 --> 00:00:03.310]   you
[00:00:03.310 --> 00:00:03.320]   a
[00:00:03.320 --> 00:00:03.580]   little
[00:00:03.580 --> 00:00:03.730]   bit
[00:00:03.730 --> 00:00:03.780]   of
[00:00:03.780 --> 00:00:04.280]   background
[00:00:04.280 --> 00:00:04.810]   about
[00:00:04.810 --> 00:00:04.930]   Pete
[00:00:04.930 --> 00:00:05.300]   Mich
[00:00:05.300 --> 00:00:05.600]  aud
[00:00:05.600 --> 00:00:05.840]   and
[00:00:05.840 --> 00:00:06.240]   Why
[00:00:06.240 --> 00:00:06.240]   this
[00:00:06.240 --> 00:00:06.350]   is
[00:00:06.350 --> 00:00:06.580]   such
[00:00:06.580 --> 00:00:06.690]   an
[00:00:06.690 --> 00:00:07.330]   interesting
[00:00:07.330 --> 00:00:07.730]   episode
[00:00:07.730 --> 00:00:07.850]   to
[00:00:07.850 --> 00:00:08.190]   listen
[00:00:08.190 --> 00:00:08.360]   to
[00:00:08.360 --> 00:00:08.560]   so
[00:00:08.560 --> 00:00:09.210]   the
[00:00:09.210 --> 00:00:09.220]   age
[00:00:09.220 --> 00:00:09.420]   of
[00:00:09.420 --> 00:00:10.000]   seven
[00:00:10.000 --> 00:00:10.180]   Pete
[00:00:10.180 --> 00:00:10.330]   was
[00:00:10.330 --> 00:00:10.650]   playing
[00:00:10.650 --> 00:00:10.740]   in
[00:00:10.740 --> 00:00:10.780]   a
[00:00:10.780 --> 00:00:11.180]   driveway
[00:00:11.180 --> 00:00:11.410]   And
[00:00:11.410 --> 00:00:11.480]   a
[00:00:11.480 --> 00:00:12.090]   horrible
[00:00:12.090 --> 00:00:12.700]   accident
[00:00:12.700 --> 00:00:13.310]   happened
[00:00:13.310 --> 00:00:13.380]   a
[00:00:13.380 --> 00:00:13.840]   car
[00:00:13.840 --> 00:00:13.890]   was
[00:00:13.890 --> 00:00:14.310]   revers
[00:00:14.310 --> 00:00:14.510]  ing
[00:00:14.510 --> 00:00:14.780]   out
[00:00:14.780 --> 00:00:14.910]   and
[00:00:14.910 --> 00:00:15.260]   actually
[00:00:15.260 --> 00:00:15.390]   ran
[00:00:15.390 --> 00:00:15.520]   him
[00:00:15.520 --> 00:00:15.720]   over
[00:00:15.720 --> 00:00:15.860]   In
[00:00:15.860 --> 00:00:16.140]   fact
[00:00:16.140 --> 00:00:16.280]  ,
[00:00:16.280 --> 00:00:16.420]   it
[00:00:16.420 --> 00:00:16.740]   was
[00:00:16.740 --> 00:00:16.770]   an
[00:00:16.770 --> 00:00:16.910]   Is
[00:00:16.910 --> 00:00:17.120]  uzu
[00:00:17.120 --> 00:00:17.330]   tro
[00:00:17.330 --> 00:00:17.600]  oper
[00:00:17.600 --> 00:00:17.890]   that
[00:00:17.890 --> 00:00:18.460]   actually
[00:00:18.460 --> 00:00:18.670]   ran
[00:00:18.670 --> 00:00:18.950]   over
[00:00:18.950 --> 00:00:19.160]   his
[00:00:19.160 --> 00:00:19.440]   head
[00:00:19.440 --> 00:00:19.960]   and
[00:00:19.960 --> 00:00:20.150]   crushed
[00:00:20.150 --> 00:00:20.360]   his
[00:00:20.360 --> 00:00:20.840]   skull
[00:00:20.840 --> 00:00:20.950]   He
[00:00:20.950 --> 00:00:20.990]   died
[00:00:20.990 --> 00:00:21.590]   and
[00:00:21.590 --> 00:00:21.680]   was
[00:00:21.680 --> 00:00:22.030]   taken
[00:00:22.030 --> 00:00:22.180]   to
[00:00:22.180 --> 00:00:22.750]   hospital
[00:00:22.750 --> 00:00:22.950]   and
[00:00:22.950 --> 00:00:23.160]   the
[00:00:23.160 --> 00:00:23.940]   doctors
[00:00:23.940 --> 00:00:24.020]   then
[00:00:24.020 --> 00:00:24.480]   revived
[00:00:24.480 --> 00:00:24.650]   him
[00:00:24.650 --> 00:00:25.150]   brought
[00:00:25.150 --> 00:00:25.360]   him
[00:00:25.360 --> 00:00:25.640]   back
[00:00:25.640 --> 00:00:25.780]   to
[00:00:25.780 --> 00:00:26.140]   life
[00:00:26.760 --> 00:00:26.760]  
[00:00:26.760 --> 00:00:27.200]   For
[00:00:27.200 --> 00:00:27.290]   the
[00:00:27.290 --> 00:00:27.500]   next
[00:00:27.500 --> 00:00:27.950]   13
[00:00:27.950 --> 00:00:28.330]   years
[00:00:28.330 --> 00:00:28.550]  .
[00:00:28.550 --> 00:00:28.930]   He
[00:00:28.930 --> 00:00:29.150]   worked
[00:00:29.150 --> 00:00:29.450]   with
[00:00:29.450 --> 00:00:29.980]   surgeon
[00:00:29.980 --> 00:00:30.500]   who
[00:00:30.500 --> 00:00:30.580]   much
[00:00:30.580 --> 00:00:30.650]   of
[00:00:30.650 --> 00:00:30.950]   that
[00:00:30.950 --> 00:00:31.280]   time
[00:00:31.280 --> 00:00:31.700]   worked
[00:00:31.700 --> 00:00:32.040]   pro
[00:00:32.040 --> 00:00:32.160]   bon
[00:00:32.160 --> 00:00:32.200]  o
[00:00:32.200 --> 00:00:32.990]   rebuilding
[00:00:32.990 --> 00:00:33.310]   Pete
[00:00:33.310 --> 00:00:33.460]  's
[00:00:33.460 --> 00:00:33.860]   skull
[00:00:33.860 --> 00:00:34.100]   and
[00:00:34.100 --> 00:00:34.440]   face
[00:00:34.440 --> 00:00:34.840]   and
[00:00:34.840 --> 00:00:35.210]   at
[00:00:35.210 --> 00:00:35.240]   that
[00:00:35.240 --> 00:00:35.440]   age
[00:00:35.440 --> 00:00:35.570]   of
[00:00:35.570 --> 00:00:35.910]   seven
[00:00:35.910 --> 00:00:36.180]   Pete
[00:00:36.180 --> 00:00:36.380]   had
[00:00:36.380 --> 00:00:36.590]   the
[00:00:36.590 --> 00:00:36.850]   kind
[00:00:36.850 --> 00:00:37.040]   of
[00:00:37.040 --> 00:00:37.500]   realization
[00:00:37.500 --> 00:00:37.680]   that
[00:00:37.680 --> 00:00:38.040]   someone
[00:00:38.040 --> 00:00:38.190]   may
[00:00:38.190 --> 00:00:38.400]   have
[00:00:38.400 --> 00:00:38.610]   when
[00:00:38.610 --> 00:00:38.900]   they
[00:00:38.900 --> 00:00:38.970]  're
[00:00:38.970 --> 00:00:39.280]   45
[00:00:39.280 --> 00:00:39.420]   and
[00:00:39.420 --> 00:00:39.630]   they
[00:00:39.630 --> 00:00:39.830]   get
