
[00:00:00.000 --> 00:00:00.200]  
[00:00:00.200 --> 00:00:01.010]   Join
[00:00:01.010 --> 00:00:01.100]   myself
[00:00:01.100 --> 00:00:01.460]   and
[00:00:01.460 --> 00:00:02.010]   Jason
[00:00:02.010 --> 00:00:02.440]   at
[00:00:02.440 --> 00:00:02.780]   Micro
[00:00:02.780 --> 00:00:03.060]  Conf
[00:00:03.060 --> 00:00:03.980]   2011
[00:00:03.980 --> 00:00:04.730]   June
[00:00:04.730 --> 00:00:04.980]   6
[00:00:04.980 --> 00:00:05.400]   and
[00:00:05.400 --> 00:00:05.920]   7
[00:00:05.920 --> 00:00:06.070]   in
[00:00:06.070 --> 00:00:06.410]   Las
[00:00:06.410 --> 00:00:07.000]   Vegas
[00:00:07.000 --> 00:00:07.000]  .
[00:00:07.000 --> 00:00:07.240]   For
[00:00:07.240 --> 00:00:07.590]   more
[00:00:07.590 --> 00:00:08.450]   information
[00:00:08.450 --> 00:00:08.610]   go
[00:00:08.610 --> 00:00:08.770]   to
[00:00:08.770 --> 00:00:09.170]   micro
[00:00:09.170 --> 00:00:09.490]  conf
[00:00:09.490 --> 00:00:09.730]  .
[00:00:09.730 --> 00:00:10.000]  com
[00:00:10.000 --> 00:00:10.300]   and
[00:00:10.300 --> 00:00:10.790]   enter
[00:00:10.790 --> 00:00:11.000]   in
[00:00:11.000 --> 00:00:11.100]   "
[00:00:11.100 --> 00:00:11.490]  Tech
[00:00:11.490 --> 00:00:11.870]  zing
[00:00:11.870 --> 00:00:12.000]  "
[00:00:12.000 --> 00:00:12.400]   to
[00:00:12.400 --> 00:00:13.000]   get
[00:00:13.000 --> 00:00:13.070]   $
[00:00:13.070 --> 00:00:13.490]  100
[00:00:13.490 --> 00:00:13.640]   off
[00:00:13.640 --> 00:00:13.730]   a
[00:00:13.730 --> 00:00:14.000]   ticket
[00:00:14.000 --> 00:00:14.000]  .
[00:00:28.000 --> 00:00:28.000]  
[00:00:28.000 --> 00:00:28.390]   Welcome
[00:00:28.390 --> 00:00:28.500]   to
[00:00:28.500 --> 00:00:28.890]   episode
[00:00:28.890 --> 00:00:29.230]   13
[00:00:29.230 --> 00:00:29.400]  3
[00:00:29.400 --> 00:00:29.510]   of
[00:00:29.510 --> 00:00:29.730]   Tech
[00:00:29.730 --> 00:00:29.990]  zing
[00:00:29.990 --> 00:00:30.370]   hosted
[00:00:30.370 --> 00:00:30.490]   by
[00:00:30.490 --> 00:00:30.860]   myself
[00:00:30.860 --> 00:00:31.040]  ,
[00:00:31.040 --> 00:00:31.420]   Justin
[00:00:31.420 --> 00:00:31.910]   Vincent
[00:00:31.910 --> 00:00:32.120]   and
[00:00:32.120 --> 00:00:32.460]   Jason
[00:00:32.460 --> 00:00:33.000]   Roberts
[00:00:33.000 --> 00:00:33.000]  .
[00:00:33.000 --> 00:00:33.140]   On
[00:00:33.140 --> 00:00:33.360]   today
[00:00:33.360 --> 00:00:33.420]  's
[00:00:33.420 --> 00:00:33.610]   show
[00:00:33.610 --> 00:00:33.700]   we
[00:00:33.700 --> 00:00:33.840]  're
[00:00:33.840 --> 00:00:34.180]   talking
[00:00:34.180 --> 00:00:34.280]   to
[00:00:34.280 --> 00:00:34.510]   Erica
[00:00:34.510 --> 00:00:34.850]   Douglas
[00:00:34.850 --> 00:00:35.000]  ,
[00:00:35.000 --> 00:00:35.280]   co
[00:00:35.280 --> 00:00:35.290]  -
[00:00:35.290 --> 00:00:35.980]  founder
[00:00:35.980 --> 00:00:36.280]   and
[00:00:36.280 --> 00:00:36.650]   CEO
[00:00:36.650 --> 00:00:36.780]   of
[00:00:36.780 --> 00:00:37.010]   Wo
[00:00:37.010 --> 00:00:37.900]  osh
[00:00:37.900 --> 00:00:38.000]   Traffic
[00:00:38.000 --> 00:00:38.000]  .
[00:00:38.000 --> 00:00:38.070]   Hi
[00:00:38.070 --> 00:00:38.270]   Erica
[00:00:38.270 --> 00:00:38.310]  ,
[00:00:38.310 --> 00:00:38.550]   welcome
[00:00:38.550 --> 00:00:38.610]   to
[00:00:38.610 --> 00:00:38.720]   the
[00:00:38.720 --> 00:00:38.860]   show
[00:00:38.860 --> 00:00:39.000]  .
[00:00:39.000 --> 00:00:39.420]   Thanks
[00:00:39.420 --> 00:00:39.420]   for
[00:00:39.420 --> 00:00:39.700]   having
[00:00:39.700 --> 00:00:39.790]   me
[00:00:39.790 --> 00:00:40.000]   guys
[00:00:40.000 --> 00:00:40.000]  .
[00:00:40.000 --> 00:00:40.150]   So
[00:00:40.150 --> 00:00:40.220]   I
[00:00:40.220 --> 00:00:40.670]   was
[00:00:40.670 --> 00:00:41.240]   introduced
[00:00:41.240 --> 00:00:41.390]   to
[00:00:41.390 --> 00:00:41.780]   Erica
[00:00:41.780 --> 00:00:41.930]   by
[00:00:41.930 --> 00:00:42.350]   Pete
[00:00:42.350 --> 00:00:42.550]   Mich
[00:00:42.550 --> 00:00:42.780]  aud
[00:00:42.780 --> 00:00:43.090]   with
[00:00:43.090 --> 00:00:43.560]   regard
[00:00:43.560 --> 00:00:43.710]   to
[00:00:43.710 --> 00:00:43.940]   SEO
[00:00:43.940 --> 00:00:44.170]   for
[00:00:44.170 --> 00:00:44.520]   Plug
[00:00:44.520 --> 00:00:44.710]  .
[00:00:44.710 --> 00:00:45.000]  io
[00:00:45.000 --> 00:00:45.000]  .
[00:00:45.000 --> 00:00:45.200]   And
[00:00:45.200 --> 00:00:45.500]   after
[00:00:45.500 --> 00:00:45.760]   speaking
[00:00:45.760 --> 00:00:45.920]   to
[00:00:45.920 --> 00:00:46.100]   Erica
[00:00:46.100 --> 00:00:46.220]   it
[00:00:46.220 --> 00:00:46.320]   was
[00:00:46.320 --> 00:00:46.610]   pretty
[00:00:46.610 --> 00:00:47.050]   obvious
[00:00:47.050 --> 00:00:47.130]   that
[00:00:47.130 --> 00:00:47.270]   she
[00:00:47.270 --> 00:00:47.510]   knows
[00:00:47.510 --> 00:00:47.650]   her
[00:00:47.650 --> 00:00:48.000]   onions
[00:00:48.000 --> 00:00:48.000]  .
[00:00:48.000 --> 00:00:48.120]   So
[00:00:48.120 --> 00:00:48.180]   I
[00:00:48.180 --> 00:00:48.590]   thought
[00:00:48.590 --> 00:00:48.820]   well
[00:00:48.820 --> 00:00:48.960]   we
[00:00:48.960 --> 00:00:49.620]   definitely
[00:00:49.620 --> 00:00:49.760]   need
[00:00:49.760 --> 00:00:49.890]   to
[00:00:49.890 --> 00:00:50.100]   get
[00:00:50.100 --> 00:00:50.240]   her
[00:00:50.240 --> 00:00:50.360]   on
[00:00:50.360 --> 00:00:50.540]   the
[00:00:50.540 --> 00:00:51.000]   show
[00:00:51.000 --> 00:00:51.000]  .
[00:00:51.000 --> 00:00:51.310]   But
[00:00:51.310 --> 00:00:51.700]   before
[00:00:51.700 --> 00:00:51.810]   we
[00:00:51.810 --> 00:00:52.030]   get
[00:00:52.030 --> 00:00:52.320]   into
[00:00:52.320 --> 00:00:52.640]   that
[00:00:52.640 --> 00:00:52.780]  ,
[00:00:52.780 --> 00:00:52.990]   the
[00:00:52.990 --> 00:00:53.360]   whole
[00:00:53.360 --> 00:00:53.600]   SEO
[00:00:53.600 --> 00:00:54.000]   stuff
[00:00:54.000 --> 00:00:54.150]  ,
[00:00:54.150 --> 00:00:54.190]   it
[00:00:54.190 --> 00:00:54.220]  'd
[00:00:54.220 --> 00:00:54.300]   be
[00:00:54.300 --> 00:00:54.520]   nice
[00:00:54.520 --> 00:00:54.530]   to
[00:00:54.530 --> 00:00:54.680]   hear
[00:00:54.680 --> 00:00:54.720]   a
[00:00:54.720 --> 00:00:55.040]   little
[00:00:55.040 --> 00:00:55.200]   bit
[00:00:55.200 --> 00:00:55.480]   of
[00:00:55.480 --> 00:00:56.170]   background
[00:00:56.170 --> 00:00:56.380]   about
[00:00:56.380 --> 00:00:56.760]   Erica
[00:00:56.760 --> 00:00:57.000]  .
[00:00:57.000 --> 00:00:57.030]  
[00:00:57.030 --> 00:00:57.050]   I
[00:00:57.050 --> 00:00:57.090]  'm
[00:00:57.090 --> 00:00:57.420]   especially
[00:00:57.420 --> 00:00:57.800]   interested
[00:00:57.800 --> 00:00:57.810]   in
[00:00:57.810 --> 00:00:57.910]   the
[00:00:57.910 --> 00:00:58.040]   fact
[00:00:58.040 --> 00:00:58.170]   that
[00:00:58.170 --> 00:00:58.300]   you
[00:00:58.300 --> 00:00:58.460]   built
[00:00:58.460 --> 00:00:58.520]   and
[00:00:58.520 --> 00:00:58.660]   sold
[00:00:58.660 --> 00:00:58.690]   a
[00:00:58.690 --> 00:00:59.040]   company
[00:00:59.040 --> 00:00:59.320]   for
[00:00:59.320 --> 00:00:59.360]   a
[00:00:59.360 --> 00:01:00.000]   million
[00:01:00.000 --> 00:01:00.080]   by
[00:01:00.080 --> 00:01:00.200]   the
[00:01:00.200 --> 00:01:00.360]   time
[00:01:00.360 --> 00:01:00.500]   you
[00:01:00.500 --> 00:01:00.640]   were
[00:01:00.640 --> 00:01:00.870]   26
[00:01:00.870 --> 00:01:01.000]  .
[00:01:01.000 --> 00:01:01.080]   I
[00:01:01.080 --> 00:01:01.480]   was
[00:01:01.480 --> 00:01:01.520]   in
[00:01:01.520 --> 00:01:02.050]   Silicon
[00:01:02.050 --> 00:01:02.540]   Valley
[00:01:02.540 --> 00:01:02.870]   from
[00:01:02.870 --> 00:01:03.100]   the
[00:01:03.100 --> 00:01:03.420]   time
[00:01:03.420 --> 00:01:03.500]   I
[00:01:03.500 --> 00:01:03.740]   was
[00:01:03.740 --> 00:01:04.230]   18
[00:01:04.230 --> 00:01:04.420]   to
[00:01:04.420 --> 00:01:04.630]   the
[00:01:04.630 --> 00:01:04.970]   time
[00:01:04.970 --> 00:01:05.030]   I
[00:01:05.030 --> 00:01:05.270]   was
[00:01:05.270 --> 00:01:05.760]   28
[00:01:05.760 --> 00:01:05.920]  ,
[00:01:05.920 --> 00:01:06.410]   almost
[00:01:06.410 --> 00:01:07.000]   29
[00:01:07.000 --> 00:01:07.000]  .
[00:01:07.000 --> 00:01:07.520]   And
[00:01:07.520 --> 00:01:07.600]   so
[00:01:07.600 --> 00:01:07.940]   when
[00:01:07.940 --> 00:01:08.040]   I
[00:01:08.040 --> 00:01:08.560]   lived
[00:01:08.560 --> 00:01:08.770]   in
[00:01:08.770 --> 00:01:09.500]   Silicon
[00:01:09.500 --> 00:01:10.130]   Valley
[00:01:10.130 --> 00:01:10.230]   I
[00:01:10.230 --> 00:01:10.540]   had
[00:01:10.540 --> 00:01:11.000]   jobs
[00:01:11.000 --> 00:01:11.200]   and
[00:01:11.200 --> 00:01:11.200]   I
[00:01:11.200 --> 00:01:11.530]   worked
[00:01:11.530 --> 00:01:11.590]   at
[00:01:11.590 --> 00:01:11.640]   a
[00:01:11.640 --> 00:01:11.980]   startup
[00:01:11.980 --> 00:01:12.270]   called
[00:01:12.270 --> 00:01:12.420]   Cob
[00:01:12.420 --> 00:01:12.570]  alt
[00:01:12.570 --> 00:01:13.000]   Network
[00:01:13.000 --> 00:01:13.000]  s
[00:01:13.000 --> 00:01:13.000]  ,
[00:01:13.000 --> 00:01:13.530]   which
[00:01:13.530 --> 00:01:13.620]   was
[00:01:13.620 --> 00:01:14.010]   later
[00:01:14.010 --> 00:01:14.640]   acquired
[00:01:14.640 --> 00:01:14.820]   by
[00:01:14.820 --> 00:01:15.020]   Sun
[00:01:15.020 --> 00:01:15.250]   Mic
