
[00:00:00.000 --> 00:00:00.020]  
[00:00:00.020 --> 00:00:03.070]   [
[00:00:03.070 --> 00:00:17.990]  Music
[00:00:17.990 --> 00:00:21.000]  ]
[00:00:21.000 --> 00:00:21.460]   Welcome
[00:00:21.460 --> 00:00:21.590]   to
[00:00:21.590 --> 00:00:22.050]   episode
[00:00:22.050 --> 00:00:22.430]   63
[00:00:22.430 --> 00:00:22.570]   of
[00:00:22.570 --> 00:00:22.760]   Tex
[00:00:22.760 --> 00:00:23.000]  ing
[00:00:23.000 --> 00:00:23.170]  ,
[00:00:23.170 --> 00:00:23.700]   hosted
[00:00:23.700 --> 00:00:23.800]   by
[00:00:23.800 --> 00:00:24.000]   myself
[00:00:24.000 --> 00:00:24.110]  ,
[00:00:24.110 --> 00:00:24.480]   Justin
[00:00:24.480 --> 00:00:25.000]   Vincent
[00:00:25.000 --> 00:00:25.120]  ,
[00:00:25.120 --> 00:00:25.310]   and
[00:00:25.310 --> 00:00:25.640]   Jason
[00:00:25.640 --> 00:00:26.000]   Roberts
[00:00:26.000 --> 00:00:26.000]  .
[00:00:26.000 --> 00:00:26.000]  
[00:00:26.000 --> 00:00:26.190]   And
[00:00:26.190 --> 00:00:26.310]   on
[00:00:26.310 --> 00:00:26.630]   today
[00:00:26.630 --> 00:00:26.740]  's
[00:00:26.740 --> 00:00:26.990]   show
[00:00:26.990 --> 00:00:27.110]  ,
[00:00:27.110 --> 00:00:27.230]   we
[00:00:27.230 --> 00:00:27.480]   have
[00:00:27.480 --> 00:00:27.540]   a
[00:00:27.540 --> 00:00:27.790]   very
[00:00:27.790 --> 00:00:28.230]   special
[00:00:28.230 --> 00:00:28.540]   guest
[00:00:28.540 --> 00:00:28.790]   with
[00:00:28.790 --> 00:00:28.900]   us
[00:00:28.900 --> 00:00:29.030]  ,
[00:00:29.030 --> 00:00:29.410]   Travis
[00:00:29.410 --> 00:00:29.600]   Kal
[00:00:29.600 --> 00:00:29.710]  an
[00:00:29.710 --> 00:00:30.110]  ick
[00:00:30.110 --> 00:00:30.220]  ,
[00:00:30.220 --> 00:00:30.270]   who
[00:00:30.270 --> 00:00:30.380]  's
[00:00:30.380 --> 00:00:30.430]   a
[00:00:30.430 --> 00:00:31.000]   successful
[00:00:31.000 --> 00:00:31.650]   entrepreneur
[00:00:31.650 --> 00:00:31.750]  ,
[00:00:31.750 --> 00:00:31.910]   and
[00:00:31.910 --> 00:00:32.010]   by
[00:00:32.010 --> 00:00:32.550]   successful
[00:00:32.550 --> 00:00:33.300]   entrepreneur
[00:00:33.300 --> 00:00:33.350]  ,
[00:00:33.350 --> 00:00:33.420]   I
[00:00:33.420 --> 00:00:33.560]   mean
[00:00:33.560 --> 00:00:33.660]   he
[00:00:33.660 --> 00:00:33.820]   has
[00:00:33.820 --> 00:00:33.870]   a
[00:00:33.870 --> 00:00:34.190]   resume
[00:00:34.190 --> 00:00:34.400]   with
[00:00:34.400 --> 00:00:34.610]   line
[00:00:34.610 --> 00:00:35.000]   items
[00:00:35.000 --> 00:00:35.160]   on
[00:00:35.160 --> 00:00:35.270]   it
[00:00:35.270 --> 00:00:35.490]   like
[00:00:35.490 --> 00:00:35.660]  ,
[00:00:35.660 --> 00:00:35.660]   "
[00:00:35.660 --> 00:00:35.880]  S
[00:00:35.880 --> 00:00:35.930]  old
[00:00:35.930 --> 00:00:35.980]   a
[00:00:35.980 --> 00:00:36.330]   company
[00:00:36.330 --> 00:00:36.460]   to
[00:00:36.460 --> 00:00:36.550]   Ak
[00:00:36.550 --> 00:00:36.660]  am
[00:00:36.660 --> 00:00:36.770]  ai
[00:00:36.770 --> 00:00:36.940]   for
[00:00:36.940 --> 00:00:37.280]   19
[00:00:37.280 --> 00:00:37.680]   million
[00:00:37.680 --> 00:00:38.000]  ."
[00:00:38.000 --> 00:00:38.240]   Hey
[00:00:38.240 --> 00:00:38.530]  ,
[00:00:38.530 --> 00:00:38.620]   Travis
[00:00:38.620 --> 00:00:38.630]  ,
[00:00:38.630 --> 00:00:38.910]   thanks
[00:00:38.910 --> 00:00:39.060]   for
[00:00:39.060 --> 00:00:39.350]   coming
[00:00:39.350 --> 00:00:39.450]   on
[00:00:39.450 --> 00:00:39.600]   the
[00:00:39.600 --> 00:00:39.800]   show
[00:00:39.800 --> 00:00:40.000]  .
[00:00:40.000 --> 00:00:40.300]   Hey
[00:00:40.300 --> 00:00:40.520]  ,
[00:00:40.520 --> 00:00:40.890]   good
[00:00:40.890 --> 00:00:41.090]   to
[00:00:41.090 --> 00:00:41.290]   be
[00:00:41.290 --> 00:00:41.690]   here
[00:00:41.690 --> 00:00:42.000]  .
[00:00:42.000 --> 00:00:42.450]   Thank
[00:00:42.450 --> 00:00:42.720]   you
[00:00:42.720 --> 00:00:43.000]  .
[00:00:43.000 --> 00:00:43.080]   So
[00:00:43.080 --> 00:00:43.160]  ,
[00:00:43.160 --> 00:00:43.360]   Jason
[00:00:43.360 --> 00:00:43.440]  ,
[00:00:43.440 --> 00:00:43.600]   what
[00:00:43.600 --> 00:00:43.680]  's
[00:00:43.680 --> 00:00:43.820]   the
[00:00:43.820 --> 00:00:44.170]   backstory
[00:00:44.170 --> 00:00:44.250]   on
[00:00:44.250 --> 00:00:44.370]   how
[00:00:44.370 --> 00:00:44.450]   we
[00:00:44.450 --> 00:00:44.570]   met
[00:00:44.570 --> 00:00:44.810]   Travis
[00:00:44.810 --> 00:00:45.000]  ?
[00:00:45.000 --> 00:00:45.350]   Yeah
[00:00:45.350 --> 00:00:45.520]  ,
[00:00:45.520 --> 00:00:45.690]   so
[00:00:45.690 --> 00:00:45.770]   I
[00:00:45.770 --> 00:00:46.030]   met
[00:00:46.030 --> 00:00:46.690]   Travis
[00:00:46.690 --> 00:00:46.730]   at
[00:00:46.730 --> 00:00:46.810]   a
[00:00:46.810 --> 00:00:46.900]   T
[00:00:46.900 --> 00:00:47.150]  uck
[00:00:47.150 --> 00:00:47.680]   Crunch
[00:00:47.680 --> 00:00:48.110]   party
[00:00:48.110 --> 00:00:48.500]   back
[00:00:48.500 --> 00:00:48.640]   in
[00:00:48.640 --> 00:00:49.700]   2005
[00:00:49.700 --> 00:00:50.000]  ,
[00:00:50.000 --> 00:00:50.280]   and
[00:00:50.280 --> 00:00:50.360]   I
[00:00:50.360 --> 00:00:51.170]   mentioned
[00:00:51.170 --> 00:00:51.530]   this
[00:00:51.530 --> 00:00:52.000]   story
[00:00:52.000 --> 00:00:52.760]   in
[00:00:52.760 --> 00:00:52.760]  
[00:00:52.760 --> 00:00:53.130]   last
[00:00:53.130 --> 00:00:53.880]   weekend
[00:00:53.880 --> 00:00:53.980]  's
[00:00:53.980 --> 00:00:54.330]   show
[00:00:54.330 --> 00:00:54.650]  ,
[00:00:54.650 --> 00:00:54.920]   and
[00:00:54.920 --> 00:00:55.810]   essentially
[00:00:55.810 --> 00:00:56.180]   what
[00:00:56.180 --> 00:00:56.980]   happened
[00:00:56.980 --> 00:00:57.100]   is
[00:00:57.100 --> 00:00:57.190]   I
[00:00:57.190 --> 00:00:57.760]   drove
[00:00:57.760 --> 00:00:57.860]   up
[00:00:57.860 --> 00:00:58.010]   to
[00:00:58.010 --> 00:00:58.290]   the
[00:00:58.290 --> 00:00:58.380]   T
[00:00:58.380 --> 00:00:58.660]  uck
[00:00:58.660 --> 00:00:59.320]   Crunch
[00:00:59.320 --> 00:00:59.600]   party
[00:00:59.600 --> 00:00:59.720]  ,
[00:00:59.720 --> 00:01:00.080]   which
[00:01:00.080 --> 00:01:00.220]   is
[00:01:00.220 --> 00:01:00.390]   in
[00:01:00.390 --> 00:01:00.570]   Pal
[00:01:00.570 --> 00:01:00.640]  o
[00:01:00.640 --> 00:01:00.930]   Alto
[00:01:00.930 --> 00:01:01.580]   somewhere
[00:01:01.580 --> 00:01:01.780]  ,
[00:01:01.780 --> 00:01:01.930]   and
[00:01:01.930 --> 00:01:02.070]   it
[00:01:02.070 --> 00:01:02.280]   was
[00:01:02.280 --> 00:01:02.570]   like
[00:01:02.570 --> 00:01:02.670]   a
[00:01:02.670 --> 00:01:02.860]   six
[00:01:02.860 --> 00:01:02.920]  -
[00:01:02.920 --> 00:01:03.210]  hour
[00:01:03.210 --> 00:01:03.620]   drive
[00:01:03.620 --> 00:01:03.860]   here
[00:01:03.860 --> 00:01:04.180]   from
[00:01:04.180 --> 00:01:04.290]   LA
[00:01:04.290 --> 00:01:04.510]  ,
[00:01:04.510 --> 00:01:04.640]   and
[00:01:04.640 --> 00:01:04.840]   I
[00:01:04.840 --> 00:01:05.160]   didn
[00:01:05.160 --> 00:01:05.310]  't
[00:01:05.310 --> 00:01:05.910]   know
[00:01:05.910 --> 00:01:06.100]   anyone
[00:01:06.100 --> 00:01:06.490]   there
[00:01:06.490 --> 00:01:06.600]  ,
[00:01:06.600 --> 00:01:07.060]   and
[00:01:07.060 --> 00:01:07.290]   there
[00:01:07.290 --> 00:01:07.530]   was
[00:01:07.530 --> 00:01:07.940]   like
[00:01:07.940 --> 00:01:08.560]   400
[00:01:08.560 --> 00:01:09.030]   people
[00:01:09.030 --> 00:01:09.320]  .
[00:01:09.320 --> 00:01:09.670]   Everybody
[00:01:09.670 --> 00:01:09.900]   seemed
[00:01:09.900 --> 00:01:09.970]   to
[00:01:09.970 --> 00:01:10.120]   know
[00:01:10.120 --> 00:01:10.470]   everybody
[00:01:10.470 --> 00:01:10.620]   else
[00:01:10.620 --> 00:01:10.690]  ,
[00:01:10.690 --> 00:01:10.820]   and
[00:01:10.820 --> 00:01:10.870]   it
[00:01:10.870 --> 00:01:11.020]   just
[00:01:11.020 --> 00:01:11.250]   sucked
[00:01:11.250 --> 00:01:11.540]   because
[00:01:11.540 --> 00:01:11.550]   I
[00:01:11.550 --> 00:01:11.630]  'm
[00:01:11.630 --> 00:01:11.890]   walking
[00:01:11.890 --> 00:01:12.240]   around
[00:01:12.240 --> 00:01:12.550]   this
[00:01:12.550 --> 00:01:12.920]   party
[00:01:12.920 --> 00:01:13.210]  ,
[00:01:13.210 --> 00:01:13.310]   and
[00:01:13.310 --> 00:01:13.380]   I
[00:01:13.380 --> 00:01:13.690]   didn
[00:01:13.690 --> 00:01:13.840]  't
[00:01:13.840 --> 00:01:14.150]   know
[00:01:14.150 --> 00:01:14.690]   anybody
[00:01:14.690 --> 00:01:14.840]  ,
[00:01:14.840 --> 00:01:15.070]   and
[00:01:15.070 --> 00:01:15.220]   so
[00:01:15.220 --> 00:01:15.290]   I
[00:01:15.290 --> 00:01:15.670]   ended
[00:01:15.670 --> 00:01:16.120]   up
[00:01:16.120 --> 00:01:16.130]   just
[00:01:16.130 --> 00:01:16.510]   going
[00:01:16.510 --> 00:01:16.660]   to
[00:01:16.660 --> 00:01:16.960]   the
[00:01:16.960 --> 00:01:17.360]   fire
[00:01:17.360 --> 00:01:17.430]   pit
[00:01:17.430 --> 00:01:17.680]  ,
[00:01:17.680 --> 00:01:17.770]   and
[00:01:17.770 --> 00:01:17.810]   by
[00:01:17.810 --> 00:01:17.890]   the
[00:01:17.890 --> 00:01:17.970]   way
[00:01:17.970 --> 00:01:18.020]  ,
[00:01:18.020 --> 00:01:18.040]   I
[00:01:18.040 --> 00:01:18.130]  'll
[00:01:18.130 --> 00:01:18.230]   give
[00:01:18.230 --> 00:01:18.310]   you
[00:01:18.310 --> 00:01:18.330]   a
[00:01:18.330 --> 00:01:18.560]   little
[00:01:18.560 --> 00:01:18.650]   advice
[00:01:18.650 --> 00:01:18.800]  .
[00:01:18.800 --> 00:01:18.880]   If
[00:01:18.880 --> 00:01:18.960]   you
[00:01:18.960 --> 00:01:19.080]  're
[00:01:19.080 --> 00:01:19.190]   ever
[00:01:19.190 --> 00:01:19.280]   at
[00:01:19.280 --> 00:01:19.280]   a
[00:01:19.280 --> 00:01:19.470]   party
[00:01:19.470 --> 00:01:19.540]   and
[00:01:19.540 --> 00:01:19.640]   you
[00:01:19.640 --> 00:01:19.740]   don
[00:01:19.740 --> 00:01:19.800]  't
[00:01:19.800 --> 00:01:20.010]   know
[00:01:20.010 --> 00:01:20.060]   what
[00:01:20.060 --> 00:01:20.120]   to
[00:01:20.120 --> 00:01:20.180]   do
[00:01:20.180 --> 00:01:20.280]   and
[00:01:20.280 --> 00:01:20.380]   you
[00:01:20.380 --> 00:01:20.480]   don
[00:01:20.480 --> 00:01:20.540]  't
[00:01:20.540 --> 00:01:20.670]   know
[00:01:20.670 --> 00:01:20.900]   anybody
[00:01:20.900 --> 00:01:21.040]  ,
[00:01:21.040 --> 00:01:21.040]   go
[00:01:21.040 --> 00:01:21.040]  
[00:01:21.040 --> 00:01:21.280]   stand
[00:01:21.280 --> 00:01:21.370]   by
[00:01:21.370 --> 00:01:21.510]   the
[00:01:21.510 --> 00:01:21.720]   fire
[00:01:21.720 --> 00:01:21.840]   pit
[00:01:21.840 --> 00:01:22.500]   because
[00:01:22.500 --> 00:01:22.620]   everybody
[00:01:22.620 --> 00:01:23.110]   eventually
[00:01:23.110 --> 00:01:23.350]   comes
[00:01:23.350 --> 00:01:23.440]   by
[00:01:23.440 --> 00:01:23.530]  ,
[00:01:23.530 --> 00:01:23.670]   and
[00:01:23.670 --> 00:01:23.810]   you
[00:01:23.810 --> 00:01:23.960]   can
[00:01:23.960 --> 00:01:24.190]   stand
[00:01:24.190 --> 00:01:24.430]   there
[00:01:24.430 --> 00:01:24.570]   and
[00:01:24.570 --> 00:01:24.840]   not
[00:01:24.840 --> 00:01:25.150]   look
[00:01:25.150 --> 00:01:25.440]   like
[00:01:25.440 --> 00:01:25.630]   an
[00:01:25.630 --> 00:01:25.960]   idiot
[00:01:25.960 --> 00:01:26.200]  .
[00:01:26.200 --> 00:01:26.330]   So
[00:01:26.330 --> 00:01:26.390]   I
[00:01:26.390 --> 00:01:26.650]   was
[00:01:26.650 --> 00:01:27.130]   standing
[00:01:27.130 --> 00:01:27.470]   there
[00:01:27.470 --> 00:01:27.600]  ,
[00:01:27.600 --> 00:01:27.800]   and
[00:01:27.800 --> 00:01:28.140]   after
[00:01:28.140 --> 00:01:28.200]   a
[00:01:28.200 --> 00:01:28.580]   while
[00:01:28.580 --> 00:01:28.680]  ,
[00:01:28.680 --> 00:01:29.050]   Travis
[00:01:29.050 --> 00:01:29.450]   walked
[00:01:29.450 --> 00:01:29.650]   up
[00:01:29.650 --> 00:01:29.870]   with
[00:01:29.870 --> 00:01:29.980]   a
[00:01:29.980 --> 00:01:30.400]   friend
[00:01:30.400 --> 00:01:30.460]   of
[00:01:30.460 --> 00:01:30.660]   his
[00:01:30.660 --> 00:01:30.790]  ,
[00:01:30.790 --> 00:01:31.120]   and
[00:01:31.120 --> 00:01:31.210]   he
[00:01:31.210 --> 00:01:31.400]   just
[00:01:31.400 --> 00:01:31.730]   started
[00:01:31.730 --> 00:01:31.890]   a
[00:01:31.890 --> 00:01:32.340]   conversation
[00:01:32.340 --> 00:01:32.530]   like
[00:01:32.530 --> 00:01:32.620]  ,
[00:01:32.620 --> 00:01:32.670]   "
[00:01:32.670 --> 00:01:32.800]  Hey
[00:01:32.800 --> 00:01:32.890]  ,
[00:01:32.890 --> 00:01:33.080]   what
[00:01:33.080 --> 00:01:33.220]   are
[00:01:33.220 --> 00:01:33.360]   you
[00:01:33.360 --> 00:01:33.690]   working
[00:01:33.690 --> 00:01:33.780]   on
[00:01:33.780 --> 00:01:34.040]  ?"
[00:01:34.040 --> 00:01:34.220]   And
[00:01:34.220 --> 00:01:34.380]   we
[00:01:34.380 --> 00:01:34.820]   started
[00:01:34.820 --> 00:01:35.200]   talking
[00:01:35.200 --> 00:01:35.320]  ,
[00:01:35.320 --> 00:01:35.500]   and
