
[00:00:00.000 --> 00:00:00.530]  
[00:00:00.530 --> 00:00:00.750]   This
[00:00:00.750 --> 00:00:01.060]   show
[00:00:01.060 --> 00:00:01.320]   is
[00:00:01.320 --> 00:00:02.780]   distributed
[00:00:02.780 --> 00:00:03.040]   by
[00:00:03.040 --> 00:00:03.440]   Sun
[00:00:03.440 --> 00:00:03.570]  c
[00:00:03.570 --> 00:00:03.830]  ru
[00:00:03.830 --> 00:00:04.000]  x
[00:00:04.000 --> 00:00:04.000]  .
[00:00:04.000 --> 00:00:05.000]   Welcome
[00:00:05.000 --> 00:00:05.000]  !
[00:00:26.000 --> 00:00:26.000]  
[00:00:26.000 --> 00:00:26.790]   Welcome
[00:00:26.790 --> 00:00:27.010]   to
[00:00:27.010 --> 00:00:27.800]   episode
[00:00:27.800 --> 00:00:28.480]   20
[00:00:28.480 --> 00:00:28.830]  4
[00:00:28.830 --> 00:00:29.040]   of
[00:00:29.040 --> 00:00:29.380]   Tex
[00:00:29.380 --> 00:00:29.720]  ing
[00:00:29.720 --> 00:00:30.000]  ,
[00:00:30.000 --> 00:00:30.200]   hosted
[00:00:30.200 --> 00:00:30.260]   by
[00:00:30.260 --> 00:00:30.460]   myself
[00:00:30.460 --> 00:00:30.510]  ,
[00:00:30.510 --> 00:00:30.720]   Justin
[00:00:30.720 --> 00:00:31.000]   Vincent
[00:00:31.000 --> 00:00:31.080]  ,
[00:00:31.080 --> 00:00:31.210]   and
[00:00:31.210 --> 00:00:31.440]   Jason
[00:00:31.440 --> 00:00:31.950]   Roberts
[00:00:31.950 --> 00:00:32.000]  .
[00:00:32.000 --> 00:00:32.140]   On
[00:00:32.140 --> 00:00:32.490]   today
[00:00:32.490 --> 00:00:32.680]  's
[00:00:32.680 --> 00:00:32.910]   show
[00:00:32.910 --> 00:00:33.050]  ,
[00:00:33.050 --> 00:00:33.470]   myself
[00:00:33.470 --> 00:00:33.700]   and
[00:00:33.700 --> 00:00:34.030]   Jason
[00:00:34.030 --> 00:00:34.170]  ,
[00:00:34.170 --> 00:00:34.700]   once
[00:00:34.700 --> 00:00:34.810]   again
[00:00:34.810 --> 00:00:35.000]  ,
[00:00:35.000 --> 00:00:35.160]   we
[00:00:35.160 --> 00:00:35.270]  're
[00:00:35.270 --> 00:00:35.390]   in
[00:00:35.390 --> 00:00:35.540]   the
[00:00:35.540 --> 00:00:35.770]   same
[00:00:35.770 --> 00:00:36.000]   room
[00:00:36.000 --> 00:00:36.190]  ,
[00:00:36.190 --> 00:00:36.840]   and
[00:00:36.840 --> 00:00:37.000]   since
[00:00:37.000 --> 00:00:37.070]   he
[00:00:37.070 --> 00:00:37.140]  's
[00:00:37.140 --> 00:00:37.400]   arrived
[00:00:37.400 --> 00:00:37.590]   this
[00:00:37.590 --> 00:00:37.810]   morning
[00:00:37.810 --> 00:00:37.880]  ,
[00:00:37.880 --> 00:00:37.950]   he
[00:00:37.950 --> 00:00:38.100]   hasn
[00:00:38.100 --> 00:00:38.170]  't
[00:00:38.170 --> 00:00:38.470]   actually
[00:00:38.470 --> 00:00:38.730]   allowed
[00:00:38.730 --> 00:00:38.800]   us
[00:00:38.800 --> 00:00:38.870]   to
[00:00:38.870 --> 00:00:39.020]   talk
[00:00:39.020 --> 00:00:39.210]   about
[00:00:39.210 --> 00:00:39.510]   anything
[00:00:39.510 --> 00:00:39.770]   because
[00:00:39.770 --> 00:00:39.870]   he
[00:00:39.870 --> 00:00:40.060]   doesn
[00:00:40.060 --> 00:00:40.200]  't
[00:00:40.200 --> 00:00:40.490]   want
[00:00:40.490 --> 00:00:40.590]   us
[00:00:40.590 --> 00:00:40.730]   to
[00:00:40.730 --> 00:00:41.050]   waste
[00:00:41.050 --> 00:00:41.250]   any
[00:00:41.250 --> 00:00:41.940]   material
[00:00:41.940 --> 00:00:42.000]  .
[00:00:42.000 --> 00:00:42.520]   You
[00:00:42.520 --> 00:00:43.040]  're
[00:00:43.040 --> 00:00:43.210]   a
[00:00:43.210 --> 00:00:44.440]   content
[00:00:44.440 --> 00:00:44.960]   sie
[00:00:44.960 --> 00:00:45.390]  ve
[00:00:45.390 --> 00:00:45.880]  .
[00:00:45.880 --> 00:00:46.020]   You
[00:00:46.020 --> 00:00:46.110]   do
[00:00:46.110 --> 00:00:46.270]   all
[00:00:46.270 --> 00:00:46.390]   the
[00:00:46.390 --> 00:00:46.910]   interesting
[00:00:46.910 --> 00:00:47.110]   talk
[00:00:47.110 --> 00:00:47.350]   right
[00:00:47.350 --> 00:00:47.640]   before
[00:00:47.640 --> 00:00:47.780]   the
[00:00:47.780 --> 00:00:47.970]   show
[00:00:47.970 --> 00:00:48.060]  ,
[00:00:48.060 --> 00:00:48.150]   so
[00:00:48.150 --> 00:00:48.190]   I
[00:00:48.190 --> 00:00:48.380]   have
[00:00:48.380 --> 00:00:48.470]   to
[00:00:48.470 --> 00:00:48.770]   refuse
[00:00:48.770 --> 00:00:48.850]   to
[00:00:48.850 --> 00:00:49.480]   communicate
[00:00:49.480 --> 00:00:50.000]   with
[00:00:50.000 --> 00:00:50.180]   you
[00:00:50.180 --> 00:00:50.480]  .
[00:00:50.480 --> 00:00:50.630]   Well
[00:00:50.630 --> 00:00:50.700]  ,
[00:00:50.700 --> 00:00:50.840]   it
[00:00:50.840 --> 00:00:50.870]  's
[00:00:50.870 --> 00:00:50.990]   just
[00:00:50.990 --> 00:00:51.180]   weird
[00:00:51.180 --> 00:00:51.250]   to
[00:00:51.250 --> 00:00:51.430]   just
[00:00:51.430 --> 00:00:51.550]   have
[00:00:51.550 --> 00:00:51.690]   you
[00:00:51.690 --> 00:00:51.850]   stone
[00:00:51.850 --> 00:00:52.000]  wall
