
[00:00:00.000 --> 00:00:00.200]  
[00:00:00.200 --> 00:00:00.940]   This
[00:00:00.940 --> 00:00:01.320]   show
[00:00:01.320 --> 00:00:01.650]   is
[00:00:01.650 --> 00:00:03.730]   distributed
[00:00:03.730 --> 00:00:03.810]   by
[00:00:03.810 --> 00:00:04.310]   Sun
[00:00:04.310 --> 00:00:04.530]  c
[00:00:04.530 --> 00:00:04.980]  row
[00:00:04.980 --> 00:00:05.000]  .
[00:00:05.000 --> 00:00:07.000]   Welcome
[00:00:07.000 --> 00:00:07.000]  !
[00:00:28.000 --> 00:00:28.000]  
[00:00:28.000 --> 00:00:28.390]   Welcome
[00:00:28.390 --> 00:00:28.500]   to
[00:00:28.500 --> 00:00:28.890]   episode
[00:00:28.890 --> 00:00:29.220]   11
[00:00:29.220 --> 00:00:29.400]  6
[00:00:29.400 --> 00:00:29.510]   of
[00:00:29.510 --> 00:00:29.730]   Tech
[00:00:29.730 --> 00:00:29.780]  S
[00:00:29.780 --> 00:00:30.000]  ing
[00:00:30.000 --> 00:00:30.190]  ,
[00:00:30.190 --> 00:00:30.780]   hosted
[00:00:30.780 --> 00:00:31.000]   by
[00:00:31.000 --> 00:00:31.170]   myself
[00:00:31.170 --> 00:00:31.220]  ,
[00:00:31.220 --> 00:00:31.400]   Justin
[00:00:31.400 --> 00:00:31.500]   V
[00:00:31.500 --> 00:00:32.000]  inson
[00:00:32.000 --> 00:00:32.090]  ,
[00:00:32.090 --> 00:00:32.190]   and
[00:00:32.190 --> 00:00:32.400]   Jason
[00:00:32.400 --> 00:00:32.990]   Roberts
[00:00:32.990 --> 00:00:33.000]  .
[00:00:33.000 --> 00:00:33.190]   On
[00:00:33.190 --> 00:00:33.480]   today
[00:00:33.480 --> 00:00:33.580]  's
[00:00:33.580 --> 00:00:33.840]   show
[00:00:33.840 --> 00:00:33.960]  ,
[00:00:33.960 --> 00:00:34.090]   we
[00:00:34.090 --> 00:00:34.290]  're
[00:00:34.290 --> 00:00:34.740]   talking
[00:00:34.740 --> 00:00:34.890]   to
[00:00:34.890 --> 00:00:35.310]   Michael
[00:00:35.310 --> 00:00:35.440]   Sl
