
[00:00:00.000 --> 00:00:00.200]  
[00:00:00.200 --> 00:00:00.970]   This
[00:00:00.970 --> 00:00:01.320]   show
[00:00:01.320 --> 00:00:01.650]   is
[00:00:01.650 --> 00:00:03.760]   distributed
[00:00:03.760 --> 00:00:03.810]   by
[00:00:03.810 --> 00:00:04.310]   Sun
[00:00:04.310 --> 00:00:04.570]  c
[00:00:04.570 --> 00:00:04.800]  ru
[00:00:04.800 --> 00:00:04.990]  x
[00:00:04.990 --> 00:00:05.000]  .
[00:00:05.000 --> 00:00:07.000]   Welcome
[00:00:07.000 --> 00:00:07.000]  !
[00:00:28.000 --> 00:00:28.040]  
[00:00:28.040 --> 00:00:28.390]   Welcome
[00:00:28.390 --> 00:00:28.500]   to
[00:00:28.500 --> 00:00:28.890]   episode
[00:00:28.890 --> 00:00:29.230]   15
[00:00:29.230 --> 00:00:29.400]  1
[00:00:29.400 --> 00:00:29.510]   of
[00:00:29.510 --> 00:00:29.730]   Tech
[00:00:29.730 --> 00:00:29.780]  S
[00:00:29.780 --> 00:00:30.000]  ing
[00:00:30.000 --> 00:00:30.120]  ,
[00:00:30.120 --> 00:00:30.500]   hosted
[00:00:30.500 --> 00:00:30.600]   by
[00:00:30.600 --> 00:00:31.000]   myself
[00:00:31.000 --> 00:00:31.060]  ,
[00:00:31.060 --> 00:00:31.280]   Justin
[00:00:31.280 --> 00:00:32.010]   Vincent
[00:00:32.010 --> 00:00:32.120]   and
[00:00:32.120 --> 00:00:32.320]   Jason
[00:00:32.320 --> 00:00:32.990]   Roberts
[00:00:32.990 --> 00:00:33.000]  .
[00:00:33.000 --> 00:00:33.130]   On
[00:00:33.130 --> 00:00:33.370]   today
[00:00:33.370 --> 00:00:33.470]  's
[00:00:33.470 --> 00:00:33.680]   show
[00:00:33.680 --> 00:00:33.780]  ,
[00:00:33.780 --> 00:00:33.930]   we
[00:00:33.930 --> 00:00:34.040]  're
[00:00:34.040 --> 00:00:34.420]   talking
[00:00:34.420 --> 00:00:34.510]   to
[00:00:34.510 --> 00:00:34.610]   Ch
[00:00:34.610 --> 00:00:34.710]  on
[00:00:34.710 --> 00:00:35.280]   Tang
[00:00:35.280 --> 00:00:35.280]   from
[00:00:35.280 --> 00:00:35.490]   Jun
[00:00:35.490 --> 00:00:35.630]  ze
[00:00:35.630 --> 00:00:35.690]  e
[00:00:35.690 --> 00:00:36.200]   Capital
[00:00:36.200 --> 00:00:36.670]   Engineering
[00:00:36.670 --> 00:00:37.000]  .
[00:00:37.000 --> 00:00:37.140]   Hi
[00:00:37.140 --> 00:00:37.150]  ,
[00:00:37.150 --> 00:00:37.210]   Ch
[00:00:37.210 --> 00:00:37.280]  on
[00:00:37.280 --> 00:00:37.350]  ,
[00:00:37.350 --> 00:00:37.460]   how
[00:00:37.460 --> 00:00:37.570]   are
[00:00:37.570 --> 00:00:37.680]   you
[00:00:37.680 --> 00:00:37.990]   doing
[00:00:37.990 --> 00:00:38.000]  ?
[00:00:38.000 --> 00:00:38.190]   Hi
[00:00:38.190 --> 00:00:38.220]  ,
[00:00:38.220 --> 00:00:38.560]   Justin
[00:00:38.560 --> 00:00:38.670]  ,
[00:00:38.670 --> 00:00:38.720]   I
[00:00:38.720 --> 00:00:38.830]  'm
