
[00:00:00.000 --> 00:00:00.050]  
[00:00:00.050 --> 00:00:21.280]   Welcome
[00:00:21.280 --> 00:00:21.400]   to
[00:00:21.400 --> 00:00:21.840]   episode
[00:00:21.840 --> 00:00:22.220]   49
[00:00:22.220 --> 00:00:22.330]   of
[00:00:22.330 --> 00:00:22.590]   Tech
[00:00:22.590 --> 00:00:22.650]  S
[00:00:22.650 --> 00:00:22.860]  ing
[00:00:22.860 --> 00:00:23.130]   hosted
[00:00:23.130 --> 00:00:23.220]   by
[00:00:23.220 --> 00:00:23.490]   myself
[00:00:23.490 --> 00:00:23.580]  ,
[00:00:23.580 --> 00:00:23.880]   Justin
[00:00:23.880 --> 00:00:24.200]   Vincent
[00:00:24.200 --> 00:00:24.360]   and
[00:00:24.360 --> 00:00:24.640]   Jason
[00:00:24.640 --> 00:00:25.480]   Roberts
[00:00:25.480 --> 00:00:25.760]  .
[00:00:25.760 --> 00:00:25.760]  
[00:00:25.760 --> 00:00:25.980]   And
[00:00:25.980 --> 00:00:26.300]   this
[00:00:26.300 --> 00:00:26.640]   week
[00:00:26.640 --> 00:00:26.760]   we
[00:00:26.760 --> 00:00:27.070]   have
[00:00:27.070 --> 00:00:27.620]   special
[00:00:27.620 --> 00:00:28.090]   guests
[00:00:28.090 --> 00:00:28.400]   with
[00:00:28.400 --> 00:00:28.550]   us
[00:00:28.550 --> 00:00:28.860]   from
[00:00:28.860 --> 00:00:29.080]   Pub
[00:00:29.080 --> 00:00:29.160]  N
[00:00:29.160 --> 00:00:29.310]  ub
[00:00:29.310 --> 00:00:29.560]  ,
[00:00:29.560 --> 00:00:29.770]   Todd
[00:00:29.770 --> 00:00:30.160]   Green
[00:00:30.160 --> 00:00:30.420]   and
[00:00:30.420 --> 00:00:30.860]   Steven
[00:00:30.860 --> 00:00:31.010]   Bl
[00:00:31.010 --> 00:00:31.270]  um
[00:00:31.270 --> 00:00:32.080]  .
[00:00:32.080 --> 00:00:32.500]   Yeah
[00:00:32.500 --> 00:00:32.700]  ,
[00:00:32.700 --> 00:00:32.920]   so
[00:00:32.920 --> 00:00:33.130]   we
[00:00:33.130 --> 00:00:33.870]   invited
[00:00:33.870 --> 00:00:34.190]   you
[00:00:34.190 --> 00:00:34.610]   guys
[00:00:34.610 --> 00:00:34.820]   on
[00:00:34.820 --> 00:00:35.560]   because
[00:00:35.560 --> 00:00:35.980]   last
[00:00:35.980 --> 00:00:36.460]   week
[00:00:36.460 --> 00:00:36.500]   I
[00:00:36.500 --> 00:00:37.030]   think
[00:00:37.030 --> 00:00:37.240]   it
[00:00:37.240 --> 00:00:37.560]   was
[00:00:37.560 --> 00:00:38.090]   early
[00:00:38.090 --> 00:00:38.300]   in
[00:00:38.300 --> 00:00:38.790]   this
[00:00:38.790 --> 00:00:38.830]  ,
[00:00:38.830 --> 00:00:38.900]   yeah
[00:00:38.900 --> 00:00:38.930]  ,
[00:00:38.930 --> 00:00:38.960]   I
[00:00:38.960 --> 00:00:39.370]   guess
[00:00:39.370 --> 00:00:39.480]   it
[00:00:39.480 --> 00:00:39.700]   was
[00:00:39.700 --> 00:00:40.060]   early
[00:00:40.060 --> 00:00:40.220]   in
[00:00:40.220 --> 00:00:40.550]   this
[00:00:40.550 --> 00:00:40.820]   past
[00:00:40.820 --> 00:00:41.140]   week
[00:00:41.140 --> 00:00:41.360]  .
[00:00:41.360 --> 00:00:41.820]   There
[00:00:41.820 --> 00:00:42.090]   was
[00:00:42.090 --> 00:00:42.180]   a
[00:00:42.180 --> 00:00:42.360]   an
[00:00:42.360 --> 00:00:43.000]   article
[00:00:43.000 --> 00:00:43.470]   about
[00:00:43.470 --> 00:00:43.730]   you
[00:00:43.730 --> 00:00:44.100]   guys
[00:00:44.100 --> 00:00:44.470]   that
[00:00:44.470 --> 00:00:45.020]   popped
[00:00:45.020 --> 00:00:45.200]   up
[00:00:45.200 --> 00:00:45.380]   on
[00:00:45.380 --> 00:00:45.470]   H
[00:00:45.470 --> 00:00:46.050]  acker
[00:00:46.050 --> 00:00:46.300]   News
[00:00:46.300 --> 00:00:46.640]  .
[00:00:46.640 --> 00:00:46.750]   And
