
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:01.010]   This
[00:00:01.010 --> 00:00:01.680]   show
[00:00:01.680 --> 00:00:02.410]   is
[00:00:02.410 --> 00:00:04.430]   distributed
[00:00:04.430 --> 00:00:05.460]   by
[00:00:05.460 --> 00:00:05.910]   Sound
[00:00:05.910 --> 00:00:07.000]  cloud
[00:00:07.000 --> 00:00:07.500]  .
[00:00:07.500 --> 00:00:08.000]  com
[00:00:08.000 --> 00:00:10.990]   Welcome
[00:00:10.990 --> 00:00:11.840]   to
[00:00:11.840 --> 00:00:14.830]   episode
[00:00:14.830 --> 00:00:17.400]   18
[00:00:17.400 --> 00:00:18.680]  6
[00:00:18.680 --> 00:00:19.530]   of
[00:00:19.530 --> 00:00:21.240]   Tech
[00:00:21.240 --> 00:00:21.660]  S
[00:00:21.660 --> 00:00:22.990]  ing
[00:00:22.990 --> 00:00:23.280]   hosted
[00:00:23.280 --> 00:00:23.370]   by
[00:00:23.370 --> 00:00:23.640]   myself
[00:00:23.640 --> 00:00:24.080]   Justin
[00:00:24.080 --> 00:00:24.470]   Vincent
[00:00:24.470 --> 00:00:24.750]   and
[00:00:24.750 --> 00:00:25.200]   Jason
[00:00:25.200 --> 00:00:25.200]  
[00:00:25.200 --> 00:00:25.680]   Roberts
[00:00:25.680 --> 00:00:25.920]  .
[00:00:25.920 --> 00:00:26.120]   Hey
[00:00:26.120 --> 00:00:26.480]   Jason
[00:00:26.480 --> 00:00:26.620]  ,
[00:00:26.620 --> 00:00:26.800]   how
[00:00:26.800 --> 00:00:27.030]   you
[00:00:27.030 --> 00:00:27.500]   doing
[00:00:27.500 --> 00:00:27.610]  ?
[00:00:27.610 --> 00:00:27.890]   Good
[00:00:27.890 --> 00:00:28.030]  ,
[00:00:28.030 --> 00:00:28.240]   how
[00:00:28.240 --> 00:00:28.580]   about
[00:00:28.580 --> 00:00:29.280]   yourself
[00:00:29.280 --> 00:00:29.440]  ?
[00:00:29.440 --> 00:00:29.660]   Yeah
[00:00:29.660 --> 00:00:30.400]   pretty
[00:00:30.400 --> 00:00:30.480]   good
[00:00:30.480 --> 00:00:30.850]  .
[00:00:30.850 --> 00:00:31.000]   Pretty
[00:00:31.000 --> 00:00:31.240]   good
[00:00:31.240 --> 00:00:31.240]  .
[00:00:31.240 --> 00:00:31.350]   It
[00:00:31.350 --> 00:00:31.460]  's
[00:00:31.460 --> 00:00:31.670]   been
[00:00:31.670 --> 00:00:31.740]   a
[00:00:31.740 --> 00:00:32.010]   while
[00:00:32.010 --> 00:00:32.290]   since
[00:00:32.290 --> 00:00:32.400]   we
[00:00:32.400 --> 00:00:32.550]  've
[00:00:32.550 --> 00:00:32.780]   done
[00:00:32.780 --> 00:00:32.830]   a
[00:00:32.830 --> 00:00:33.220]   morning
[00:00:33.220 --> 00:00:33.440]   show
[00:00:33.440 --> 00:00:34.040]  .
[00:00:34.040 --> 00:00:34.110]   Well
[00:00:34.110 --> 00:00:34.320]   it
[00:00:34.320 --> 00:00:34.530]  's
[00:00:34.530 --> 00:00:34.880]   not
[00:00:34.880 --> 00:00:34.890]   it
[00:00:34.890 --> 00:00:34.900]  's
[00:00:34.900 --> 00:00:34.920]   not
[00:00:34.920 --> 00:00:35.200]   really
[00:00:35.200 --> 00:00:35.530]   morning
[00:00:35.530 --> 00:00:35.670]   for
[00:00:35.670 --> 00:00:35.760]   me
[00:00:35.760 --> 00:00:35.900]   it
[00:00:35.900 --> 00:00:35.940]  's
[00:00:35.940 --> 00:00:36.080]   the
[00:00:36.080 --> 00:00:36.510]   afternoon
[00:00:36.510 --> 00:00:36.700]   over
[00:00:36.700 --> 00:00:36.890]   here
[00:00:36.890 --> 00:00:37.650]  .
[00:00:37.650 --> 00:00:37.660]   Well
[00:00:37.660 --> 00:00:37.800]   I
[00:00:37.800 --> 00:00:37.930]   know
[00:00:37.930 --> 00:00:38.040]   you
[00:00:38.040 --> 00:00:38.190]   wake
[00:00:38.190 --> 00:00:38.360]   up
[00:00:38.360 --> 00:00:38.600]   kind
[00:00:38.600 --> 00:00:38.700]   of
[00:00:38.700 --> 00:00:38.900]   late
[00:00:38.900 --> 00:00:39.000]   so
[00:00:39.000 --> 00:00:39.250]   maybe
[00:00:39.250 --> 00:00:39.350]   it
[00:00:39.350 --> 00:00:39.450]  's
[00:00:39.450 --> 00:00:39.750]   kind
[00:00:39.750 --> 00:00:39.890]   of
[00:00:39.890 --> 00:00:40.100]   morning
[00:00:40.100 --> 00:00:40.150]  -
[00:00:40.150 --> 00:00:40.300]  ish
[00:00:40.300 --> 00:00:40.450]   for
[00:00:40.450 --> 00:00:40.600]   you
[00:00:40.600 --> 00:00:40.760]  .
[00:00:40.760 --> 00:00:40.910]   No
[00:00:40.910 --> 00:00:41.060]   no
[00:00:41.060 --> 00:00:41.210]   no
[00:00:41.210 --> 00:00:41.280]   I
[00:00:41.280 --> 00:00:41.500]   was
[00:00:41.500 --> 00:00:41.740]   up
[00:00:41.740 --> 00:00:41.800]   at
[00:00:41.800 --> 00:00:41.960]   8
[00:00:41.960 --> 00:00:42.000]  .
[00:00:42.000 --> 00:00:42.370]   I
[00:00:42.370 --> 00:00:42.600]   was
[00:00:42.600 --> 00:00:42.760]   up
[00:00:42.760 --> 00:00:42.920]   at
[00:00:42.920 --> 00:00:42.960]   8
[00:00:42.960 --> 00:00:42.990]  .
[00:00:42.990 --> 00:00:43.070]   Really
[00:00:43.070 --> 00:00:43.120]  ?
[00:00:43.120 --> 00:00:43.600]   Yeah
[00:00:43.600 --> 00:00:43.840]  .
[00:00:43.840 --> 00:00:44.110]   I
[00:00:44.110 --> 00:00:44.320]   thought
[00:00:44.320 --> 00:00:44.440]   you
[00:00:44.440 --> 00:00:44.520]   were
[00:00:44.520 --> 00:00:44.560]   a
[00:00:44.560 --> 00:00:44.960]   sleep
[00:00:44.960 --> 00:00:45.040]  -
[00:00:45.040 --> 00:00:45.120]  in
[00:00:45.120 --> 00:00:45.360]   kind
[00:00:45.360 --> 00:00:45.400]   of
[00:00:45.400 --> 00:00:45.560]   guy
[00:00:45.560 --> 00:00:45.560]  .
[00:00:45.560 --> 00:00:45.760]   Well
[00:00:45.760 --> 00:00:45.810]   I
[00:00:45.810 --> 00:00:46.180]   mean
[00:00:46.180 --> 00:00:46.230]   you
[00:00:46.230 --> 00:00:46.330]   don
[00:00:46.330 --> 00:00:46.430]  't
[00:00:46.430 --> 00:00:46.640]   when
[00:00:46.640 --> 00:00:46.790]   you
[00:00:46.790 --> 00:00:46.940]   don
[00:00:46.940 --> 00:00:47.040]  't
[00:00:47.040 --> 00:00:47.250]   have
[00:00:47.250 --> 00:00:47.460]   kids
[00:00:47.460 --> 00:00:47.630]   it
[00:00:47.630 --> 00:00:47.660]  's
[00:00:47.660 --> 00:00:48.130]   something
[00:00:48.130 --> 00:00:48.360]   you
[00:00:48.360 --> 00:00:48.670]   actually
[00:00:48.670 --> 00:00:48.960]   do
[00:00:48.960 --> 00:00:49.130]   as
[00:00:49.130 --> 00:00:49.300]   an
[00:00:49.300 --> 00:00:49.880]   adult
[00:00:49.880 --> 00:00:50.140]  .
[00:00:50.140 --> 00:00:50.180]   We
[00:00:50.180 --> 00:00:50.390]  've
[00:00:50.390 --> 00:00:51.070]   recently
[00:00:51.070 --> 00:00:51.660]   started
[00:00:51.660 --> 00:00:52.080]   going
[00:00:52.080 --> 00:00:52.330]   for
[00:00:52.330 --> 00:00:52.880]   walks
[00:00:52.880 --> 00:00:53.000]   in
[00:00:53.000 --> 00:00:53.050]   a
[00:00:53.050 --> 00:00:53.320]   local
[00:00:53.320 --> 00:00:53.560]   park
[00:00:53.560 --> 00:00:53.840]   every
[00:00:53.840 --> 00:00:54.120]   morning
[00:00:54.120 --> 00:00:54.140]  
[00:00:54.140 --> 00:00:54.300]   so
[00:00:54.300 --> 00:00:54.480]   we
[00:00:54.480 --> 00:00:54.750]   get
[00:00:54.750 --> 00:00:54.930]   up
[00:00:54.930 --> 00:00:55.000]   at
[00:00:55.000 --> 00:00:55.610]   8
[00:00:55.610 --> 00:00:55.640]  .
[00:00:55.640 --> 00:00:56.090]   Oh
[00:00:56.090 --> 00:00:56.170]   good
[00:00:56.170 --> 00:00:56.440]   for
[00:00:56.440 --> 00:00:56.710]   you
[00:00:56.710 --> 00:00:57.000]  .
[00:00:57.000 --> 00:00:57.170]   So
[00:00:57.170 --> 00:00:57.380]   um
[00:00:57.380 --> 00:00:58.120]  ...
[00:00:58.120 --> 00:00:58.340]   And
[00:00:58.340 --> 00:00:58.480]   don
[00:00:58.480 --> 00:00:58.630]  't
[00:00:58.630 --> 00:00:58.780]   say
[00:00:58.780 --> 00:00:58.960]   how
[00:00:58.960 --> 00:00:59.080]  's
[00:00:59.080 --> 00:00:59.280]   the
[00:00:59.280 --> 00:00:59.480]   weight
[00:00:59.480 --> 00:00:59.710]   loss
[00:00:59.710 --> 00:00:59.970]   going
[00:00:59.970 --> 00:01:00.120]  .
[00:01:00.120 --> 00:01:00.640]   I
[00:01:00.640 --> 00:01:00.780]   wouldn
[00:01:00.780 --> 00:01:00.970]  't
[00:01:00.970 --> 00:01:01.350]   even
[00:01:01.350 --> 00:01:01.660]   bro
[00:01:01.660 --> 00:01:01.910]  ach
[00:01:01.910 --> 00:01:02.210]   the
[00:01:02.210 --> 00:01:02.660]   topic
[00:01:02.660 --> 00:01:03.230]   unless
[00:01:03.230 --> 00:01:03.510]   you
[00:01:03.510 --> 00:01:03.800]   bro
[00:01:03.800 --> 00:01:04.260]  ached
[00:01:04.260 --> 00:01:04.450]   it
[00:01:04.450 --> 00:01:04.720]   so
[00:01:04.720 --> 00:01:04.970]   how
[00:01:04.970 --> 00:01:05.210]   was
[00:01:05.210 --> 00:01:05.730]   it
[00:01:05.730 --> 00:01:05.770]  ?
[00:01:05.770 --> 00:01:06.760]   Anything
[00:01:06.760 --> 00:01:06.840]   you
[00:01:06.840 --> 00:01:07.000]   want
[00:01:07.000 --> 00:01:07.020]   to
[00:01:07.020 --> 00:01:07.080]   say
[00:01:07.080 --> 00:01:07.430]  ?
[00:01:07.430 --> 00:01:07.800]   Any
[00:01:07.800 --> 00:01:08.790]   progress
[00:01:08.790 --> 00:01:09.120]  ?
[00:01:09.120 --> 00:01:10.240]   No
[00:01:10.240 --> 00:01:10.600]   no
[00:01:10.600 --> 00:01:11.110]   progress
[00:01:11.110 --> 00:01:11.440]   but
[00:01:11.440 --> 00:01:11.710]   nothing
[00:01:11.710 --> 00:01:11.740]   I
[00:01:11.740 --> 00:01:11.890]   mean
[00:01:11.890 --> 00:01:11.920]   I
[00:01:11.920 --> 00:01:11.990]  'm
[00:01:11.990 --> 00:01:12.100]   not
[00:01:12.100 --> 00:01:12.170]   it
[00:01:12.170 --> 00:01:12.240]  's
[00:01:12.240 --> 00:01:12.410]   not
[00:01:12.410 --> 00:01:12.500]   like
[00:01:12.500 --> 00:01:12.530]   I
[00:01:12.530 --> 00:01:12.650]  'm
[00:01:12.650 --> 00:01:12.870]   gaining
[00:01:12.870 --> 00:01:12.980]   any
[00:01:12.980 --> 00:01:13.210]   weight
[00:01:13.210 --> 00:01:13.320]   but
[00:01:13.320 --> 00:01:13.350]   I
[00:01:13.350 --> 00:01:13.440]  'm
[00:01:13.440 --> 00:01:13.710]   also
[00:01:13.710 --> 00:01:13.880]   not
[00:01:13.880 --> 00:01:14.340]   losing
[00:01:14.340 --> 00:01:14.650]   that
[00:01:14.650 --> 00:01:15.190]   much
[00:01:15.190 --> 00:01:15.420]   either
[00:01:15.420 --> 00:01:15.700]  .
