
[00:00:00.000 --> 00:00:00.830]  
[00:00:00.830 --> 00:00:02.420]   Welcome
[00:00:02.420 --> 00:00:03.110]   to
[00:00:03.110 --> 00:00:05.530]   episode
[00:00:05.530 --> 00:00:08.640]   300
[00:00:08.640 --> 00:00:09.330]   of
[00:00:09.330 --> 00:00:10.710]   Tech
[00:00:10.710 --> 00:00:11.050]   Z
[00:00:11.050 --> 00:00:12.080]  ing
[00:00:12.080 --> 00:00:12.770]  ,
[00:00:12.770 --> 00:00:14.850]   hosted
[00:00:14.850 --> 00:00:15.540]   by
[00:00:15.540 --> 00:00:17.620]   myself
[00:00:17.620 --> 00:00:18.310]  ,
[00:00:18.310 --> 00:00:19.350]   Rob
[00:00:19.350 --> 00:00:20.730]   Wall
[00:00:20.730 --> 00:00:21.760]  ing
[00:00:21.760 --> 00:00:22.450]  ,
[00:00:22.450 --> 00:00:24.180]   Jason
[00:00:24.180 --> 00:00:26.600]   Vincent
[00:00:26.600 --> 00:00:27.290]  ,
[00:00:27.290 --> 00:00:29.480]   Justin
[00:00:29.480 --> 00:00:29.500]  
[00:00:29.500 --> 00:00:29.900]   and
[00:00:29.900 --> 00:00:30.610]   Jason
[00:00:30.610 --> 00:00:31.610]   Roberts
[00:00:31.610 --> 00:00:32.040]  .
[00:00:32.040 --> 00:00:32.150]   On
[00:00:32.150 --> 00:00:32.430]   today
[00:00:32.430 --> 00:00:32.550]  's
[00:00:32.550 --> 00:00:32.760]   show
[00:00:32.760 --> 00:00:32.860]  ,
[00:00:32.860 --> 00:00:32.940]   I
[00:00:32.940 --> 00:00:33.030]  'm
[00:00:33.030 --> 00:00:33.420]   turning
[00:00:33.420 --> 00:00:33.580]   the
[00:00:33.580 --> 00:00:34.000]   tables
[00:00:34.000 --> 00:00:34.160]   on
[00:00:34.160 --> 00:00:34.650]   Jason
[00:00:34.650 --> 00:00:34.970]   and
[00:00:34.970 --> 00:00:35.540]   Justin
[00:00:35.540 --> 00:00:35.760]  ,
[00:00:35.760 --> 00:00:35.800]   and
[00:00:35.800 --> 00:00:36.120]   I
[00:00:36.120 --> 00:00:36.790]  'm
[00:00:36.790 --> 00:00:36.840]   leading
[00:00:36.840 --> 00:00:37.260]   through
[00:00:37.260 --> 00:00:37.290]   a
[00:00:37.290 --> 00:00:37.640]   bunch
[00:00:37.640 --> 00:00:37.780]   of
[00:00:37.780 --> 00:00:37.860]   the
[00:00:37.860 --> 00:00:38.240]   topics
[00:00:38.240 --> 00:00:38.400]   of
[00:00:38.400 --> 00:00:38.480]   the
[00:00:38.480 --> 00:00:38.710]   last
[00:00:38.710 --> 00:00:38.870]   2
[00:00:38.870 --> 00:00:39.220]  99
[00:00:39.220 --> 00:00:39.380]   and
[00:00:39.380 --> 00:00:39.440]   a
[00:00:39.440 --> 00:00:39.670]   half
[00:00:39.670 --> 00:00:40.130]   episodes
[00:00:40.130 --> 00:00:40.400]  .
[00:00:40.400 --> 00:00:40.550]   And
[00:00:40.550 --> 00:00:40.650]   we
[00:00:40.650 --> 00:00:40.800]  're
[00:00:40.800 --> 00:00:41.150]   gonna
[00:00:41.150 --> 00:00:41.440]   obviously
[00:00:41.440 --> 00:00:41.550]   not
[00:00:41.550 --> 00:00:41.640]   be
[00:00:41.640 --> 00:00:41.770]   able
[00:00:41.770 --> 00:00:41.840]   to
[00:00:41.840 --> 00:00:42.010]   get
[00:00:42.010 --> 00:00:42.220]   through
[00:00:42.220 --> 00:00:42.610]   everything
[00:00:42.610 --> 00:00:42.800]   today
[00:00:42.800 --> 00:00:42.880]  ,
[00:00:42.880 --> 00:00:42.980]   but
[00:00:42.980 --> 00:00:43.060]   we
[00:00:43.060 --> 00:00:43.270]  're
[00:00:43.270 --> 00:00:43.350]   gonna
[00:00:43.350 --> 00:00:43.500]   talk
[00:00:43.500 --> 00:00:43.690]   about
[00:00:43.690 --> 00:00:44.000]   projects
[00:00:44.000 --> 00:00:44.270]   they
[00:00:44.270 --> 00:00:44.400]  've
[00:00:44.400 --> 00:00:44.620]   done
[00:00:44.620 --> 00:00:44.730]  ,
[00:00:44.730 --> 00:00:44.890]   une
[00:00:44.890 --> 00:00:45.110]  arth
[00:00:45.110 --> 00:00:45.270]   old
[00:00:45.270 --> 00:00:45.540]   memes
[00:00:45.540 --> 00:00:45.660]  ,
[00:00:45.660 --> 00:00:45.870]   talk
[00:00:45.870 --> 00:00:46.130]   about
[00:00:46.130 --> 00:00:46.530]   notable
[00:00:46.530 --> 00:00:46.870]   guests
[00:00:46.870 --> 00:00:47.020]   and
[00:00:47.020 --> 00:00:47.200]   all
[00:00:47.200 --> 00:00:47.450]   kinds
[00:00:47.450 --> 00:00:47.560]   of
[00:00:47.560 --> 00:00:47.830]   stuff
[00:00:47.830 --> 00:00:48.080]  .
[00:00:48.080 --> 00:00:48.160]   So
[00:00:48.160 --> 00:00:48.390]   stick
[00:00:48.390 --> 00:00:48.520]   with
[00:00:48.520 --> 00:00:48.600]   us
[00:00:48.600 --> 00:00:48.670]  ,
[00:00:48.670 --> 00:00:48.760]   it
[00:00:48.760 --> 00:00:48.850]  's
[00:00:48.850 --> 00:00:49.190]   probably
[00:00:49.190 --> 00:00:49.410]   gonna
[00:00:49.410 --> 00:00:49.490]   be
[00:00:49.490 --> 00:00:49.530]   a
[00:00:49.530 --> 00:00:49.700]   long
[00:00:49.700 --> 00:00:49.830]   one
[00:00:49.830 --> 00:00:50.040]  .
[00:00:50.040 --> 00:00:50.300]   Oh
[00:00:50.300 --> 00:00:50.320]  ,
[00:00:50.320 --> 00:00:50.580]   geez
[00:00:50.580 --> 00:00:50.700]  ,
[00:00:50.700 --> 00:00:50.760]   a
[00:00:50.760 --> 00:00:51.030]   long
[00:00:51.030 --> 00:00:51.230]   one
[00:00:51.230 --> 00:00:51.430]  .
[00:00:51.430 --> 00:00:51.490]   I
[00:00:51.490 --> 00:00:51.760]   need
[00:00:51.760 --> 00:00:52.100]   lunch
[00:00:52.100 --> 00:00:52.400]  .
[00:00:52.400 --> 00:00:52.490]   I
[00:00:52.490 --> 00:00:52.680]  'm
[00:00:52.680 --> 00:00:53.520]   starving
[00:00:53.520 --> 00:00:53.760]  .
[00:00:53.760 --> 00:00:54.010]   Well
[00:00:54.010 --> 00:00:54.320]  ,
[00:00:54.320 --> 00:00:54.330]   you
[00:00:54.330 --> 00:00:54.610]   may
[00:00:54.610 --> 00:00:54.760]   need
[00:00:54.760 --> 00:00:54.880]   to
[00:00:54.880 --> 00:00:55.130]   step
