
[00:00:00.000 --> 00:00:00.200]  
[00:00:00.200 --> 00:00:01.010]   Join
[00:00:01.010 --> 00:00:01.100]   myself
[00:00:01.100 --> 00:00:01.460]   and
[00:00:01.460 --> 00:00:02.000]   Jason
[00:00:02.000 --> 00:00:02.180]   at
[00:00:02.180 --> 00:00:02.680]   Micro
[00:00:02.680 --> 00:00:03.060]  Conf
[00:00:03.060 --> 00:00:03.980]   2011
[00:00:03.980 --> 00:00:04.730]   June
[00:00:04.730 --> 00:00:04.980]   6
[00:00:04.980 --> 00:00:05.400]   and
[00:00:05.400 --> 00:00:05.910]   7
[00:00:05.910 --> 00:00:06.070]   in
[00:00:06.070 --> 00:00:06.410]   Las
[00:00:06.410 --> 00:00:07.000]   Vegas
[00:00:07.000 --> 00:00:07.000]  .
[00:00:07.000 --> 00:00:07.240]   For
[00:00:07.240 --> 00:00:07.590]   more
[00:00:07.590 --> 00:00:08.450]   information
[00:00:08.450 --> 00:00:08.610]   go
[00:00:08.610 --> 00:00:08.770]   to
[00:00:08.770 --> 00:00:09.170]   micro
[00:00:09.170 --> 00:00:09.490]  conf
[00:00:09.490 --> 00:00:09.730]  .
[00:00:09.730 --> 00:00:10.000]  com
[00:00:10.000 --> 00:00:10.300]   and
[00:00:10.300 --> 00:00:10.790]   enter
[00:00:10.790 --> 00:00:11.000]   in
[00:00:11.000 --> 00:00:11.110]   "
[00:00:11.110 --> 00:00:11.220]  T
[00:00:11.220 --> 00:00:11.440]  ek
[00:00:11.440 --> 00:00:11.870]  zing
[00:00:11.870 --> 00:00:12.000]  "
[00:00:12.000 --> 00:00:12.110]   to
[00:00:12.110 --> 00:00:12.270]   get
[00:00:12.270 --> 00:00:12.320]   $
[00:00:12.320 --> 00:00:12.810]  100
[00:00:12.810 --> 00:00:13.000]   off
[00:00:13.000 --> 00:00:13.140]   a
[00:00:13.140 --> 00:00:14.000]   ticket
[00:00:14.000 --> 00:00:14.000]  .
[00:00:14.000 --> 00:00:23.280]   Generation
[00:00:23.280 --> 00:00:24.210]   Z
[00:00:24.210 --> 00:00:27.000]  ERO
[00:00:27.000 --> 00:00:27.000]  
[00:00:27.000 --> 00:00:27.610]   Welcome
[00:00:27.610 --> 00:00:27.780]   to
[00:00:27.780 --> 00:00:28.390]   episode
[00:00:28.390 --> 00:00:28.910]   13
[00:00:28.910 --> 00:00:29.170]  2
[00:00:29.170 --> 00:00:29.340]   of
[00:00:29.340 --> 00:00:29.600]   Tek
[00:00:29.600 --> 00:00:30.000]  zing
[00:00:30.000 --> 00:00:30.420]   hosted
[00:00:30.420 --> 00:00:30.560]   by
[00:00:30.560 --> 00:00:31.060]   myself
[00:00:31.060 --> 00:00:31.080]  ,
[00:00:31.080 --> 00:00:31.370]   Justin
[00:00:31.370 --> 00:00:31.690]   Vincent
[00:00:31.690 --> 00:00:31.840]   and
[00:00:31.840 --> 00:00:31.900]   Jason
[00:00:31.900 --> 00:00:32.000]   Roberts
[00:00:32.000 --> 00:00:32.360]   where
[00:00:32.360 --> 00:00:32.460]   I
[00:00:32.460 --> 00:00:32.790]   haven
[00:00:32.790 --> 00:00:32.930]  't
[00:00:32.930 --> 00:00:33.290]   done
[00:00:33.290 --> 00:00:33.430]   any
[00:00:33.430 --> 00:00:34.230]   preparation
[00:00:34.230 --> 00:00:35.000]   whatsoever
[00:00:35.000 --> 00:00:35.000]  .
[00:00:35.000 --> 00:00:35.350]   This
[00:00:35.350 --> 00:00:35.640]   is
[00:00:35.640 --> 00:00:35.670]   a
[00:00:35.670 --> 00:00:36.010]   very
[00:00:36.010 --> 00:00:36.300]   imp
[00:00:36.300 --> 00:00:36.580]  rom
[00:00:36.580 --> 00:00:36.790]  pt
[00:00:36.790 --> 00:00:36.860]  u
[00:00:36.860 --> 00:00:37.490]   session
[00:00:37.490 --> 00:00:38.010]   today
[00:00:38.010 --> 00:00:38.140]  .
[00:00:38.140 --> 00:00:38.150]   So
[00:00:38.150 --> 00:00:38.240]   how
[00:00:38.240 --> 00:00:38.330]   are
[00:00:38.330 --> 00:00:38.420]   you
[00:00:38.420 --> 00:00:38.570]   doing
[00:00:38.570 --> 00:00:38.720]   today
[00:00:38.720 --> 00:00:38.870]   Jason
[00:00:38.870 --> 00:00:39.000]  ?
[00:00:39.000 --> 00:00:39.830]   Doing
[00:00:39.830 --> 00:00:40.490]   well
[00:00:40.490 --> 00:00:41.000]  .
[00:00:41.000 --> 00:00:41.420]   Well
[00:00:41.420 --> 00:00:41.680]   have
[00:00:41.680 --> 00:00:41.930]   you
[00:00:41.930 --> 00:00:42.270]   ever
[00:00:42.270 --> 00:00:43.120]   prepared
[00:00:43.120 --> 00:00:43.200]   in
[00:00:43.200 --> 00:00:43.370]   the
[00:00:43.370 --> 00:00:43.710]   past
[00:00:43.710 --> 00:00:44.000]  ?
[00:00:44.000 --> 00:00:44.130]   Oh
[00:00:44.130 --> 00:00:44.590]   usually
[00:00:44.590 --> 00:00:44.650]   I
[00:00:44.650 --> 00:00:44.980]   write
[00:00:44.980 --> 00:00:45.180]   out
[00:00:45.180 --> 00:00:45.440]   some
[00:00:45.440 --> 00:00:45.770]   notes
[00:00:45.770 --> 00:00:45.900]  ,
[00:00:45.900 --> 00:00:46.160]   yeah
[00:00:46.160 --> 00:00:46.290]  ,
[00:00:46.290 --> 00:00:46.550]   just
[00:00:46.550 --> 00:00:46.610]   a
[00:00:46.610 --> 00:00:46.810]   few
[00:00:46.810 --> 00:00:47.140]   notes
[00:00:47.140 --> 00:00:47.450]   here
[00:00:47.450 --> 00:00:47.600]   and
[00:00:47.600 --> 00:00:47.990]   there
[00:00:47.990 --> 00:00:48.000]  .
[00:00:48.000 --> 00:00:48.420]   Okay
[00:00:48.420 --> 00:00:48.760]   well
[00:00:48.760 --> 00:00:48.850]   I
[00:00:48.850 --> 00:00:49.130]  'll
[00:00:49.130 --> 00:00:49.510]   just
[00:00:49.510 --> 00:00:49.990]   grill
[00:00:49.990 --> 00:00:50.310]   you
[00:00:50.310 --> 00:00:50.460]   on
[00:00:50.460 --> 00:00:50.530]   stuff
[00:00:50.530 --> 00:00:51.000]  .
[00:00:51.000 --> 00:00:51.320]   Why
[00:00:51.320 --> 00:00:51.480]   don
[00:00:51.480 --> 00:00:51.640]  't
[00:00:51.640 --> 00:00:51.820]   we
[00:00:51.820 --> 00:00:52.200]   start
[00:00:52.200 --> 00:00:52.360]   by
[00:00:52.360 --> 00:00:52.680]   just
[00:00:52.680 --> 00:00:53.250]   getting
[00:00:53.250 --> 00:00:53.500]   an
[00:00:53.500 --> 00:00:53.890]   update
[00:00:53.890 --> 00:00:54.050]   on
[00:00:54.050 --> 00:00:54.290]   the
[00:00:54.290 --> 00:00:54.550]   Abu
[00:00:54.550 --> 00:00:55.000]   story
[00:00:55.000 --> 00:00:56.000]  ?
[00:00:56.000 --> 00:00:56.120]  
[00:00:56.120 --> 00:00:56.160]   The
[00:00:56.160 --> 00:00:56.330]   thing
[00:00:56.330 --> 00:00:56.410]   is
[00:00:56.410 --> 00:00:56.580]   this
[00:00:56.580 --> 00:00:56.790]   story
[00:00:56.790 --> 00:00:56.910]   isn
[00:00:56.910 --> 00:00:56.990]  't
[00:00:56.990 --> 00:00:57.290]   really
[00:00:57.290 --> 00:00:57.470]   going
[00:00:57.470 --> 00:00:57.530]   to
[00:00:57.530 --> 00:00:57.610]   go
[00:00:57.610 --> 00:00:58.040]   anywhere
[00:00:58.040 --> 00:00:58.490]   because
[00:00:58.490 --> 00:00:58.630]   he
[00:00:58.630 --> 00:00:58.770]  's
[00:00:58.770 --> 00:00:58.910]   on
[00:00:58.910 --> 00:00:59.750]   holiday
[00:00:59.750 --> 00:00:59.770]   right
[00:00:59.770 --> 00:01:00.000]   now
[00:01:00.000 --> 00:01:00.000]  .
[00:01:00.000 --> 00:01:00.190]   He
[00:01:00.190 --> 00:01:00.370]  's
[00:01:00.370 --> 00:01:00.560]   on
[00:01:00.560 --> 00:01:01.320]   vacation
[00:01:01.320 --> 00:01:01.600]   but
[00:01:01.600 --> 00:01:01.690]   I
[00:01:01.690 --> 00:01:01.880]   do
[00:01:01.880 --> 00:01:02.260]   have
[00:01:02.260 --> 00:01:02.350]   a
[00:01:02.350 --> 00:01:02.810]   good
[00:01:02.810 --> 00:01:03.010]   way
[00:01:03.010 --> 00:01:03.670]   to
[00:01:03.670 --> 00:01:03.790]   start
[00:01:03.790 --> 00:01:04.020]  .
[00:01:04.020 --> 00:01:04.100]   Do
[00:01:04.100 --> 00:01:04.250]   you
[00:01:04.250 --> 00:01:04.440]   want
[00:01:04.440 --> 00:01:04.600]   to
[00:01:04.600 --> 00:01:04.830]   hear
[00:01:04.830 --> 00:01:04.900]   it
[00:01:04.900 --> 00:01:05.000]  ?
[00:01:05.000 --> 00:01:05.360]   Okay
[00:01:05.360 --> 00:01:05.410]   go
[00:01:05.410 --> 00:01:05.950]   ahead
[00:01:05.950 --> 00:01:06.000]  .
[00:01:06.000 --> 00:01:06.550]   Since
[00:01:06.550 --> 00:01:06.700]   I
[00:01:06.700 --> 00:01:06.990]  've
[00:01:06.990 --> 00:01:07.540]   moved
[00:01:07.540 --> 00:01:07.760]   in
[00:01:07.760 --> 00:01:08.200]   with
[00:01:08.200 --> 00:01:08.370]   Georg
[00:01:08.370 --> 00:01:09.180]  ie
[00:01:09.180 --> 00:01:09.190]  's
[00:01:09.190 --> 00:01:10.030]   parents
[00:01:10.030 --> 00:01:10.130]  ,
[00:01:10.130 --> 00:01:10.420]   that
[00:01:10.420 --> 00:01:10.520]  's
[00:01:10.520 --> 00:01:10.650]   my
[00:01:10.650 --> 00:01:10.900]   wife
[00:01:10.900 --> 00:01:11.040]  's
[00:01:11.040 --> 00:01:11.500]   parents
[00:01:11.500 --> 00:01:11.580]  -
[00:01:11.580 --> 00:01:11.680]  in
[00:01:11.680 --> 00:01:11.750]  -
[00:01:11.750 --> 00:01:12.000]  law
[00:01:12.000 --> 00:01:12.280]  ,
[00:01:12.280 --> 00:01:12.710]   to
[00:01:12.710 --> 00:01:13.410]   remove
[00:01:13.410 --> 00:01:14.060]   debt
[00:01:14.060 --> 00:01:14.200]  ,
[00:01:14.200 --> 00:01:14.300]   to
[00:01:14.300 --> 00:01:15.000]   clear
[00:01:15.000 --> 00:01:15.000]   debt
[00:01:15.000 --> 00:01:15.000]  .
[00:01:15.000 --> 00:01:15.390]   We
[00:01:15.390 --> 00:01:15.420]  've
[00:01:15.420 --> 00:01:15.760]   been
[00:01:15.760 --> 00:01:16.170]   here
[00:01:16.170 --> 00:01:16.440]   four
[00:01:16.440 --> 00:01:16.950]   months
[00:01:16.950 --> 00:01:17.060]   and
[00:01:17.060 --> 00:01:17.600]   we
[00:01:17.600 --> 00:01:17.620]  've
[00:01:17.620 --> 00:01:18.320]   actually
[00:01:18.320 --> 00:01:18.810]   gotten
[00:01:18.810 --> 00:01:19.230]   rid
[00:01:19.230 --> 00:01:19.230]   of
[00:01:19.230 --> 00:01:19.540]   $
[00:01:19.540 --> 00:01:19.820]  50
[00:01:19.820 --> 00:01:20.040]  ,
[00:01:20.040 --> 00:01:20.750]  000
[00:01:20.750 --> 00:01:20.770]   worth
[00:01:20.770 --> 00:01:21.330]   of
[00:01:21.330 --> 00:01:21.900]   debt
[00:01:21.900 --> 00:01:22.000]  .
[00:01:22.000 --> 00:01:22.070]  
[00:01:22.070 --> 00:01:22.300]   That
