
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.750]   This
[00:00:00.750 --> 00:00:01.030]   show
[00:00:01.030 --> 00:00:01.270]   is
[00:00:01.270 --> 00:00:02.680]   distributed
[00:00:02.680 --> 00:00:02.930]   by
[00:00:02.930 --> 00:00:03.360]   Sun
[00:00:03.360 --> 00:00:03.430]  c
[00:00:03.430 --> 00:00:03.710]  ru
[00:00:03.710 --> 00:00:04.000]  bs
[00:00:04.000 --> 00:00:04.000]  .
[00:00:04.000 --> 00:00:05.000]   Welcome
[00:00:05.000 --> 00:00:05.000]  !
[00:00:26.000 --> 00:00:26.000]  
[00:00:26.000 --> 00:00:26.730]   Welcome
[00:00:26.730 --> 00:00:26.940]   to
[00:00:26.940 --> 00:00:27.670]   episode
[00:00:27.670 --> 00:00:28.610]   210
[00:00:28.610 --> 00:00:28.820]   of
[00:00:28.820 --> 00:00:29.250]   Tech
[00:00:29.250 --> 00:00:29.760]   Thing
[00:00:29.760 --> 00:00:30.000]  ,
[00:00:30.000 --> 00:00:30.000]   hosted
[00:00:30.000 --> 00:00:30.000]   by
[00:00:30.000 --> 00:00:30.000]   myself
[00:00:30.000 --> 00:00:30.000]  ,
[00:00:30.000 --> 00:00:30.000]   Justin
[00:00:30.000 --> 00:00:30.000]   Vincent
[00:00:30.000 --> 00:00:30.000]   and
[00:00:30.000 --> 00:00:30.000]   Jason
[00:00:30.000 --> 00:00:30.000]   Roberts
[00:00:30.000 --> 00:00:30.000]  .
[00:00:30.000 --> 00:00:30.120]   Hey
[00:00:30.120 --> 00:00:30.320]   Jason
[00:00:30.320 --> 00:00:30.390]  ,
[00:00:30.390 --> 00:00:30.520]   how
[00:00:30.520 --> 00:00:30.650]   you
[00:00:30.650 --> 00:00:30.840]   doing
[00:00:30.840 --> 00:00:31.000]  ?
[00:00:31.000 --> 00:00:31.060]   I
[00:00:31.060 --> 00:00:31.180]  'm
[00:00:31.180 --> 00:00:31.490]   doing
[00:00:31.490 --> 00:00:31.780]   well
[00:00:31.780 --> 00:00:31.870]  ,
[00:00:31.870 --> 00:00:32.060]   how
[00:00:32.060 --> 00:00:32.250]   are
[00:00:32.250 --> 00:00:32.440]   you
[00:00:32.440 --> 00:00:32.760]   doing
[00:00:32.760 --> 00:00:33.000]  ?
[00:00:33.000 --> 00:00:33.250]   Yeah
[00:00:33.250 --> 00:00:33.370]  ,
[00:00:33.370 --> 00:00:33.770]   pretty
[00:00:33.770 --> 00:00:34.000]   good
[00:00:34.000 --> 00:00:34.000]  .
[00:00:34.000 --> 00:00:34.590]   Pretty
[00:00:34.590 --> 00:00:35.000]   good
[00:00:35.000 --> 00:00:35.000]  .
[00:00:35.000 --> 00:00:35.160]   So
[00:00:35.160 --> 00:00:35.490]   here
[00:00:35.490 --> 00:00:35.650]   we
[00:00:35.650 --> 00:00:35.900]   are
[00:00:35.900 --> 00:00:36.060]  ,
[00:00:36.060 --> 00:00:36.550]   Sunday
[00:00:36.550 --> 00:00:36.940]   night
[00:00:36.940 --> 00:00:37.090]  ,
[00:00:37.090 --> 00:00:37.260]   not
[00:00:37.260 --> 00:00:37.510]   gonna
[00:00:37.510 --> 00:00:37.750]   podcast
[00:00:37.750 --> 00:00:37.970]   out
[00:00:37.970 --> 00:00:38.000]  ,
[00:00:38.000 --> 00:00:38.790]   actually
[00:00:38.790 --> 00:00:38.990]   on
[00:00:38.990 --> 00:00:39.290]   the
[00:00:39.290 --> 00:00:40.000]   weekend
[00:00:40.000 --> 00:00:40.000]  ,
[00:00:40.000 --> 00:00:40.000]   not
[00:00:40.000 --> 00:00:40.000]   letting
[00:00:40.000 --> 00:00:40.130]   it
[00:00:40.130 --> 00:00:40.410]   fall
[00:00:40.410 --> 00:00:40.520]   to
[00:00:40.520 --> 00:00:40.720]   the
[00:00:40.720 --> 00:00:40.980]   week
[00:00:40.980 --> 00:00:41.240]  ,
[00:00:41.240 --> 00:00:41.370]   that
[00:00:41.370 --> 00:00:41.640]  's
[00:00:41.640 --> 00:00:41.760]   good
[00:00:41.760 --> 00:00:42.000]  .
[00:00:42.000 --> 00:00:42.240]   That
[00:00:42.240 --> 00:00:42.420]  's
[00:00:42.420 --> 00:00:42.430]   a
[00:00:42.430 --> 00:00:42.800]   change
[00:00:42.800 --> 00:00:43.000]  .
[00:00:43.000 --> 00:00:43.300]   That
[00:00:43.300 --> 00:00:43.450]   is
[00:00:43.450 --> 00:00:43.520]   a
[00:00:43.520 --> 00:00:44.000]   change
[00:00:44.000 --> 00:00:44.000]  .
[00:00:44.000 --> 00:00:44.230]   Of
[00:00:44.230 --> 00:00:44.660]   late
[00:00:44.660 --> 00:00:45.000]  .
[00:00:45.000 --> 00:00:45.310]   Of
[00:00:45.310 --> 00:00:45.390]   late
[00:00:45.390 --> 00:00:45.560]  ,
[00:00:45.560 --> 00:00:45.780]   yeah
[00:00:45.780 --> 00:00:46.000]  .
[00:00:46.000 --> 00:00:46.300]   So
[00:00:46.300 --> 00:00:47.050]   what
[00:00:47.050 --> 00:00:47.130]  's
[00:00:47.130 --> 00:00:47.560]   new
[00:00:47.560 --> 00:00:48.000]  ?
[00:00:48.000 --> 00:00:48.150]   Actually
[00:00:48.150 --> 00:00:48.830]  ,
[00:00:48.830 --> 00:00:49.280]   off
[00:00:49.280 --> 00:00:49.400]   the
[00:00:49.400 --> 00:00:49.590]   top
[00:00:49.590 --> 00:00:49.770]   of
[00:00:49.770 --> 00:00:49.930]   my
[00:00:49.930 --> 00:00:50.270]   head
[00:00:50.270 --> 00:00:50.420]  ,
[00:00:50.420 --> 00:00:50.800]   I
[00:00:50.800 --> 00:00:50.850]   have
[00:00:50.850 --> 00:00:51.580]   no
[00:00:51.580 --> 00:00:51.730]   material
[00:00:51.730 --> 00:00:52.000]  .
[00:00:52.000 --> 00:00:52.180]   You
[00:00:52.180 --> 00:00:52.360]   got
[00:00:52.360 --> 00:00:52.790]   nothing
[00:00:52.790 --> 00:00:53.000]  .
[00:00:53.000 --> 00:00:53.070]   I
[00:00:53.070 --> 00:00:53.320]   got
[00:00:53.320 --> 00:00:53.770]   nothing
[00:00:53.770 --> 00:00:54.000]  .
[00:00:54.000 --> 00:00:54.000]  
[00:00:54.000 --> 00:00:54.250]   But
[00:00:54.250 --> 00:00:54.500]   you
[00:00:54.500 --> 00:00:54.830]   have
[00:00:54.830 --> 00:00:55.160]   your
[00:00:55.160 --> 00:00:55.490]   nice
[00:00:55.490 --> 00:00:55.820]   iPad
[00:00:55.820 --> 00:00:56.150]   with
[00:00:56.150 --> 00:00:56.400]   all
[00:00:56.400 --> 00:00:56.640]   of
[00:00:56.640 --> 00:00:56.890]   your
[00:00:56.890 --> 00:00:57.630]   materials
[00:00:57.630 --> 00:00:57.790]  ,
[00:00:57.790 --> 00:00:58.000]   so
[00:00:58.000 --> 00:00:58.000]  .
[00:00:58.000 --> 00:00:58.270]   I
[00:00:58.270 --> 00:00:58.430]   do
[00:00:58.430 --> 00:00:58.450]  ,
[00:00:58.450 --> 00:00:58.540]   I
[00:00:58.540 --> 00:00:58.720]   do
[00:00:58.720 --> 00:00:59.000]  .
[00:00:59.000 --> 00:00:59.110]   So
[00:00:59.110 --> 00:00:59.330]   that
[00:00:59.330 --> 00:00:59.440]  's
[00:00:59.440 --> 00:00:59.820]   awesome
[00:00:59.820 --> 00:01:00.000]  .
[00:01:00.000 --> 00:01:00.150]   So
[00:01:00.150 --> 00:01:00.310]   I
[00:01:00.310 --> 00:01:00.740]   wanted
[00:01:00.740 --> 00:01:00.900]   to
[00:01:00.900 --> 00:01:01.320]   start
[00:01:01.320 --> 00:01:01.480]  ,
[00:01:01.480 --> 00:01:01.560]   I
[00:01:01.560 --> 00:01:02.050]   just
[00:01:02.050 --> 00:01:02.290]  ,
[00:01:02.290 --> 00:01:02.380]   with
[00:01:02.380 --> 00:01:02.460]   a
[00:01:02.460 --> 00:01:02.880]   topic
[00:01:02.880 --> 00:01:03.360]   that
[00:01:03.360 --> 00:01:03.540]   just
[00:01:03.540 --> 00:01:04.050]   popped
[00:01:04.050 --> 00:01:04.200]   in
[00:01:04.200 --> 00:01:04.360]   my
[00:01:04.360 --> 00:01:04.690]   head
[00:01:04.690 --> 00:01:05.030]  ,
[00:01:05.030 --> 00:01:05.210]   one
[00:01:05.210 --> 00:01:05.350]   of
[00:01:05.350 --> 00:01:05.770]   the
[00:01:05.770 --> 00:01:06.000]   emails
[00:01:06.000 --> 00:01:06.350]   that
[00:01:06.350 --> 00:01:06.430]   I
[00:01:06.430 --> 00:01:06.690]   got
[00:01:06.690 --> 00:01:07.040]   this
[00:01:07.040 --> 00:01:07.390]   week
[00:01:07.390 --> 00:01:07.710]   was
[00:01:07.710 --> 00:01:08.000]   from
[00:01:08.000 --> 00:01:08.260]   Ben
[00:01:08.260 --> 00:01:08.430]   Re
[00:01:08.430 --> 00:01:08.690]  yes
[00:01:08.690 --> 00:01:09.000]  .
[00:01:09.000 --> 00:01:09.440]   Oh
[00:01:09.440 --> 00:01:09.670]   yeah
[00:01:09.670 --> 00:01:10.000]  .
[00:01:10.000 --> 00:01:10.100]   He
[00:01:10.100 --> 00:01:10.200]  's
[00:01:10.200 --> 00:01:10.410]   been
[00:01:10.410 --> 00:01:10.460]   a
[00:01:10.460 --> 00:01:10.690]   long
[00:01:10.690 --> 00:01:10.880]   time
[00:01:10.880 --> 00:01:11.470]   listener
[00:01:11.470 --> 00:01:11.490]   and
[00:01:11.490 --> 00:01:11.570]   he
[00:01:11.570 --> 00:01:12.070]   comments
[00:01:12.070 --> 00:01:12.270]   often
[00:01:12.270 --> 00:01:12.420]   and
[00:01:12.420 --> 00:01:12.810]   sends
[00:01:12.810 --> 00:01:13.020]   emails
[00:01:13.020 --> 00:01:13.290]   every
[00:01:13.290 --> 00:01:13.500]   once
[00:01:13.500 --> 00:01:13.600]   in
[00:01:13.600 --> 00:01:13.650]   a
[00:01:13.650 --> 00:01:14.000]   while
[00:01:14.000 --> 00:01:14.380]   and
[00:01:14.380 --> 00:01:14.540]   one
[00:01:14.540 --> 00:01:14.670]   of
[00:01:14.670 --> 00:01:14.920]   the
[00:01:14.920 --> 00:01:15.430]   things
[00:01:15.430 --> 00:01:15.600]   he
[00:01:15.600 --> 00:01:15.850]   was
[00:01:15.850 --> 00:01:16.450]   curious
[00:01:16.450 --> 00:01:16.880]   about
[00:01:16.880 --> 00:01:16.990]   was
[00:01:16.990 --> 00:01:17.540]   how
[00:01:17.540 --> 00:01:17.580]   we
[00:01:17.580 --> 00:01:18.060]   manage
[00:01:18.060 --> 00:01:18.310]   our
[00:01:18.310 --> 00:01:18.480]   time
[00:01:18.480 --> 00:01:19.000]  .
[00:01:19.000 --> 00:01:19.250]  
[00:01:19.250 --> 00:01:19.400]   Oh
[00:01:19.400 --> 00:01:20.000]  .
[00:01:20.000 --> 00:01:20.130]   Or
[00:01:20.130 --> 00:01:20.470]   at
[00:01:20.470 --> 00:01:20.590]   least
[00:01:20.590 --> 00:01:20.850]   how
[00:01:20.850 --> 00:01:21.150]   I
[00:01:21.150 --> 00:01:21.250]   manage
[00:01:21.250 --> 00:01:21.380]   my
[00:01:21.380 --> 00:01:21.640]   time
[00:01:21.640 --> 00:01:21.780]  ,
[00:01:21.780 --> 00:01:21.920]   or
[00:01:21.920 --> 00:01:22.110]   don
[00:01:22.110 --> 00:01:22.240]  't
[00:01:22.240 --> 00:01:22.640]   manage
[00:01:22.640 --> 00:01:22.770]   it
[00:01:22.770 --> 00:01:22.900]   as
[00:01:22.900 --> 00:01:23.100]   the
[00:01:23.100 --> 00:01:23.370]   case
[00:01:23.370 --> 00:01:23.570]   may
[00:01:23.570 --> 00:01:23.710]   be
[00:01:23.710 --> 00:01:24.000]  .
[00:01:24.000 --> 00:01:24.590]   Yeah
[00:01:24.590 --> 00:01:25.000]  .
[00:01:25.000 --> 00:01:25.120]   He
[00:01:25.120 --> 00:01:25.240]  's
[00:01:25.240 --> 00:01:25.540]   under
[00:01:25.540 --> 00:01:25.720]   the
[00:01:25.720 --> 00:01:26.320]   impression
[00:01:26.320 --> 00:01:26.550]   that
[00:01:26.550 --> 00:01:26.620]   I
[00:01:26.620 --> 00:01:26.750]   do
[00:01:26.750 --> 00:01:26.800]   a
[00:01:26.800 --> 00:01:26.980]   lot
[00:01:26.980 --> 00:01:27.280]   of
[00:01:27.280 --> 00:01:27.400]   stuff
[00:01:27.400 --> 00:01:27.520]   or
[00:01:27.520 --> 00:01:27.580]   I
[00:01:27.580 --> 00:01:27.760]   get
[00:01:27.760 --> 00:01:27.820]   a
[00:01:27.820 --> 00:01:28.000]   lot
[00:01:28.000 --> 00:01:28.240]   done
[00:01:28.240 --> 00:01:28.360]  ,
[00:01:28.360 --> 00:01:28.480]   so
[00:01:28.480 --> 00:01:28.600]   he
[00:01:28.600 --> 00:01:29.000]   wanted
[00:01:29.000 --> 00:01:29.240]   to
[00:01:29.240 --> 00:01:29.430]   know
[00:01:29.430 --> 00:01:30.200]   how
[00:01:30.200 --> 00:01:30.350]   I
[00:01:30.350 --> 00:01:30.560]   did
[00:01:30.560 --> 00:01:30.900]   or
[00:01:30.900 --> 00:01:31.160]   did
[00:01:31.160 --> 00:01:31.520]   not
[00:01:31.520 --> 00:01:32.250]   manage
[00:01:32.250 --> 00:01:32.850]   those
[00:01:32.850 --> 00:01:33.580]   things
[00:01:33.580 --> 00:01:34.000]  .
[00:01:34.000 --> 00:01:34.390]   So
