
[00:00:00.000 --> 00:00:00.710]  
[00:00:00.710 --> 00:00:03.040]   [
[00:00:03.040 --> 00:00:17.990]  Music
[00:00:17.990 --> 00:00:21.000]  ]
[00:00:21.000 --> 00:00:21.550]   Welcome
[00:00:21.550 --> 00:00:21.710]   to
[00:00:21.710 --> 00:00:22.260]   episode
[00:00:22.260 --> 00:00:22.740]   26
[00:00:22.740 --> 00:00:23.000]  2
[00:00:23.000 --> 00:00:23.400]   of
[00:00:23.400 --> 00:00:24.200]   Tech
[00:00:24.200 --> 00:00:24.390]  S
[00:00:24.390 --> 00:00:25.030]  ing
[00:00:25.030 --> 00:00:25.110]  .
[00:00:25.110 --> 00:00:25.180]   In
[00:00:25.180 --> 00:00:25.330]   this
[00:00:25.330 --> 00:00:25.500]   very
[00:00:25.500 --> 00:00:26.010]   technically
[00:00:26.010 --> 00:00:26.440]   oriented
[00:00:26.440 --> 00:00:26.640]   show
[00:00:26.640 --> 00:00:26.710]  ,
[00:00:26.710 --> 00:00:26.750]   I
[00:00:26.750 --> 00:00:26.840]  'm
[00:00:26.840 --> 00:00:26.840]  
[00:00:26.840 --> 00:00:27.320]   talking
[00:00:27.320 --> 00:00:27.470]   to
[00:00:27.470 --> 00:00:27.670]   Rob
[00:00:27.670 --> 00:00:28.030]   Wall
[00:00:28.030 --> 00:00:28.150]  ing
[00:00:28.150 --> 00:00:28.360]   and
[00:00:28.360 --> 00:00:28.700]   Derek
[00:00:28.700 --> 00:00:28.840]   Re
[00:00:28.840 --> 00:00:29.110]  imer
[00:00:29.110 --> 00:00:29.380]   from
[00:00:29.380 --> 00:00:29.660]   D
[00:00:29.660 --> 00:00:29.750]  rip
[00:00:29.750 --> 00:00:30.000]   about
[00:00:30.000 --> 00:00:30.350]   the
[00:00:30.350 --> 00:00:30.420]   inn
[00:00:30.420 --> 00:00:30.760]  ards
[00:00:30.760 --> 00:00:30.840]   of
[00:00:30.840 --> 00:00:31.000]   the
[00:00:31.000 --> 00:00:31.080]   D
[00:00:31.080 --> 00:00:31.240]  rip
[00:00:31.240 --> 00:00:31.500]   tech
[00:00:31.500 --> 00:00:31.870]   stack
[00:00:31.870 --> 00:00:32.070]  .
[00:00:32.070 --> 00:00:32.340]   Hey
[00:00:32.340 --> 00:00:32.590]   guys
[00:00:32.590 --> 00:00:32.610]  ,
[00:00:32.610 --> 00:00:32.770]   how
[00:00:32.770 --> 00:00:32.970]   you
[00:00:32.970 --> 00:00:33.260]   doing
[00:00:33.260 --> 00:00:33.690]  ?
[00:00:33.690 --> 00:00:33.870]   Hey
[00:00:33.870 --> 00:00:34.120]   Justin
[00:00:34.120 --> 00:00:34.280]  ,
[00:00:34.280 --> 00:00:34.600]   doing
[00:00:34.600 --> 00:00:34.820]   well
[00:00:34.820 --> 00:00:35.210]  .
[00:00:35.210 --> 00:00:35.300]   Yeah
[00:00:35.300 --> 00:00:35.310]  ,
[00:00:35.310 --> 00:00:35.570]   doing
[00:00:35.570 --> 00:00:35.800]   good
[00:00:35.800 --> 00:00:35.970]  .
[00:00:35.970 --> 00:00:36.080]   Thanks
[00:00:36.080 --> 00:00:36.160]   for
[00:00:36.160 --> 00:00:36.750]   having
[00:00:36.750 --> 00:00:36.940]   us
[00:00:36.940 --> 00:00:37.310]   on
[00:00:37.310 --> 00:00:37.450]   the
[00:00:37.450 --> 00:00:37.840]   show
[00:00:37.840 --> 00:00:38.130]  .
[00:00:38.130 --> 00:00:38.510]   Yeah
[00:00:38.510 --> 00:00:38.720]  ,
[00:00:38.720 --> 00:00:38.910]   so
[00:00:38.910 --> 00:00:39.290]   well
[00:00:39.290 --> 00:00:39.690]   this
[00:00:39.690 --> 00:00:40.000]   is
[00:00:40.000 --> 00:00:40.840]   a
[00:00:40.840 --> 00:00:41.000]   very
[00:00:41.000 --> 00:00:41.160]   imp
[00:00:41.160 --> 00:00:41.310]  rom
[00:00:41.310 --> 00:00:41.410]  pt
[00:00:41.410 --> 00:00:41.480]  u
[00:00:41.480 --> 00:00:41.950]   Tech
[00:00:41.950 --> 00:00:41.960]  S
[00:00:41.960 --> 00:00:42.230]  ing
[00:00:42.230 --> 00:00:42.540]   show
[00:00:42.540 --> 00:00:43.080]   and
[00:00:43.080 --> 00:00:43.130]   it
[00:00:43.130 --> 00:00:43.460]   came
[00:00:43.460 --> 00:00:43.930]   about
[00:00:43.930 --> 00:00:44.590]   because
[00:00:44.590 --> 00:00:44.770]  ,
[00:00:44.770 --> 00:00:45.040]   as
[00:00:45.040 --> 00:00:45.400]   many
[00:00:45.400 --> 00:00:45.720]   listeners
[00:00:45.720 --> 00:00:45.860]   will
[00:00:45.860 --> 00:00:46.000]   know
[00:00:46.000 --> 00:00:46.080]  ,
[00:00:46.080 --> 00:00:46.130]   I
[00:00:46.130 --> 00:00:46.280]  've
[00:00:46.280 --> 00:00:46.480]   been
[00:00:46.480 --> 00:00:46.480]  
[00:00:46.480 --> 00:00:48.430]   working
[00:00:48.430 --> 00:00:48.980]   on
[00:00:48.980 --> 00:00:49.960]   a
[00:00:49.960 --> 00:00:51.210]   product
[00:00:51.210 --> 00:00:53.140]   called
[00:00:53.140 --> 00:00:53.710]   Dis
[00:00:53.710 --> 00:00:54.260]  co
[00:00:54.260 --> 00:00:55.370]   with
[00:00:55.370 --> 00:00:56.750]   Lance
[00:00:56.750 --> 00:00:57.590]   and
[00:00:57.590 --> 00:00:59.320]   Joanna
[00:00:59.320 --> 00:00:59.800]   We
[00:00:59.800 --> 00:01:00.280]  eb
[00:01:00.280 --> 00:01:00.400]  .
[00:01:00.400 --> 00:01:00.850]   And
[00:01:00.850 --> 00:01:01.350]   we
[00:01:01.350 --> 00:01:02.120]  're
[00:01:02.120 --> 00:01:02.720]   making
[00:01:02.720 --> 00:01:02.820]   a
[00:01:02.820 --> 00:01:03.420]   widget
[00:01:03.420 --> 00:01:03.920]   that
[00:01:03.920 --> 00:01:04.220]   goes
[00:01:04.220 --> 00:01:04.760]   on
[00:01:04.760 --> 00:01:05.020]   people
[00:01:05.020 --> 00:01:05.240]  's
[00:01:05.240 --> 00:01:06.010]   websites
[00:01:06.010 --> 00:01:06.620]   and
[00:01:06.620 --> 00:01:06.650]   you
[00:01:06.650 --> 00:01:07.030]   guys
[00:01:07.030 --> 00:01:07.480]   from
[00:01:07.480 --> 00:01:07.570]   D
[00:01:07.570 --> 00:01:08.020]  rip
[00:01:08.020 --> 00:01:08.200]   make
[00:01:08.200 --> 00:01:08.200]   a
[00:01:08.200 --> 00:01:08.500]   widget
[00:01:08.500 --> 00:01:08.700]   that
[00:01:08.700 --> 00:01:08.900]   goes
[00:01:08.900 --> 00:01:09.000]   on
[00:01:09.000 --> 00:01:09.330]   people
[00:01:09.330 --> 00:01:09.400]  's
[00:01:09.400 --> 00:01:09.880]   websites
[00:01:09.880 --> 00:01:09.950]   and
[00:01:09.950 --> 00:01:10.000]   I
[00:01:10.000 --> 00:01:10.200]   know
[00:01:10.200 --> 00:01:10.550]   that
[00:01:10.550 --> 00:01:10.650]   you
[00:01:10.650 --> 00:01:10.700]  've
[00:01:10.700 --> 00:01:10.960]   been
[00:01:10.960 --> 00:01:11.520]   tremendously
[00:01:11.520 --> 00:01:12.270]   successful
[00:01:12.270 --> 00:01:12.540]   with
[00:01:12.540 --> 00:01:13.170]   your
[00:01:13.170 --> 00:01:13.420]   widget
[00:01:13.420 --> 00:01:13.470]  .
[00:01:13.470 --> 00:01:13.610]   So
[00:01:13.610 --> 00:01:13.680]   I
[00:01:13.680 --> 00:01:14.000]   just
[00:01:14.000 --> 00:01:14.460]   wanted
[00:01:14.460 --> 00:01:14.540]   to
[00:01:14.540 --> 00:01:14.680]   be
[00:01:14.680 --> 00:01:14.970]   very
[00:01:14.970 --> 00:01:15.510]   selfish
[00:01:15.510 --> 00:01:15.790]   and
[00:01:15.790 --> 00:01:15.980]   pick
[00:01:15.980 --> 00:01:16.080]   your
[00:01:16.080 --> 00:01:16.080]  
[00:01:16.080 --> 00:01:16.570]   brains
[00:01:16.570 --> 00:01:16.980]   about
[00:01:16.980 --> 00:01:17.310]   your
[00:01:17.310 --> 00:01:18.320]   technical
[00:01:18.320 --> 00:01:19.200]   infrastructure
[00:01:19.200 --> 00:01:19.690]   really
[00:01:19.690 --> 00:01:19.960]   and
[00:01:19.960 --> 00:01:20.050]   you
[00:01:20.050 --> 00:01:20.300]   know
[00:01:20.300 --> 00:01:20.320]   how
[00:01:20.320 --> 00:01:20.570]   you
[00:01:20.570 --> 00:01:20.740]   put
[00:01:20.740 --> 00:01:20.950]   the
[00:01:20.950 --> 00:01:21.300]   whole
[00:01:21.300 --> 00:01:21.970]   thing
[00:01:21.970 --> 00:01:22.210]   together
[00:01:22.210 --> 00:01:22.420]  .
[00:01:22.420 --> 00:01:22.560]   So
[00:01:22.560 --> 00:01:23.040]   but
[00:01:23.040 --> 00:01:23.190]   before
[00:01:23.190 --> 00:01:23.330]   we
[00:01:23.330 --> 00:01:23.540]   get
[00:01:23.540 --> 00:01:23.820]   into
[00:01:23.820 --> 00:01:24.160]   that
[00:01:24.160 --> 00:01:24.200]  ,
[00:01:24.200 --> 00:01:25.090]   Derek
[00:01:25.090 --> 00:01:25.250]  ,
[00:01:25.250 --> 00:01:25.520]   I
[00:01:25.520 --> 00:01:26.160]  'd
[00:01:26.160 --> 00:01:26.400]   really
[00:01:26.400 --> 00:01:26.510]   be
[00:01:26.510 --> 00:01:27.050]   interested
[00:01:27.050 --> 00:01:27.250]   to
[00:01:27.250 --> 00:01:27.390]   just
[00:01:27.390 --> 00:01:27.610]   hear
[00:01:27.610 --> 00:01:27.660]   a
[00:01:27.660 --> 00:01:27.990]   little
[00:01:27.990 --> 00:01:28.150]   bit
[00:01:28.150 --> 00:01:28.420]   about
[00:01:28.420 --> 00:01:29.020]   yourself
[00:01:29.020 --> 00:01:29.130]   and
[00:01:29.130 --> 00:01:29.180]   how
[00:01:29.180 --> 00:01:29.340]   you
[00:01:29.340 --> 00:01:29.610]   ended
[00:01:29.610 --> 00:01:29.760]   up
[00:01:29.760 --> 00:01:30.310]   working
[00:01:30.310 --> 00:01:30.710]   with
[00:01:30.710 --> 00:01:30.950]   with
[00:01:30.950 --> 00:01:31.160]   Rob
[00:01:31.160 --> 00:01:31.540]  .
[00:01:31.540 --> 00:01:31.970]   Sure
[00:01:31.970 --> 00:01:32.230]  ,
[00:01:32.230 --> 00:01:32.490]   so
[00:01:32.490 --> 00:01:32.620]   I
[00:01:32.620 --> 00:01:33.950]   originally
[00:01:33.950 --> 00:01:34.390]   met
[00:01:34.390 --> 00:01:34.750]   Rob
[00:01:34.750 --> 00:01:34.880]   I
[00:01:34.880 --> 00:01:35.590]   think
[00:01:35.590 --> 00:01:35.720]   it
[00:01:35.720 --> 00:01:35.810]   was
[00:01:35.810 --> 00:01:35.960]   about
[00:01:35.960 --> 00:01:36.490]   four
[00:01:36.490 --> 00:01:37.160]   years
[00:01:37.160 --> 00:01:37.960]   ago
[00:01:37.960 --> 00:01:37.960]  .
[00:01:37.960 --> 00:01:38.360]   Rob
[00:01:38.360 --> 00:01:38.760]   was
[00:01:38.760 --> 00:01:38.890]   a
[00:01:38.890 --> 00:01:39.560]   judge
[00:01:39.560 --> 00:01:39.840]   at
[00:01:39.840 --> 00:01:39.950]   a
[00:01:39.950 --> 00:01:40.620]   local
[00:01:40.620 --> 00:01:41.200]   tech
[00:01:41.200 --> 00:01:42.040]   competition
[00:01:42.040 --> 00:01:42.360]   in
[00:01:42.360 --> 00:01:43.040]   Fres
[00:01:43.040 --> 00:01:43.360]  no
[00:01:43.360 --> 00:01:43.800]   and
[00:01:43.800 --> 00:01:44.760]   I
[00:01:44.760 --> 00:01:44.760]  
[00:01:44.760 --> 00:01:45.110]   live
[00:01:45.110 --> 00:01:45.460]   just
[00:01:45.460 --> 00:01:45.960]   about
[00:01:45.960 --> 00:01:46.430]   30
[00:01:46.430 --> 00:01:46.870]   miles
[00:01:46.870 --> 00:01:47.310]   south
[00:01:47.310 --> 00:01:47.480]   of
[00:01:47.480 --> 00:01:47.830]   Fres
[00:01:47.830 --> 00:01:48.000]  no
[00:01:48.000 --> 00:01:48.180]   so
[00:01:48.180 --> 00:01:48.260]   I
[00:01:48.260 --> 00:01:48.490]  'm
[00:01:48.490 --> 00:01:48.600]   in
[00:01:48.600 --> 00:01:48.980]   in
[00:01:48.980 --> 00:01:49.120]   town
[00:01:49.120 --> 00:01:49.560]   often
[00:01:49.560 --> 00:01:50.180]  .
[00:01:50.180 --> 00:01:50.510]   And
[00:01:50.510 --> 00:01:50.880]   so
[00:01:50.880 --> 00:01:51.040]   Rob
[00:01:51.040 --> 00:01:51.290]   was
[00:01:51.290 --> 00:01:51.370]   a
[00:01:51.370 --> 00:01:51.780]   judge
[00:01:51.780 --> 00:01:52.050]   and
[00:01:52.050 --> 00:01:52.110]   I
[00:01:52.110 --> 00:01:52.360]   was
