
[00:00:00.000 --> 00:00:00.200]  
[00:00:00.200 --> 00:00:01.010]   Join
[00:00:01.010 --> 00:00:01.100]   myself
[00:00:01.100 --> 00:00:01.460]   and
[00:00:01.460 --> 00:00:02.000]   Jason
[00:00:02.000 --> 00:00:02.180]   at
[00:00:02.180 --> 00:00:02.680]   Micro
[00:00:02.680 --> 00:00:03.060]  Conf
[00:00:03.060 --> 00:00:03.980]   2011
[00:00:03.980 --> 00:00:04.730]   June
[00:00:04.730 --> 00:00:04.980]   6
[00:00:04.980 --> 00:00:05.400]   and
[00:00:05.400 --> 00:00:05.910]   7
[00:00:05.910 --> 00:00:06.070]   in
[00:00:06.070 --> 00:00:06.410]   Las
[00:00:06.410 --> 00:00:07.000]   Vegas
[00:00:07.000 --> 00:00:07.000]  .
[00:00:07.000 --> 00:00:07.240]   For
[00:00:07.240 --> 00:00:07.590]   more
[00:00:07.590 --> 00:00:08.450]   information
[00:00:08.450 --> 00:00:08.610]   go
[00:00:08.610 --> 00:00:08.770]   to
[00:00:08.770 --> 00:00:09.170]   micro
[00:00:09.170 --> 00:00:09.490]  conf
[00:00:09.490 --> 00:00:09.730]  .
[00:00:09.730 --> 00:00:10.000]  com
[00:00:10.000 --> 00:00:10.300]   and
[00:00:10.300 --> 00:00:10.790]   enter
[00:00:10.790 --> 00:00:11.000]   in
[00:00:11.000 --> 00:00:11.100]   "
[00:00:11.100 --> 00:00:11.490]  Tech
[00:00:11.490 --> 00:00:11.870]  zing
[00:00:11.870 --> 00:00:12.000]  "
[00:00:12.000 --> 00:00:12.110]   to
[00:00:12.110 --> 00:00:12.270]   get
[00:00:12.270 --> 00:00:12.320]   $
[00:00:12.320 --> 00:00:12.810]  100
[00:00:12.810 --> 00:00:13.000]   off
[00:00:13.000 --> 00:00:13.140]   a
[00:00:13.140 --> 00:00:14.000]   ticket
[00:00:14.000 --> 00:00:14.000]  .
[00:00:28.000 --> 00:00:28.000]  
[00:00:28.000 --> 00:00:28.340]   Welcome
[00:00:28.340 --> 00:00:28.430]   to
[00:00:28.430 --> 00:00:28.770]   episode
[00:00:28.770 --> 00:00:29.060]   13
[00:00:29.060 --> 00:00:29.200]  1
[00:00:29.200 --> 00:00:29.290]   of
[00:00:29.290 --> 00:00:29.480]   Tech
[00:00:29.480 --> 00:00:29.670]  zing
[00:00:29.670 --> 00:00:29.960]   hosted
[00:00:29.960 --> 00:00:30.060]   by
[00:00:30.060 --> 00:00:30.340]   myself
[00:00:30.340 --> 00:00:30.430]  ,
[00:00:30.430 --> 00:00:30.720]   Justin
[00:00:30.720 --> 00:00:31.060]   Vincent
[00:00:31.060 --> 00:00:31.200]   and
[00:00:31.200 --> 00:00:31.440]   Jason
[00:00:31.440 --> 00:00:31.780]   Roberts
[00:00:31.780 --> 00:00:32.000]  .
[00:00:32.000 --> 00:00:32.150]   On
[00:00:32.150 --> 00:00:32.530]   today
[00:00:32.530 --> 00:00:32.760]  's
[00:00:32.760 --> 00:00:33.020]   show
[00:00:33.020 --> 00:00:33.150]   we
[00:00:33.150 --> 00:00:33.380]  're
[00:00:33.380 --> 00:00:33.930]   talking
[00:00:33.930 --> 00:00:34.120]   to
[00:00:34.120 --> 00:00:34.310]   Guy
[00:00:34.310 --> 00:00:34.590]   Ner
[00:00:34.590 --> 00:00:34.610]  p
[00:00:34.610 --> 00:00:34.760]  az
[00:00:34.760 --> 00:00:35.000]  ,
[00:00:35.000 --> 00:00:35.180]   co
[00:00:35.180 --> 00:00:35.220]  -
[00:00:35.220 --> 00:00:35.630]  founder
[00:00:35.630 --> 00:00:35.820]   and
[00:00:35.820 --> 00:00:36.010]   CEO
[00:00:36.010 --> 00:00:36.170]   of
[00:00:36.170 --> 00:00:36.320]   tat
[00:00:36.320 --> 00:00:36.570]  ango
[00:00:36.570 --> 00:00:36.750]  .
[00:00:36.750 --> 00:00:36.990]  com
[00:00:36.990 --> 00:00:37.000]  .
[00:00:37.000 --> 00:00:37.410]   Hi
[00:00:37.410 --> 00:00:37.660]   Guy
[00:00:37.660 --> 00:00:37.700]   and
[00:00:37.700 --> 00:00:38.240]   welcome
[00:00:38.240 --> 00:00:38.400]   to
[00:00:38.400 --> 00:00:38.950]   the
[00:00:38.950 --> 00:00:39.000]   show
[00:00:39.000 --> 00:00:39.000]  .
[00:00:39.000 --> 00:00:39.160]   Hi
[00:00:39.160 --> 00:00:39.500]   guys
[00:00:39.500 --> 00:00:39.630]  ,
[00:00:39.630 --> 00:00:40.100]   thanks
[00:00:40.100 --> 00:00:40.340]   for
[00:00:40.340 --> 00:00:40.620]   having
[00:00:40.620 --> 00:00:41.000]   me
[00:00:41.000 --> 00:00:41.000]  .
[00:00:41.000 --> 00:00:41.200]   So
[00:00:41.200 --> 00:00:41.500]   Guy
[00:00:41.500 --> 00:00:41.960]  ,
[00:00:41.960 --> 00:00:42.090]   what
[00:00:42.090 --> 00:00:42.800]   exactly
[00:00:42.800 --> 00:00:42.980]   is
[00:00:42.980 --> 00:00:43.280]   Tat
[00:00:43.280 --> 00:00:44.000]  ango
[00:00:44.000 --> 00:00:44.000]  ?
[00:00:44.000 --> 00:00:44.160]   To
[00:00:44.160 --> 00:00:44.410]   put
[00:00:44.410 --> 00:00:44.570]   it
[00:00:44.570 --> 00:00:44.770]   in
[00:00:44.770 --> 00:00:45.060]   very
[00:00:45.060 --> 00:00:45.600]   simple
[00:00:45.600 --> 00:00:46.000]   terms
[00:00:46.000 --> 00:00:46.140]  ,
[00:00:46.140 --> 00:00:46.410]   Tat
[00:00:46.410 --> 00:00:46.650]  ango
[00:00:46.650 --> 00:00:47.020]   helps
[00:00:47.020 --> 00:00:47.310]   SaaS
[00:00:47.310 --> 00:00:48.000]   companies
[00:00:48.000 --> 00:00:48.830]   understand
[00:00:48.830 --> 00:00:49.240]   their
[00:00:49.240 --> 00:00:50.000]   customers
[00:00:50.000 --> 00:00:50.320]   by
[00:00:50.320 --> 00:00:50.830]   looking
[00:00:50.830 --> 00:00:51.000]   at
[00:00:51.000 --> 00:00:51.490]   what
[00:00:51.490 --> 00:00:51.750]   they
[00:00:51.750 --> 00:00:52.250]  're
[00:00:52.250 --> 00:00:52.490]   doing
[00:00:52.490 --> 00:00:52.770]   and
[00:00:52.770 --> 00:00:53.420]   gaining
[00:00:53.420 --> 00:00:54.160]   insights
[00:00:54.160 --> 00:00:54.340]   on
[00:00:54.340 --> 00:00:54.790]   their
[00:00:54.790 --> 00:00:55.640]   customers
[00:00:55.640 --> 00:00:56.000]  .
[00:00:56.000 --> 00:00:56.000]  
[00:00:56.000 --> 00:00:56.580]   Sometimes
[00:00:56.580 --> 00:00:56.630]   it
[00:00:56.630 --> 00:00:56.740]  's
[00:00:56.740 --> 00:00:56.910]   fun
[00:00:56.910 --> 00:00:57.070]   to
[00:00:57.070 --> 00:00:57.250]   hear
[00:00:57.250 --> 00:00:57.420]   the
[00:00:57.420 --> 00:00:57.650]   back
[00:00:57.650 --> 00:00:57.960]   story
[00:00:57.960 --> 00:00:58.290]   before
[00:00:58.290 --> 00:00:58.400]   we
[00:00:58.400 --> 00:00:58.570]   get
[00:00:58.570 --> 00:00:58.740]   too
[00:00:58.740 --> 00:00:58.970]   into
[00:00:58.970 --> 00:00:59.140]   the
[00:00:59.140 --> 00:00:59.550]   product
[00:00:59.550 --> 00:01:00.000]   itself
[00:01:00.000 --> 00:01:00.000]  .
[00:01:00.000 --> 00:01:00.100]   So
[00:01:00.100 --> 00:01:00.170]   why
[00:01:00.170 --> 00:01:00.270]   don
[00:01:00.270 --> 00:01:00.330]  't
[00:01:00.330 --> 00:01:00.430]   you
[00:01:00.430 --> 00:01:00.570]   tell
[00:01:00.570 --> 00:01:00.640]   us
[00:01:00.640 --> 00:01:00.670]   a
[00:01:00.670 --> 00:01:00.880]   little
[00:01:00.880 --> 00:01:00.980]   bit
[00:01:00.980 --> 00:01:01.150]   about
[00:01:01.150 --> 00:01:01.250]   how
[00:01:01.250 --> 00:01:01.350]   you
[00:01:01.350 --> 00:01:01.510]   came
[00:01:01.510 --> 00:01:01.560]   up
[00:01:01.560 --> 00:01:01.700]   with
[00:01:01.700 --> 00:01:01.800]   the
[00:01:01.800 --> 00:01:02.000]   idea
[00:01:02.000 --> 00:01:02.310]   and
[00:01:02.310 --> 00:01:02.660]   how
[00:01:02.660 --> 00:01:02.950]   you
[00:01:02.950 --> 00:01:03.240]   got
[00:01:03.240 --> 00:01:04.000]   started
[00:01:04.000 --> 00:01:04.000]  .
[00:01:04.000 --> 00:01:04.310]   Yeah
[00:01:04.310 --> 00:01:04.450]  ,
[00:01:04.450 --> 00:01:04.750]   sure
[00:01:04.750 --> 00:01:05.330]  .
[00:01:05.330 --> 00:01:05.370]   So
[00:01:05.370 --> 00:01:06.300]   around
[00:01:06.300 --> 00:01:06.730]   a
[00:01:06.730 --> 00:01:07.140]   year
[00:01:07.140 --> 00:01:07.630]   and
[00:01:07.630 --> 00:01:07.790]   a
[00:01:07.790 --> 00:01:08.450]   half
[00:01:08.450 --> 00:01:09.000]   ago
[00:01:09.000 --> 00:01:09.370]   my
[00:01:09.370 --> 00:01:09.740]   co
[00:01:09.740 --> 00:01:09.920]  -
[00:01:09.920 --> 00:01:11.220]  founder
[00:01:11.220 --> 00:01:11.820]   and
[00:01:11.820 --> 00:01:12.050]   I
[00:01:12.050 --> 00:01:12.140]  ,
[00:01:12.140 --> 00:01:12.210]   O
[00:01:12.210 --> 00:01:12.420]  mer
[00:01:12.420 --> 00:01:12.910]   Gott
[00:01:12.910 --> 00:01:12.910]  lie
[00:01:12.910 --> 00:01:12.990]  b
[00:01:12.990 --> 00:01:13.000]  ,
[00:01:13.000 --> 00:01:13.300]   we
[00:01:13.300 --> 00:01:13.330]  've
[00:01:13.330 --> 00:01:13.810]   decided
[00:01:13.810 --> 00:01:14.080]   that
[00:01:14.080 --> 00:01:14.210]   we
[00:01:14.210 --> 00:01:14.480]   want
[00:01:14.480 --> 00:01:14.610]   to
[00:01:14.610 --> 00:01:14.740]   do
[00:01:14.740 --> 00:01:15.360]   something
[00:01:15.360 --> 00:01:16.000]   together
[00:01:16.000 --> 00:01:17.020]   and
[00:01:17.020 --> 00:01:17.080]   it
[00:01:17.080 --> 00:01:17.200]   was
[00:01:17.200 --> 00:01:17.480]   obvious
[00:01:17.480 --> 00:01:17.650]   that
[00:01:17.650 --> 00:01:17.730]   we
[00:01:17.730 --> 00:01:18.000]   wanted
[00:01:18.000 --> 00:01:18.150]   to
[00:01:18.150 --> 00:01:18.310]   do
[00:01:18.310 --> 00:01:19.060]   something
[00:01:19.060 --> 00:01:19.500]   with
[00:01:19.500 --> 00:01:19.680]   SaaS
[00:01:19.680 --> 00:01:20.000]  .
[00:01:20.000 --> 00:01:20.270]  
[00:01:20.270 --> 00:01:20.290]   And
[00:01:20.290 --> 00:01:20.380]   I
[00:01:20.380 --> 00:01:20.760]   came
[00:01:20.760 --> 00:01:21.160]   from
[00:01:21.160 --> 00:01:21.280]   a
[00:01:21.280 --> 00:01:22.230]   background
[00:01:22.230 --> 00:01:22.720]   where
[00:01:22.720 --> 00:01:22.810]   I
[00:01:22.810 --> 00:01:23.490]   started
[00:01:23.490 --> 00:01:23.730]   to
[00:01:23.730 --> 00:01:24.170]   build
[00:01:24.170 --> 00:01:24.980]   platform
[00:01:24.980 --> 00:01:25.140]   as
[00:01:25.140 --> 00:01:25.230]   a
