
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.970]   This
[00:00:00.970 --> 00:00:01.320]   show
[00:00:01.320 --> 00:00:01.650]   is
[00:00:01.650 --> 00:00:03.760]   distributed
[00:00:03.760 --> 00:00:03.810]   by
[00:00:03.810 --> 00:00:04.310]   Sun
[00:00:04.310 --> 00:00:04.470]  c
[00:00:04.470 --> 00:00:04.990]  row
[00:00:04.990 --> 00:00:05.000]  .
[00:00:05.000 --> 00:00:07.000]   Welcome
[00:00:07.000 --> 00:00:07.000]  !
[00:00:28.000 --> 00:00:28.000]  
[00:00:28.000 --> 00:00:28.390]   Welcome
[00:00:28.390 --> 00:00:28.500]   to
[00:00:28.500 --> 00:00:28.890]   episode
[00:00:28.890 --> 00:00:29.400]   196
[00:00:29.400 --> 00:00:29.510]   of
[00:00:29.510 --> 00:00:29.730]   Tech
[00:00:29.730 --> 00:00:29.780]  S
[00:00:29.780 --> 00:00:30.000]  ync
[00:00:30.000 --> 00:00:30.110]  ,
[00:00:30.110 --> 00:00:30.440]   hosted
[00:00:30.440 --> 00:00:30.550]   by
[00:00:30.550 --> 00:00:30.880]   myself
[00:00:30.880 --> 00:00:31.040]  ,
[00:00:31.040 --> 00:00:31.460]   Justin
[00:00:31.460 --> 00:00:31.990]   Vincent
[00:00:31.990 --> 00:00:32.110]  ,
[00:00:32.110 --> 00:00:32.280]   and
[00:00:32.280 --> 00:00:32.570]   Jason
[00:00:32.570 --> 00:00:32.960]   Roberts
[00:00:32.960 --> 00:00:33.000]  .
[00:00:33.000 --> 00:00:33.140]   In
[00:00:33.140 --> 00:00:33.490]   today
[00:00:33.490 --> 00:00:33.630]  's
[00:00:33.630 --> 00:00:33.910]   show
[00:00:33.910 --> 00:00:34.050]  ,
[00:00:34.050 --> 00:00:34.400]   Jason
[00:00:34.400 --> 00:00:34.550]   is
[00:00:34.550 --> 00:00:35.030]   talking
[00:00:35.030 --> 00:00:35.240]   to
[00:00:35.240 --> 00:00:35.310]   Om
[00:00:35.310 --> 00:00:35.450]  ri
[00:00:35.450 --> 00:00:35.670]   Dr
[00:00:35.670 --> 00:00:35.800]  ori
[00:00:35.800 --> 00:00:36.540]  ,
[00:00:36.540 --> 00:00:37.070]   founder
[00:00:37.070 --> 00:00:37.530]   and
[00:00:37.530 --> 00:00:38.100]   CEO
[00:00:38.100 --> 00:00:38.100]   of
[00:00:38.100 --> 00:00:38.250]   the
[00:00:38.250 --> 00:00:38.400]   Gen
[00:00:38.400 --> 00:00:38.550]  ome
[00:00:38.550 --> 00:00:38.760]   Comp
[00:00:38.760 --> 00:00:39.000]  iler
[00:00:39.000 --> 00:00:40.000]   Corporation
[00:00:40.000 --> 00:00:40.000]  .
[00:00:40.000 --> 00:00:40.280]   Well
[00:00:40.280 --> 00:00:40.420]  ,
[00:00:40.420 --> 00:00:40.560]   Om
[00:00:40.560 --> 00:00:40.700]  ri
[00:00:40.700 --> 00:00:40.890]  ,
[00:00:40.890 --> 00:00:40.980]   it
[00:00:40.980 --> 00:00:41.460]  's
[00:00:41.460 --> 00:00:41.470]   great
[00:00:41.470 --> 00:00:41.610]   to
[00:00:41.610 --> 00:00:41.890]   have
[00:00:41.890 --> 00:00:42.100]   you
