
[00:00:00.000 --> 00:00:00.200]  
[00:00:00.200 --> 00:00:00.890]   This
[00:00:00.890 --> 00:00:01.260]   show
[00:00:01.260 --> 00:00:01.500]   is
[00:00:01.500 --> 00:00:03.180]   distributed
[00:00:03.180 --> 00:00:03.770]   by
[00:00:03.770 --> 00:00:04.570]   someone
[00:00:04.570 --> 00:00:04.990]  .
[00:00:04.990 --> 00:00:05.540]   Next
[00:00:05.540 --> 00:00:06.080]   time
[00:00:06.080 --> 00:00:06.500]  .
[00:00:28.000 --> 00:00:28.000]  
[00:00:28.000 --> 00:00:28.020]   Welcome
[00:00:28.020 --> 00:00:28.020]   to
[00:00:28.020 --> 00:00:28.040]   episode
[00:00:28.040 --> 00:00:28.050]   one
[00:00:28.050 --> 00:00:28.070]   hundred
[00:00:28.070 --> 00:00:28.080]   and
[00:00:28.080 --> 00:00:28.090]   fifty
[00:00:28.090 --> 00:00:28.100]   one
[00:00:28.100 --> 00:00:28.100]   of
[00:00:28.100 --> 00:00:28.110]   Tech
[00:00:28.110 --> 00:00:28.160]  S
[00:00:28.160 --> 00:00:28.430]  ink
[00:00:28.430 --> 00:00:28.980]   hosted
[00:00:28.980 --> 00:00:29.160]   by
[00:00:29.160 --> 00:00:29.710]   myself
[00:00:29.710 --> 00:00:30.260]   Justin
[00:00:30.260 --> 00:00:30.440]  ,
[00:00:30.440 --> 00:00:31.080]   Vincent
[00:00:31.080 --> 00:00:31.350]   and
[00:00:31.350 --> 00:00:31.810]   Jason
[00:00:31.810 --> 00:00:32.450]   Roberts
[00:00:32.450 --> 00:00:32.790]  .
[00:00:32.790 --> 00:00:32.990]   On
[00:00:32.990 --> 00:00:33.190]   today
[00:00:33.190 --> 00:00:33.300]  's
[00:00:33.300 --> 00:00:33.520]   show
[00:00:33.520 --> 00:00:33.630]   we
[00:00:33.630 --> 00:00:33.800]  're
[00:00:33.800 --> 00:00:34.180]   talking
[00:00:34.180 --> 00:00:34.340]   to
[00:00:34.340 --> 00:00:34.610]   Chong
[00:00:34.610 --> 00:00:34.800]   Tang
[00:00:34.800 --> 00:00:35.000]   from
[00:00:35.000 --> 00:00:35.280]  ,
[00:00:35.280 --> 00:00:35.300]   Jun
[00:00:35.300 --> 00:00:35.350]  -
[00:00:35.350 --> 00:00:35.400]  X
[00:00:35.400 --> 00:00:35.450]  i
[00:00:35.450 --> 00:00:35.850]   Capital
[00:00:35.850 --> 00:00:36.460]   Engineering
[00:00:36.460 --> 00:00:36.670]  .
[00:00:36.670 --> 00:00:37.040]   Hi
[00:00:37.040 --> 00:00:37.130]   Chong
[00:00:37.130 --> 00:00:37.150]  ,
[00:00:37.150 --> 00:00:37.270]   how
[00:00:37.270 --> 00:00:37.410]   you
[00:00:37.410 --> 00:00:37.640]   doing
[00:00:37.640 --> 00:00:37.840]  ? [SPEAKER_TURN]
[00:00:37.840 --> 00:00:38.020]   Hi
[00:00:38.020 --> 00:00:38.280]   Justin
[00:00:38.280 --> 00:00:38.390]  ,
[00:00:38.390 --> 00:00:38.440]   I
[00:00:38.440 --> 00:00:38.550]  'm
[00:00:38.550 --> 00:00:38.830]   doing
[00:00:38.830 --> 00:00:39.050]   well
[00:00:39.050 --> 00:00:39.380]   thanks
[00:00:39.380 --> 00:00:39.560]  , [SPEAKER_TURN]
[00:00:39.760 --> 00:00:39.820]  
[00:00:39.820 --> 00:00:39.890]   So
[00:00:39.890 --> 00:00:40.160]   this
[00:00:40.160 --> 00:00:40.290]   is
[00:00:40.290 --> 00:00:40.350]   a
[00:00:40.350 --> 00:00:40.780]   little
[00:00:40.780 --> 00:00:41.350]   different
[00:00:41.350 --> 00:00:41.690]   kind
[00:00:41.690 --> 00:00:41.750]   of
[00:00:41.750 --> 00:00:41.880]   uh
[00:00:41.880 --> 00:00:42.150]   show
[00:00:42.150 --> 00:00:42.210]   w
[00:00:42.210 --> 00:00:42.340]   we
[00:00:42.340 --> 00:00:42.880]   normally
[00:00:42.880 --> 00:00:43.150]   talk
[00:00:43.150 --> 00:00:43.300]   to
[00:00:43.300 --> 00:00:44.150]   entrepreneurs
[00:00:44.150 --> 00:00:44.340]   who
[00:00:44.340 --> 00:00:44.620]   are
[00:00:44.620 --> 00:00:45.090]   building
[00:00:45.090 --> 00:00:45.290]   one
[00:00:45.290 --> 00:00:45.690]   type
[00:00:45.690 --> 00:00:45.750]   of
[00:00:45.750 --> 00:00:45.810]   a
[00:00:45.810 --> 00:00:46.230]   startup
[00:00:46.230 --> 00:00:46.350]   or
[00:00:46.350 --> 00:00:46.820]   another
[00:00:46.820 --> 00:00:47.020]   but
[00:00:47.020 --> 00:00:47.150]   um
[00:00:47.150 --> 00:00:47.480]   Chong
[00:00:47.480 --> 00:00:47.680]   you
[00:00:47.680 --> 00:00:47.880]   have
[00:00:47.880 --> 00:00:48.300]   a
[00:00:48.300 --> 00:00:48.410]   little
[00:00:48.410 --> 00:00:49.010]   different
[00:00:49.010 --> 00:00:49.680]   background
[00:00:49.680 --> 00:00:49.810]   w
[00:00:49.810 --> 00:00:50.070]   which
