
[00:00:00.000 --> 00:00:01.060]  
[00:00:01.060 --> 00:00:22.560]   Welcome
[00:00:22.560 --> 00:00:22.680]   to
[00:00:22.680 --> 00:00:23.140]   episode
[00:00:23.140 --> 00:00:23.420]   three
[00:00:23.420 --> 00:00:23.850]   hundred
[00:00:23.850 --> 00:00:24.030]   and
[00:00:24.030 --> 00:00:24.340]   seven
[00:00:24.340 --> 00:00:24.460]   of
[00:00:24.460 --> 00:00:24.700]   Tech
[00:00:24.700 --> 00:00:24.760]  S
[00:00:24.760 --> 00:00:24.940]  ane
[00:00:24.940 --> 00:00:25.060]  ,
[00:00:25.060 --> 00:00:25.430]   hosted
[00:00:25.430 --> 00:00:25.560]   by
[00:00:25.560 --> 00:00:25.920]   myself
[00:00:25.920 --> 00:00:26.280]   Justin
[00:00:26.280 --> 00:00:26.410]  ,
[00:00:26.410 --> 00:00:26.870]   Vincent
[00:00:26.870 --> 00:00:26.960]  ,
[00:00:26.960 --> 00:00:27.130]   and
[00:00:27.130 --> 00:00:27.430]   Jason
[00:00:27.430 --> 00:00:28.120]   Roberts
[00:00:28.120 --> 00:00:28.140]  .
[00:00:28.140 --> 00:00:28.440]   Hello
[00:00:28.440 --> 00:00:28.700]   Jason
[00:00:28.700 --> 00:00:28.760]  ,
[00:00:28.760 --> 00:00:28.910]   how
[00:00:28.910 --> 00:00:29.060]   you
[00:00:29.060 --> 00:00:29.500]   doing
[00:00:29.500 --> 00:00:29.500]  ?
[00:00:29.500 --> 00:00:29.520]  
[00:00:29.520 --> 00:00:29.530]   I
[00:00:29.530 --> 00:00:29.600]  'm
[00:00:29.600 --> 00:00:29.750]   good
[00:00:29.750 --> 00:00:29.860]   how
[00:00:29.860 --> 00:00:29.930]  ,
[00:00:29.930 --> 00:00:30.190]   about
[00:00:30.190 --> 00:00:30.600]   yourself
[00:00:30.600 --> 00:00:30.600]  ?
[00:00:30.600 --> 00:00:31.390]   Fantastic
[00:00:31.390 --> 00:00:31.520]   couldn
[00:00:31.520 --> 00:00:31.690]  't
[00:00:31.690 --> 00:00:31.760]  ,
[00:00:31.760 --> 00:00:31.880]   be
[00:00:31.880 --> 00:00:32.250]   better
[00:00:32.250 --> 00:00:32.960]  . [SPEAKER_TURN]
[00:00:32.960 --> 00:00:33.290]   Good
[00:00:33.290 --> 00:00:33.320]  ,
[00:00:33.320 --> 00:00:33.510]   good
[00:00:33.510 --> 00:00:33.670]  .
[00:00:33.670 --> 00:00:33.720]   I
[00:00:33.720 --> 00:00:34.020]   haven
[00:00:34.020 --> 00:00:34.110]  't
[00:00:34.110 --> 00:00:34.330]   seen
[00:00:34.330 --> 00:00:34.490]   you
[00:00:34.490 --> 00:00:34.600]   in
[00:00:34.600 --> 00:00:34.710]   uh
[00:00:34.710 --> 00:00:34.820]   it
[00:00:34.820 --> 00:00:34.980]   was
[00:00:34.980 --> 00:00:35.180]   about
[00:00:35.180 --> 00:00:35.640]   a
[00:00:35.640 --> 00:00:35.810]   millennia
[00:00:35.810 --> 00:00:36.520]  . [SPEAKER_TURN]
[00:00:36.520 --> 00:00:36.630]   I
[00:00:36.630 --> 00:00:36.840]   know
[00:00:36.840 --> 00:00:36.970]   we
[00:00:36.970 --> 00:00:37.100]  ,
[00:00:37.100 --> 00:00:37.430]   haven
[00:00:37.430 --> 00:00:37.560]  't
[00:00:37.560 --> 00:00:37.820]   seen
[00:00:37.820 --> 00:00:38.080]   each
