
[00:00:00.000 --> 00:00:00.810]  
[00:00:00.810 --> 00:00:03.160]   [
[00:00:03.160 --> 00:00:18.800]  Music
[00:00:18.800 --> 00:00:21.940]  ]
[00:00:21.960 --> 00:00:21.970]  
[00:00:21.970 --> 00:00:22.420]   Welcome
[00:00:22.420 --> 00:00:22.550]   to
[00:00:22.550 --> 00:00:23.010]   episode
[00:00:23.010 --> 00:00:23.210]   two
[00:00:23.210 --> 00:00:23.670]   hundred
[00:00:23.670 --> 00:00:23.870]   and
[00:00:23.870 --> 00:00:24.210]   fifty
[00:00:24.210 --> 00:00:24.420]   six
[00:00:24.420 --> 00:00:24.530]   of
[00:00:24.530 --> 00:00:24.790]   Tech
[00:00:24.790 --> 00:00:24.850]  S
[00:00:24.850 --> 00:00:25.050]  ync
[00:00:25.050 --> 00:00:25.180]  ,
[00:00:25.180 --> 00:00:25.580]   hosted
[00:00:25.580 --> 00:00:25.710]   by
[00:00:25.710 --> 00:00:26.120]   myself
[00:00:26.120 --> 00:00:26.510]   Justin
[00:00:26.510 --> 00:00:26.650]  ,
[00:00:26.650 --> 00:00:27.100]   Vincent
[00:00:27.100 --> 00:00:27.300]   and
[00:00:27.300 --> 00:00:27.610]   Jason
[00:00:27.610 --> 00:00:28.080]   Roberts
[00:00:28.080 --> 00:00:28.290]  .
[00:00:28.290 --> 00:00:28.490]   In
[00:00:28.490 --> 00:00:28.750]   today
[00:00:28.750 --> 00:00:28.880]  's
[00:00:28.880 --> 00:00:29.140]   show
[00:00:29.140 --> 00:00:29.530]  ,
[00:00:29.530 --> 00:00:29.600]   Jason
[00:00:29.600 --> 00:00:29.730]  's
[00:00:29.730 --> 00:00:30.190]   talking
[00:00:30.190 --> 00:00:30.320]   to
[00:00:30.320 --> 00:00:30.720]   Nathan
[00:00:30.720 --> 00:00:31.310]   Hawkins
[00:00:31.310 --> 00:00:31.730]  ,
[00:00:31.730 --> 00:00:31.790]   creator
[00:00:31.790 --> 00:00:31.900]   of
[00:00:31.900 --> 00:00:32.160]   Conj
[00:00:32.160 --> 00:00:32.360]  ure
[00:00:32.360 --> 00:00:32.490]  ,
[00:00:32.490 --> 00:00:32.620]   an
[00:00:32.620 --> 00:00:32.720]   epic
[00:00:32.720 --> 00:00:33.340]   new
[00:00:33.340 --> 00:00:33.340]   card
[00:00:33.340 --> 00:00:33.630]   game
[00:00:33.630 --> 00:00:33.860]   that
[00:00:33.860 --> 00:00:33.990]   he
[00:00:33.990 --> 00:00:34.120]  's
[00:00:34.120 --> 00:00:34.380]   been
[00:00:34.380 --> 00:00:34.910]   bringing
[00:00:34.910 --> 00:00:35.130]   to
[00:00:35.130 --> 00:00:35.440]   market
[00:00:35.440 --> 00:00:35.640]   for
[00:00:35.640 --> 00:00:35.840]   the
[00:00:35.840 --> 00:00:36.100]   past
[00:00:36.100 --> 00:00:36.300]   few
[00:00:36.300 --> 00:00:36.630]   years
[00:00:36.630 --> 00:00:37.080]  .
[00:00:38.240 --> 00:00:38.240]  
[00:00:38.240 --> 00:00:38.240]   '
[00:00:38.240 --> 00:00:38.240]  Kay
[00:00:38.240 --> 00:00:38.240]   well
[00:00:38.240 --> 00:00:38.240]   Nathan
[00:00:38.240 --> 00:00:38.240]   uh
[00:00:38.240 --> 00:00:38.240]   thanks
[00:00:38.240 --> 00:00:38.240]   for
[00:00:38.240 --> 00:00:38.240]   uh
[00:00:38.240 --> 00:00:38.240]   coming
[00:00:38.240 --> 00:00:38.240]   on
[00:00:38.240 --> 00:00:38.240]   the
[00:00:38.240 --> 00:00:38.240]   show
[00:00:38.240 --> 00:00:38.280]   today
[00:00:38.280 --> 00:00:38.340]  .
[00:00:38.340 --> 00:00:38.470]   No
[00:00:38.470 --> 00:00:39.150]   worries
[00:00:39.150 --> 00:00:39.340]  ,
[00:00:39.340 --> 00:00:39.930]   Jason
[00:00:39.930 --> 00:00:40.020]  ,
[00:00:40.020 --> 00:00:40.410]   very
[00:00:40.410 --> 00:00:40.900]   happy
[00:00:40.900 --> 00:00:41.090]   to
[00:00:41.090 --> 00:00:41.280]   be
[00:00:41.280 --> 00:00:41.670]   here
[00:00:41.670 --> 00:00:42.340]   through
[00:00:42.340 --> 00:00:42.730]   SC
[00:00:42.730 --> 00:00:42.730]  OP
[00:00:42.730 --> 00:00:43.020]  .
[00:00:43.020 --> 00:00:43.210]   So
[00:00:43.210 --> 00:00:43.400]   uh
[00:00:43.400 --> 00:00:43.490]   I
[00:00:43.490 --> 00:00:43.580]   I
[00:00:43.580 --> 00:00:43.670]   I
[00:00:43.670 --> 00:00:44.160]   wanna
[00:00:44.160 --> 00:00:44.550]   just
[00:00:44.550 --> 00:00:44.740]   do
[00:00:44.740 --> 00:00:44.830]   a
[00:00:44.830 --> 00:00:45.730]   quick
[00:00:45.730 --> 00:00:46.300]   background
[00:00:46.300 --> 00:00:46.590]   for
[00:00:46.590 --> 00:00:46.880]   our
[00:00:46.880 --> 00:00:47.760]   listeners
[00:00:47.760 --> 00:00:48.530]   because
[00:00:48.530 --> 00:00:48.690]   I
[00:00:48.690 --> 00:00:49.180]   want
[00:00:49.180 --> 00:00:49.310]   them
[00:00:49.310 --> 00:00:49.500]   to
[00:00:49.500 --> 00:00:50.490]   understand
[00:00:50.490 --> 00:00:50.770]   the
[00:00:50.770 --> 00:00:51.450]   context
[00:00:51.450 --> 00:00:51.740]   for
[00:00:51.740 --> 00:00:52.130]   this
[00:00:52.130 --> 00:00:53.020]   interview
[00:00:53.020 --> 00:00:53.800]  .
[00:00:53.800 --> 00:00:53.900]   Um
[00:00:53.900 --> 00:00:54.060]   so
[00:00:54.060 --> 00:00:54.880]   Nathan
[00:00:54.880 --> 00:00:55.240]   you
[00:00:55.240 --> 00:00:56.050]  've
[00:00:56.050 --> 00:00:56.660]   created
[00:00:56.660 --> 00:00:56.680]   a
[00:00:56.680 --> 00:00:57.200]   card
[00:00:57.200 --> 00:00:57.950]   game
[00:00:57.950 --> 00:00:57.980]  ,
[00:00:57.980 --> 00:00:58.110]   a
[00:00:58.110 --> 00:00:59.140]   trading
[00:00:59.140 --> 00:00:59.550]   card
[00:00:59.550 --> 00:01:00.070]   game
[00:01:00.070 --> 00:01:00.630]   um
[00:01:00.630 --> 00:01:01.120]   called
