
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.970]   This
[00:00:00.970 --> 00:00:01.250]   show
[00:00:01.250 --> 00:00:01.500]   is
[00:00:01.500 --> 00:00:03.170]   distributed
[00:00:03.170 --> 00:00:03.770]   by
[00:00:03.770 --> 00:00:04.570]   someone
[00:00:04.570 --> 00:00:05.450]  .
[00:00:05.450 --> 00:00:05.510]   Let
[00:00:05.510 --> 00:00:05.850]  's
[00:00:05.850 --> 00:00:06.040]   go
[00:00:06.040 --> 00:00:06.500]  .
[00:00:27.920 --> 00:00:27.920]  
[00:00:27.920 --> 00:00:28.280]   Welcome
[00:00:28.280 --> 00:00:28.380]   to
[00:00:28.380 --> 00:00:28.740]   episode
[00:00:28.740 --> 00:00:28.890]   one
[00:00:28.890 --> 00:00:29.250]   hundred
[00:00:29.250 --> 00:00:29.400]   and
[00:00:29.400 --> 00:00:29.710]   ninety
[00:00:29.710 --> 00:00:29.810]   of
[00:00:29.810 --> 00:00:30.010]   Tech
[00:00:30.010 --> 00:00:30.060]  S
[00:00:30.060 --> 00:00:30.210]  ink
[00:00:30.210 --> 00:00:30.520]   hosted
[00:00:30.520 --> 00:00:30.620]   by
[00:00:30.620 --> 00:00:30.930]   myself
[00:00:30.930 --> 00:00:31.240]   Justin
[00:00:31.240 --> 00:00:31.340]  ,
[00:00:31.340 --> 00:00:31.700]   Vincent
[00:00:31.700 --> 00:00:31.800]  ,
[00:00:31.800 --> 00:00:32.060]   Jason
[00:00:32.060 --> 00:00:32.420]   Roberts
[00:00:32.420 --> 00:00:32.660]  .
[00:00:32.660 --> 00:00:32.790]   On
[00:00:32.790 --> 00:00:33.190]   this
[00:00:33.190 --> 00:00:33.310]   show
[00:00:33.310 --> 00:00:33.370]   I
[00:00:33.370 --> 00:00:33.500]  'm
[00:00:33.500 --> 00:00:33.960]   talking
[00:00:33.960 --> 00:00:34.110]   to
[00:00:34.110 --> 00:00:34.420]   Harry
[00:00:34.420 --> 00:00:34.680]   Holl
[00:00:34.680 --> 00:00:35.010]  ander
[00:00:35.010 --> 00:00:35.210]   and
[00:00:35.210 --> 00:00:35.430]   Ted
[00:00:35.430 --> 00:00:35.470]   P
[00:00:35.470 --> 00:00:35.660]  its
[00:00:35.660 --> 00:00:35.740]   who
[00:00:35.740 --> 00:00:36.170]  've
[00:00:36.170 --> 00:00:36.370]   boot
[00:00:36.370 --> 00:00:36.370]  -
[00:00:36.370 --> 00:00:36.640]  stra
[00:00:36.640 --> 00:00:36.890]  pped
[00:00:36.890 --> 00:00:36.950]   m
[00:00:36.950 --> 00:00:37.280]  orrow
[00:00:37.280 --> 00:00:37.470]  are
[00:00:37.470 --> 00:00:37.650]  .
[00:00:37.650 --> 00:00:38.310]  com
[00:00:38.310 --> 00:00:38.360]   counter
[00:00:38.360 --> 00:00:38.500]  top
[00:00:38.500 --> 00:00:39.230]   fabrication
[00:00:39.230 --> 00:00:39.760]   software
[00:00:39.760 --> 00:00:39.950]   to
[00:00:39.950 --> 00:00:40.350]   a
[00:00:40.350 --> 00:00:40.420]   yearly
[00:00:40.420 --> 00:00:40.810]   revenue
[00:00:40.810 --> 00:00:40.940]   of
[00:00:40.940 --> 00:00:41.200]   over
[00:00:41.200 --> 00:00:41.400]   one
[00:00:41.400 --> 00:00:41.860]   million
[00:00:41.860 --> 00:00:42.320]   dollars
[00:00:42.320 --> 00:00:42.640]   which
[00:00:42.640 --> 00:00:42.780]   is
[00:00:42.780 --> 00:00:43.380]   something
[00:00:43.380 --> 00:00:43.440]   I
[00:00:43.440 --> 00:00:43.570]  'm
[00:00:43.570 --> 00:00:43.830]   sure
[00:00:43.830 --> 00:00:43.970]   we
[00:00:43.970 --> 00:00:44.090]  'd
[00:00:44.090 --> 00:00:44.380]   all
[00:00:44.380 --> 00:00:44.550]   like
[00:00:44.550 --> 00:00:44.680]   to
[00:00:44.680 --> 00:00:44.830]   do
[00:00:44.830 --> 00:00:45.340]  .
[00:00:45.340 --> 00:00:45.570]   Harry
[00:00:45.570 --> 00:00:45.580]   and
[00:00:45.580 --> 00:00:45.690]   Ted
[00:00:45.690 --> 00:00:45.960]   welcome
[00:00:45.960 --> 00:00:46.050]   to
[00:00:46.050 --> 00:00:46.140]   the
[00:00:46.140 --> 00:00:46.290]   show
[00:00:46.290 --> 00:00:46.780]  . [SPEAKER_TURN]
[00:00:46.780 --> 00:00:47.240]   Hi
[00:00:47.240 --> 00:00:47.440]  . [SPEAKER_TURN]
[00:00:47.440 --> 00:00:47.780]   Hi
[00:00:47.780 --> 00:00:47.840]   thanks
[00:00:47.840 --> 00:00:47.940]  ,
[00:00:47.940 --> 00:00:48.140]   for
[00:00:48.140 --> 00:00:48.390]   having
[00:00:48.390 --> 00:00:48.490]   us
[00:00:48.490 --> 00:00:49.080]  . [SPEAKER_TURN]
[00:00:49.480 --> 00:00:49.570]  
[00:00:49.570 --> 00:00:49.630]   We
[00:00:49.630 --> 00:00:49.870]  've
[00:00:49.870 --> 00:00:50.070]   met
[00:00:50.070 --> 00:00:50.280]   at
[00:00:50.280 --> 00:00:50.510]   two
[00:00:50.510 --> 00:00:50.820]   micro
[00:00:50.820 --> 00:00:50.890]  -
[00:00:50.890 --> 00:00:51.260]  com
[00:00:51.260 --> 00:00:51.390]  fs
