
[00:00:00.000 --> 00:00:08.560]  
[00:00:08.560 --> 00:00:29.980]   Welcome
[00:00:29.980 --> 00:00:29.980]  
[00:00:29.980 --> 00:00:30.090]   to
[00:00:30.090 --> 00:00:30.500]   episode
[00:00:30.500 --> 00:00:30.790]   three
[00:00:30.790 --> 00:00:31.200]   hundred
[00:00:31.200 --> 00:00:31.370]   and
[00:00:31.370 --> 00:00:31.660]   fifty
[00:00:31.660 --> 00:00:31.830]   six
[00:00:31.830 --> 00:00:31.940]   of
[00:00:31.940 --> 00:00:32.170]   Text
[00:00:32.170 --> 00:00:32.340]  ing
[00:00:32.340 --> 00:00:32.700]   hosted
[00:00:32.700 --> 00:00:32.800]   by
[00:00:32.800 --> 00:00:33.150]   myself
[00:00:33.150 --> 00:00:33.500]   Justin
[00:00:33.500 --> 00:00:33.610]  ,
[00:00:33.610 --> 00:00:34.040]   Vincent
[00:00:34.040 --> 00:00:34.210]   and
[00:00:34.210 --> 00:00:34.380]   the
[00:00:34.380 --> 00:00:34.880]   fantastic
[00:00:34.880 --> 00:00:35.170]   Jason
[00:00:35.170 --> 00:00:35.580]   Roberts
[00:00:35.580 --> 00:00:35.830]  .
[00:00:35.830 --> 00:00:36.290]   Hello
[00:00:36.290 --> 00:00:36.380]   Jason
[00:00:36.380 --> 00:00:36.490]  ,
[00:00:36.490 --> 00:00:36.650]   how
[00:00:36.650 --> 00:00:36.810]   are
[00:00:36.810 --> 00:00:37.210]   you
[00:00:37.210 --> 00:00:37.240]   doing
[00:00:37.240 --> 00:00:37.900]  ? [SPEAKER_TURN]
[00:00:37.900 --> 00:00:37.980]   I
[00:00:37.980 --> 00:00:38.390]  'm
[00:00:38.390 --> 00:00:38.540]   doing
[00:00:38.540 --> 00:00:38.910]   great
[00:00:38.910 --> 00:00:39.060]  ,
[00:00:39.060 --> 00:00:39.770]   beautiful
[00:00:39.770 --> 00:00:40.240]   Sunday
[00:00:40.240 --> 00:00:40.950]   afternoon
[00:00:40.950 --> 00:00:41.080]  ,
[00:00:41.080 --> 00:00:41.590]   heat
[00:00:41.590 --> 00:00:41.720]   wave
[00:00:41.720 --> 00:00:41.950]   has
[00:00:41.950 --> 00:00:42.500]   finally
[00:00:42.500 --> 00:00:42.970]   passed
[00:00:42.970 --> 00:00:43.740]  .
[00:00:43.740 --> 00:00:43.930]   Thank
[00:00:43.930 --> 00:00:44.000]   God
[00:00:44.000 --> 00:00:44.980]  . [SPEAKER_TURN]
[00:00:44.980 --> 00:00:45.160]   Yeah
[00:00:45.160 --> 00:00:45.340]   some
[00:00:45.340 --> 00:00:45.430]  ,
[00:00:45.430 --> 00:00:45.610]   rain
[00:00:45.610 --> 00:00:45.700]  ,
[00:00:45.700 --> 00:00:45.830]   how
[00:00:45.830 --> 00:00:46.050]   weird
[00:00:46.050 --> 00:00:46.580]  . [SPEAKER_TURN]
[00:00:46.580 --> 00:00:46.780]   Well
[00:00:46.780 --> 00:00:46.910]   I
[00:00:46.910 --> 00:00:46.980]   had
[00:00:46.980 --> 00:00:47.180]   like
