
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.970]   This
[00:00:00.970 --> 00:00:01.100]   show
[00:00:01.100 --> 00:00:01.370]   is
[00:00:01.370 --> 00:00:02.900]   distributed
[00:00:02.900 --> 00:00:03.170]   by
[00:00:03.170 --> 00:00:03.850]   sound
[00:00:03.850 --> 00:00:04.570]  cloud
[00:00:04.570 --> 00:00:05.510]  .
[00:00:05.510 --> 00:00:05.640]   Let
[00:00:05.640 --> 00:00:06.060]  's
[00:00:06.060 --> 00:00:06.810]   go
[00:00:06.810 --> 00:00:07.000]  .
[00:00:07.000 --> 00:00:11.080]   Welcome
[00:00:11.080 --> 00:00:12.250]   to
[00:00:12.250 --> 00:00:16.330]   episode
[00:00:16.330 --> 00:00:18.080]   one
[00:00:18.080 --> 00:00:22.160]   hundred
[00:00:22.160 --> 00:00:23.910]   and
[00:00:23.910 --> 00:00:27.410]   ninety
[00:00:27.410 --> 00:00:29.780]   nine
[00:00:29.780 --> 00:00:29.840]   of
[00:00:29.840 --> 00:00:29.840]  
[00:00:29.840 --> 00:00:31.800]   Text
[00:00:31.800 --> 00:00:31.890]  sing
[00:00:31.890 --> 00:00:32.030]   hosted
[00:00:32.030 --> 00:00:32.070]   by
[00:00:32.070 --> 00:00:32.210]   myself
[00:00:32.210 --> 00:00:32.350]   Justin
[00:00:32.350 --> 00:00:32.390]  ,
[00:00:32.390 --> 00:00:32.560]   Vincent
[00:00:32.560 --> 00:00:32.630]   and
[00:00:32.630 --> 00:00:32.760]   Jason
[00:00:32.760 --> 00:00:32.920]   Roberts
[00:00:32.920 --> 00:00:33.040]  .
[00:00:33.040 --> 00:00:33.140]   On
[00:00:33.140 --> 00:00:33.380]   today
[00:00:33.380 --> 00:00:33.550]  's
[00:00:33.550 --> 00:00:33.670]   show
[00:00:33.670 --> 00:00:33.770]   we
[00:00:33.770 --> 00:00:33.910]  're
[00:00:33.910 --> 00:00:34.250]   talking
[00:00:34.250 --> 00:00:34.380]   to
[00:00:34.380 --> 00:00:34.560]   Mate
[00:00:34.560 --> 00:00:34.660]  en
[00:00:34.660 --> 00:00:34.840]   Tam
[00:00:34.840 --> 00:00:35.000]  iz
[00:00:35.000 --> 00:00:35.090]  i
[00:00:35.090 --> 00:00:35.260]  ,
[00:00:35.260 --> 00:00:35.860]   founder
[00:00:35.860 --> 00:00:36.310]   and
[00:00:36.310 --> 00:00:36.390]   CEO
[00:00:36.390 --> 00:00:36.560]   of
[00:00:36.560 --> 00:00:37.270]   Balanced
[00:00:37.270 --> 00:00:37.560]  .
[00:00:37.560 --> 00:00:37.630]   Balanced
[00:00:37.630 --> 00:00:38.240]   is
[00:00:38.240 --> 00:00:38.350]   a
[00:00:38.350 --> 00:00:38.660]   payment
[00:00:38.660 --> 00:00:39.140]   platform
[00:00:39.140 --> 00:00:39.670]   designed
[00:00:39.670 --> 00:00:40.230]   especially
[00:00:40.230 --> 00:00:40.410]   for
[00:00:40.410 --> 00:00:40.760]   market
[00:00:40.760 --> 00:00:41.070]  places
[00:00:41.070 --> 00:00:41.470]  .
[00:00:41.470 --> 00:00:41.470]   Hi
[00:00:41.470 --> 00:00:41.810]   Mate
[00:00:41.810 --> 00:00:41.900]  en
[00:00:41.900 --> 00:00:41.920]  ,
[00:00:41.920 --> 00:00:42.320]   welcome
[00:00:42.320 --> 00:00:42.430]   to
[00:00:42.430 --> 00:00:42.630]   the
[00:00:42.630 --> 00:00:42.830]   show
[00:00:42.830 --> 00:00:43.040]  .
[00:00:43.040 --> 00:00:43.350]   Uh
[00:00:43.350 --> 00:00:43.400]   thank
[00:00:43.400 --> 00:00:43.560]   you
[00:00:43.560 --> 00:00:43.720]   for
[00:00:43.720 --> 00:00:44.030]   having
[00:00:44.030 --> 00:00:44.130]   me
[00:00:44.130 --> 00:00:44.320]  . [SPEAKER_TURN]
[00:00:44.320 --> 00:00:44.740]   Thanks
[00:00:44.740 --> 00:00:44.910]   for
[00:00:44.910 --> 00:00:45.220]   coming
[00:00:45.220 --> 00:00:45.340]   on
[00:00:45.340 --> 00:00:45.580]   Mate
[00:00:45.580 --> 00:00:45.700]  en
[00:00:45.700 --> 00:00:45.870]   Um
[00:00:45.870 --> 00:00:46.000]  .
[00:00:46.000 --> 00:00:46.170]   why
[00:00:46.170 --> 00:00:46.360]   don
[00:00:46.360 --> 00:00:46.610]  't
[00:00:46.610 --> 00:00:46.660]   you
[00:00:46.660 --> 00:00:46.980]   start
[00:00:46.980 --> 00:00:47.120]   by
[00:00:47.120 --> 00:00:47.470]   giving
[00:00:47.470 --> 00:00:47.620]   us
[00:00:47.620 --> 00:00:47.620]   a
[00:00:47.620 --> 00:00:47.920]   quick
[00:00:47.920 --> 00:00:48.530]   overview
[00:00:48.530 --> 00:00:48.570]   of
[00:00:48.570 --> 00:00:48.770]   what
[00:00:48.770 --> 00:00:49.260]   Balanced
[00:00:49.260 --> 00:00:49.380]   is
[00:00:49.380 --> 00:00:49.560]   and
[00:00:49.560 --> 00:00:49.740]   how
[00:00:49.740 --> 00:00:49.860]   uh
[00:00:49.860 --> 00:00:50.030]   you
[00:00:50.030 --> 00:00:50.220]   got
[00:00:50.220 --> 00:00:50.640]   started
[00:00:50.640 --> 00:00:50.760]   on
[00:00:50.760 --> 00:00:50.880]   it
[00:00:50.880 --> 00:00:51.200]  . [SPEAKER_TURN]
[00:00:51.480 --> 00:00:51.550]  
[00:00:51.550 --> 00:00:51.730]   sure
[00:00:51.730 --> 00:00:51.850]   so
[00:00:51.850 --> 00:00:52.050]   the
[00:00:52.050 --> 00:00:52.420]   reason
[00:00:52.420 --> 00:00:52.480]   I
[00:00:52.480 --> 00:00:52.600]  'm
[00:00:52.600 --> 00:00:52.720]   uh
[00:00:52.720 --> 00:00:53.110]   the
[00:00:53.110 --> 00:00:53.290]   reason
[00:00:53.290 --> 00:00:53.350]   I
[00:00:53.350 --> 00:00:53.730]   wanted
[00:00:53.730 --> 00:00:53.850]   to
[00:00:53.850 --> 00:00:53.970]   be
[00:00:53.970 --> 00:00:54.090]   on
[00:00:54.090 --> 00:00:54.210]   is
[00:00:54.210 --> 00:00:54.650]   because
[00:00:54.650 --> 00:00:54.710]   I
[00:00:54.710 --> 00:00:55.190]   noticed
[00:00:55.190 --> 00:00:55.400]   that
[00:00:55.400 --> 00:00:55.590]   you
[00:00:55.590 --> 00:00:55.840]   guys
[00:00:55.840 --> 00:00:56.220]   talked
[00:00:56.220 --> 00:00:56.570]   about
[00:00:56.570 --> 00:00:56.650]   us
[00:00:56.650 --> 00:00:57.080]   before
[00:00:57.080 --> 00:00:57.450]  .
[00:00:57.450 --> 00:00:57.650]   Uh
[00:00:57.650 --> 00:00:57.730]   and
[00:00:57.730 --> 00:00:57.920]   then
[00:00:57.920 --> 00:00:58.120]   you
[00:00:58.120 --> 00:00:58.320]  're
[00:00:58.320 --> 00:00:58.940]   switching
[00:00:58.940 --> 00:00:59.050]   over
[00:00:59.050 --> 00:00:59.560]   uh
[00:00:59.560 --> 00:00:59.680]   which
[00:00:59.680 --> 00:01:00.010]   which
[00:01:00.010 --> 00:01:00.080]   I
[00:01:00.080 --> 00:01:00.210]  'm
[00:01:00.210 --> 00:01:00.690]   happy
[00:01:00.690 --> 00:01:00.890]   about
