
[00:00:00.000 --> 00:00:00.810]  
[00:00:00.810 --> 00:00:02.030]   Welcome
[00:00:02.030 --> 00:00:02.610]   to
[00:00:02.610 --> 00:00:04.640]   episode
[00:00:04.640 --> 00:00:05.510]   two
[00:00:05.510 --> 00:00:07.540]   hundred
[00:00:07.540 --> 00:00:08.410]   and
[00:00:08.410 --> 00:00:10.440]   seventy
[00:00:10.440 --> 00:00:11.890]   three
[00:00:11.890 --> 00:00:12.470]   of
[00:00:12.470 --> 00:00:13.630]   Text
[00:00:13.630 --> 00:00:14.500]  ing
[00:00:14.500 --> 00:00:16.240]   hosted
[00:00:16.240 --> 00:00:16.820]   by
[00:00:16.820 --> 00:00:18.560]   myself
[00:00:18.560 --> 00:00:20.300]   Justin
[00:00:20.300 --> 00:00:20.880]  ,
[00:00:20.880 --> 00:00:22.910]   Vincent
[00:00:22.910 --> 00:00:23.780]   and
[00:00:23.780 --> 00:00:25.230]   Jason
[00:00:25.230 --> 00:00:27.260]   Roberts
[00:00:27.260 --> 00:00:28.200]  .
[00:00:28.200 --> 00:00:28.600]   Today
[00:00:28.600 --> 00:00:28.800]  's
[00:00:28.800 --> 00:00:29.080]   show
[00:00:29.080 --> 00:00:29.640]   coming
[00:00:29.640 --> 00:00:29.980]   from
[00:00:29.980 --> 00:00:30.030]  
[00:00:30.030 --> 00:00:30.270]   the
[00:00:30.270 --> 00:00:30.510]   Bat
[00:00:30.510 --> 00:00:30.560]  c
[00:00:30.560 --> 00:00:30.810]  ave
[00:00:30.810 --> 00:00:30.970]   in
[00:00:30.970 --> 00:00:31.390]   Jason
[00:00:31.390 --> 00:00:31.550]  's
[00:00:31.550 --> 00:00:31.960]   house
[00:00:31.960 --> 00:00:32.380]   in
[00:00:32.380 --> 00:00:32.800]   Pasadena
[00:00:32.800 --> 00:00:33.160]  .
[00:00:33.160 --> 00:00:33.230]   Um
[00:00:33.230 --> 00:00:33.430]   not
[00:00:33.430 --> 00:00:33.630]   too
[00:00:33.630 --> 00:00:33.890]   much
[00:00:33.890 --> 00:00:34.080]   of
[00:00:34.080 --> 00:00:34.140]   a
[00:00:34.140 --> 00:00:34.410]   great
[00:00:34.410 --> 00:00:34.610]   day
[00:00:34.610 --> 00:00:35.080]   outside
[00:00:35.080 --> 00:00:35.130]   a
[00:00:35.130 --> 00:00:35.330]   bit
[00:00:35.330 --> 00:00:35.660]   rainy
[00:00:35.660 --> 00:00:35.950]  .
[00:00:35.950 --> 00:00:36.020]   Um
[00:00:36.020 --> 00:00:36.200]   hey
[00:00:36.200 --> 00:00:36.270]   Jason
[00:00:36.270 --> 00:00:36.860]  ,
[00:00:36.860 --> 00:00:36.870]   well
[00:00:36.870 --> 00:00:37.020]   it
[00:00:37.020 --> 00:00:37.100]  's
[00:00:37.100 --> 00:00:37.520]   great
[00:00:37.520 --> 00:00:37.620]   to
[00:00:37.620 --> 00:00:37.640]   be
[00:00:37.640 --> 00:00:38.270]   recording
[00:00:38.270 --> 00:00:38.370]   the
[00:00:38.370 --> 00:00:38.610]   show
[00:00:38.610 --> 00:00:38.730]   in
[00:00:38.730 --> 00:00:38.910]   the
[00:00:38.910 --> 00:00:39.090]   Bat
[00:00:39.090 --> 00:00:39.160]  c
[00:00:39.160 --> 00:00:39.330]  ave
[00:00:39.330 --> 00:00:39.660]  . [SPEAKER_TURN]
[00:00:39.660 --> 00:00:39.670]   Yeah
[00:00:39.670 --> 00:00:39.950]  ,
[00:00:39.950 --> 00:00:40.010]   I
[00:00:40.010 --> 00:00:40.210]   hope
[00:00:40.210 --> 00:00:40.590]   the
[00:00:40.590 --> 00:00:40.610]   audio
[00:00:40.610 --> 00:00:40.960]   works
[00:00:40.960 --> 00:00:41.010]   out
[00:00:41.010 --> 00:00:41.160]  .
[00:00:41.160 --> 00:00:41.260]   Do
[00:00:41.260 --> 00:00:41.410]   you
[00:00:41.410 --> 00:00:41.560]   not
[00:00:41.560 --> 00:00:41.810]   think
[00:00:41.810 --> 00:00:42.070]   there
[00:00:42.070 --> 00:00:42.160]  's
[00:00:42.160 --> 00:00:42.410]   gonna
[00:00:42.410 --> 00:00:42.510]   be
[00:00:42.510 --> 00:00:42.560]   a
[00:00:42.560 --> 00:00:42.710]   lot
[00:00:42.710 --> 00:00:42.810]   of
[00:00:42.810 --> 00:00:42.910]   uh
[00:00:42.910 --> 00:00:43.110]   echo
[00:00:43.110 --> 00:00:43.460]   because
[00:00:43.460 --> 00:00:43.570]   of
[00:00:43.570 --> 00:00:43.720]   the
[00:00:43.720 --> 00:00:43.920]   hard
[00:00:43.920 --> 00:00:44.120]   work
[00:00:44.120 --> 00:00:44.430]   floors
[00:00:44.430 --> 00:00:45.160]  ? [SPEAKER_TURN]
[00:00:45.160 --> 00:00:45.460]   Um
[00:00:45.460 --> 00:00:45.480]   it
[00:00:45.480 --> 00:00:46.070]   should
[00:00:46.070 --> 00:00:46.080]   be
[00:00:46.080 --> 00:00:46.440]   fine
[00:00:46.440 --> 00:00:46.920]   because
[00:00:46.920 --> 00:00:47.300]   these
[00:00:47.300 --> 00:00:47.370]   m
[00:00:47.370 --> 00:00:47.600]  ics
[00:00:47.600 --> 00:00:47.790]   ha
[00:00:47.790 --> 00:00:48.060]   have
[00:00:48.060 --> 00:00:48.130]   a
[00:00:48.130 --> 00:00:48.640]   really
[00:00:48.640 --> 00:00:48.970]   close
[00:00:48.970 --> 00:00:49.580]   range
[00:00:49.580 --> 00:00:49.730]  .
[00:00:49.730 --> 00:00:49.890]   Yeah
[00:00:49.890 --> 00:00:50.360]  .
[00:00:50.360 --> 00:00:50.430]   Yeah
[00:00:50.430 --> 00:00:51.380]  . [SPEAKER_TURN]
[00:00:51.380 --> 00:00:51.700]   Yeah
[00:00:51.700 --> 00:00:51.760]   this
[00:00:51.760 --> 00:00:51.780]  ,
[00:00:51.780 --> 00:00:51.890]   is
[00:00:51.890 --> 00:00:51.980]   our
[00:00:51.980 --> 00:00:52.190]   first
[00:00:52.190 --> 00:00:52.350]   show
[00:00:52.350 --> 00:00:52.590]   from
[00:00:52.590 --> 00:00:52.620]   the
[00:00:52.620 --> 00:00:52.740]   Bat
[00:00:52.740 --> 00:00:52.780]  c
[00:00:52.780 --> 00:00:52.900]  ave
[00:00:52.900 --> 00:00:53.380]  . [SPEAKER_TURN]
[00:00:53.380 --> 00:00:53.480]   It
[00:00:53.480 --> 00:00:53.560]  's
[00:00:53.560 --> 00:00:53.690]   our
[00:00:53.690 --> 00:00:53.920]   first
[00:00:53.920 --> 00:00:54.100]   show
[00:00:54.100 --> 00:00:54.280]   ever
[00:00:54.280 --> 00:00:54.460]   from
[00:00:54.460 --> 00:00:54.650]   your
[00:00:54.650 --> 00:00:54.780]   p
[00:00:54.780 --> 00:00:54.860]   your
[00:00:54.860 --> 00:00:55.100]   place
[00:00:55.100 --> 00:00:55.190]   y
[00:00:55.190 --> 00:00:55.220]  ep
[00:00:55.220 --> 00:00:55.400]  , [SPEAKER_TURN]
[00:00:55.400 --> 00:00:55.540]   So
[00:00:55.540 --> 00:00:55.970]   what
[00:00:55.970 --> 00:00:55.970]  's
[00:00:55.970 --> 00:00:56.740]   uh [SPEAKER_TURN]
[00:00:56.740 --> 00:00:56.900]   This
[00:00:56.900 --> 00:00:56.980]   is
[00:00:56.980 --> 00:00:57.170]   where
[00:00:57.170 --> 00:00:57.250]   it
[00:00:57.250 --> 00:00:57.410]   all
[00:00:57.410 --> 00:00:57.630]   happens
[00:00:57.630 --> 00:00:57.800]  . [SPEAKER_TURN]
[00:00:58.320 --> 00:00:58.380]  
[00:00:58.380 --> 00:00:58.730]   Right
[00:00:58.730 --> 00:00:58.980]  .
[00:00:58.980 --> 00:00:59.380]   Right
[00:00:59.380 --> 00:00:59.620]  .
[00:00:59.620 --> 00:00:59.940]   Yeah
[00:00:59.940 --> 00:01:00.420]   that
[00:01:00.420 --> 00:01:00.420]  's
[00:01:00.420 --> 00:01:00.860]  ,
[00:01:00.860 --> 00:01:00.900]   true
[00:01:00.900 --> 00:01:01.130]  .
[00:01:01.130 --> 00:01:01.310]   So
[00:01:01.310 --> 00:01:01.560]   uh
[00:01:01.560 --> 00:01:01.780]   what
[00:01:01.780 --> 00:01:01.940]   do
[00:01:01.940 --> 00:01:02.180]   you
[00:01:02.180 --> 00:01:02.760]   wanna
[00:01:02.760 --> 00:01:02.910]   talk
[00:01:02.910 --> 00:01:03.320]   about
[00:01:03.320 --> 00:01:04.320]  ? [SPEAKER_TURN]
[00:01:17.660 --> 00:01:17.700]  
[00:01:17.700 --> 00:01:17.930]   Right
[00:01:17.930 --> 00:01:18.090]  .
[00:01:18.090 --> 00:01:18.410]   Unless
[00:01:18.410 --> 00:01:18.680]   these
[00:01:18.680 --> 00:01:19.010]   things
[00:01:19.010 --> 00:01:19.160]   are
[00:01:19.160 --> 00:01:19.420]   like
[00:01:19.420 --> 00:01:19.640]   super
[00:01:19.640 --> 00:01:20.230]   interesting
[00:01:20.230 --> 00:01:20.330]   if
[00:01:20.330 --> 00:01:20.550]   they
[00:01:20.550 --> 00:01:20.700]  're
[00:01:20.700 --> 00:01:20.910]   just
[00:01:20.910 --> 00:01:21.230]   random
[00:01:21.230 --> 00:01:21.770]   selections
[00:01:21.770 --> 00:01:21.970]   off
[00:01:21.970 --> 00:01:21.980]   o
[00:01:21.980 --> 00:01:22.080]   of
[00:01:22.080 --> 00:01:22.400]   things
[00:01:22.400 --> 00:01:22.450]   I
[00:01:22.450 --> 00:01:22.610]  .
[00:01:22.610 --> 00:01:22.660]   I
[00:01:22.660 --> 00:01:22.710]   I
[00:01:22.710 --> 00:01:22.780]   I
[00:01:22.780 --> 00:01:22.970]   only
[00:01:22.970 --> 00:01:23.240]   wanna
[00:01:23.240 --> 00:01:23.450]   talk
[00:01:23.450 --> 00:01:23.720]   about
[00:01:23.720 --> 00:01:24.000]   stuff
[00:01:24.000 --> 00:01:24.150]   you
[00:01:24.150 --> 00:01:24.470]   really
[00:01:24.470 --> 00:01:25.010]   interested
[00:01:25.010 --> 00:01:25.110]   in
[00:01:25.110 --> 00:01:25.270]  .
[00:01:25.270 --> 00:01:25.370]   If
[00:01:25.370 --> 00:01:25.470]   it
[00:01:25.470 --> 00:01:25.570]  's
[00:01:25.570 --> 00:01:25.780]   just
[00:01:25.780 --> 00:01:26.100]   mildly
[00:01:26.100 --> 00:01:26.490]   curious
[00:01:26.490 --> 00:01:26.740]   thing
[00:01:26.740 --> 00:01:26.900]   you
[00:01:26.900 --> 00:01:27.240]   happen
[00:01:27.240 --> 00:01:27.320]   to
[00:01:27.320 --> 00:01:27.480]   see
[00:01:27.480 --> 00:01:27.580]   on
[00:01:27.580 --> 00:01:27.740]   Kak
[00:01:27.740 --> 00:01:27.840]  ar
[00:01:27.840 --> 00:01:28.060]   news
[00:01:28.060 --> 00:01:28.150]  ,
[00:01:28.150 --> 00:01:28.310]   not
[00:01:28.310 --> 00:01:29.000]   so
[00:01:29.000 --> 00:01:29.010]   interesting
[00:01:29.010 --> 00:01:29.860]  . [SPEAKER_TURN]
[00:01:30.240 --> 00:01:30.340]  
[00:01:30.340 --> 00:01:30.410]   Huh
[00:01:30.410 --> 00:01:30.460]   '
[00:01:30.460 --> 00:01:30.740]  cause
[00:01:30.740 --> 00:01:30.790]   I
[00:01:30.790 --> 00:01:30.900]  'm
[00:01:30.900 --> 00:01:31.150]   just
[00:01:31.150 --> 00:01:31.700]   interested
[00:01:31.700 --> 00:01:31.750]   I
[00:01:31.750 --> 00:01:31.890]  'm
[00:01:31.890 --> 00:01:32.320]   actually
[00:01:32.320 --> 00:01:32.890]   interested
[00:01:32.890 --> 00:01:33.000]   in
[00:01:33.000 --> 00:01:33.230]   what
[00:01:33.230 --> 00:01:33.450]   you
[00:01:33.450 --> 00:01:33.630]   have
[00:01:33.630 --> 00:01:33.740]   to
[00:01:33.740 --> 00:01:33.920]   say
[00:01:33.920 --> 00:01:34.190]   about
[00:01:34.190 --> 00:01:34.480]   stuff
[00:01:34.480 --> 00:01:34.740]   that
[00:01:34.740 --> 00:01:34.750]   I
[00:01:34.750 --> 00:01:35.320]   find
[00:01:35.320 --> 00:01:35.550]   mildly
[00:01:35.550 --> 00:01:35.960]   interesting
[00:01:35.960 --> 00:01:36.160]  .
[00:01:36.160 --> 00:01:36.300]   But
[00:01:36.300 --> 00:01:36.610]   that
[00:01:36.610 --> 00:01:36.630]  's
[00:01:36.630 --> 00:01:36.860]   okay
[00:01:36.860 --> 00:01:37.030]  .
[00:01:37.030 --> 00:01:37.260]   That
[00:01:37.260 --> 00:01:37.370]  's
[00:01:37.370 --> 00:01:37.550]   but
[00:01:37.550 --> 00:01:37.810]   but
[00:01:37.810 --> 00:01:37.880]   but
[00:01:37.880 --> 00:01:37.990]   we
[00:01:37.990 --> 00:01:38.180]  'll
[00:01:38.180 --> 00:01:38.270]   we
[00:01:38.270 --> 00:01:38.440]  'll
[00:01:38.440 --> 00:01:38.610]   get
[00:01:38.610 --> 00:01:38.720]   to
[00:01:38.720 --> 00:01:38.960]   that
[00:01:38.960 --> 00:01:39.120]  .
[00:01:39.120 --> 00:01:39.350]   Well
[00:01:39.350 --> 00:01:39.400]   n
[00:01:39.400 --> 00:01:39.690]   first
[00:01:39.690 --> 00:01:39.790]   of
[00:01:39.790 --> 00:01:39.960]   all
[00:01:39.960 --> 00:01:40.260]   start
[00:01:40.260 --> 00:01:40.470]   with
[00:01:40.470 --> 00:01:40.580]   um
[00:01:40.580 --> 00:01:40.630]   I
[00:01:40.630 --> 00:01:40.800]  'll
[00:01:40.800 --> 00:01:41.080]   start
[00:01:41.080 --> 00:01:41.310]   with
[00:01:41.310 --> 00:01:41.590]   disco
[00:01:41.590 --> 00:01:41.640]   '
[00:01:41.640 --> 00:01:41.920]  cause
[00:01:41.920 --> 00:01:41.970]   I
[00:01:41.970 --> 00:01:42.250]   think
[00:01:42.250 --> 00:01:42.420]   you
[00:01:42.420 --> 00:01:42.590]  'll
[00:01:42.590 --> 00:01:42.870]   find
[00:01:42.870 --> 00:01:43.050]   that
[00:01:43.050 --> 00:01:43.680]   interesting
[00:01:43.680 --> 00:01:43.850]  .
[00:01:43.850 --> 00:01:44.280]   So
[00:01:44.280 --> 00:01:44.290]   worked
[00:01:44.290 --> 00:01:44.870]   with
[00:01:44.870 --> 00:01:45.420]   Lance
[00:01:45.420 --> 00:01:45.480]   and
[00:01:45.480 --> 00:01:45.540]   Jo
[00:01:45.540 --> 00:01:45.790]  anna
[00:01:45.790 --> 00:01:45.980]   and
[00:01:45.980 --> 00:01:46.100]   um
[00:01:46.100 --> 00:01:46.220]   we
[00:01:46.220 --> 00:01:46.470]   have
[00:01:46.470 --> 00:01:47.050]   been
[00:01:47.050 --> 00:01:47.170]   working
[00:01:47.170 --> 00:01:47.330]   on
[00:01:47.330 --> 00:01:47.540]   that
[00:01:47.540 --> 00:01:47.730]   for
[00:01:47.730 --> 00:01:47.790]   a
[00:01:47.790 --> 00:01:48.110]   while
[00:01:48.110 --> 00:01:48.940]  . [SPEAKER_TURN]
[00:01:48.940 --> 00:01:49.200]   So
[00:01:49.200 --> 00:01:49.220]   disco
[00:01:49.220 --> 00:01:49.360]   for
[00:01:49.360 --> 00:01:49.590]   anyone
[00:01:49.590 --> 00:01:49.700]   who
[00:01:49.700 --> 00:01:49.860]  's
[00:01:49.860 --> 00:01:49.900]   new
[00:01:49.900 --> 00:01:49.980]   is
[00:01:49.980 --> 00:01:50.140]   your
[00:01:50.140 --> 00:01:50.300]   side
[00:01:50.300 --> 00:01:50.580]   project
[00:01:50.580 --> 00:01:50.660]   we
[00:01:50.660 --> 00:01:50.920]  're
[00:01:50.920 --> 00:01:50.980]   gonna
[00:01:50.980 --> 00:01:51.060]   do
[00:01:51.060 --> 00:01:51.260]   we
[00:01:51.260 --> 00:01:51.260]  'll
[00:01:51.260 --> 00:01:51.340]   do
[00:01:51.340 --> 00:01:51.460]   the
[00:01:51.460 --> 00:01:51.660]   whole
[00:01:51.660 --> 00:01:51.860]   thing
[00:01:51.860 --> 00:01:51.980]  .
[00:01:51.980 --> 00:01:52.120]   You
[00:01:52.120 --> 00:01:52.220]  've
[00:01:52.220 --> 00:01:52.380]   been
[00:01:52.380 --> 00:01:52.660]   working
[00:01:52.660 --> 00:01:52.780]   out
[00:01:52.780 --> 00:01:52.960]   with
[00:01:52.960 --> 00:01:53.140]   Lance
[00:01:53.140 --> 00:01:53.260]   and
[00:01:53.260 --> 00:01:53.860]   and [SPEAKER_TURN]
[00:01:54.100 --> 00:01:54.100]  
[00:01:54.100 --> 00:01:54.330]   Yeah
[00:01:54.330 --> 00:01:54.620]   Lance
[00:01:54.620 --> 00:01:54.790]   and
[00:01:54.790 --> 00:01:54.900]   Jo
[00:01:54.900 --> 00:01:55.130]  anna
[00:01:55.130 --> 00:01:55.300]   and
[00:01:55.300 --> 00:01:55.820]   basically
[00:01:55.820 --> 00:01:55.930]   it
[00:01:55.930 --> 00:01:56.040]  's
[00:01:56.040 --> 00:01:56.130]   a
[00:01:56.130 --> 00:01:56.220]   it
[00:01:56.220 --> 00:01:56.310]  's
[00:01:56.310 --> 00:01:56.360]   a
[00:01:56.360 --> 00:01:56.620]   tool
[00:01:56.620 --> 00:01:56.700]   to
[00:01:56.700 --> 00:01:57.340]   allow
[00:01:57.340 --> 00:01:57.450]   people
[00:01:57.450 --> 00:01:57.450]   to
[00:01:57.450 --> 00:01:57.620]   get
[00:01:57.620 --> 00:01:57.760]   to
[00:01:57.760 --> 00:01:57.920]   put
[00:01:57.920 --> 00:01:57.950]   a
[00:01:57.950 --> 00:01:58.300]   widget
[00:01:58.300 --> 00:01:58.700]   on
[00:01:58.700 --> 00:01:58.740]   their
[00:01:58.740 --> 00:01:58.930]   site
[00:01:58.930 --> 00:01:59.160]   that
[00:01:59.160 --> 00:01:59.270]   uh
[00:01:59.270 --> 00:01:59.380]   it
[00:01:59.380 --> 00:01:59.510]  's
[00:01:59.510 --> 00:01:59.530]   a
[00:01:59.530 --> 00:02:00.150]   combination
[00:02:00.150 --> 00:02:00.280]   of
[00:02:00.280 --> 00:02:00.690]   a
[00:02:00.690 --> 00:02:00.710]   survey
[00:02:00.710 --> 00:02:00.800]   wh
[00:02:00.800 --> 00:02:00.910]   it
[00:02:00.910 --> 00:02:01.020]  's
[00:02:01.020 --> 00:02:01.250]   like
[00:02:01.250 --> 00:02:01.300]   a
[00:02:01.300 --> 00:02:01.480]   pop
[00:02:01.480 --> 00:02:01.520]  -
[00:02:01.520 --> 00:02:01.630]  up
[00:02:01.630 --> 00:02:01.980]   survey
[00:02:01.980 --> 00:02:02.150]   and
[00:02:02.150 --> 00:02:02.380]   then
[00:02:02.380 --> 00:02:02.510]   it
[00:02:02.510 --> 00:02:02.780]   gives
[00:02:02.780 --> 00:02:03.010]   them
[00:02:03.010 --> 00:02:03.070]   a
[00:02:03.070 --> 00:02:03.520]   discount
[00:02:03.520 --> 00:02:03.570]   a
[00:02:03.570 --> 00:02:03.680]  ,
