
[00:00:00.000 --> 00:00:00.010]  
[00:00:00.010 --> 00:00:00.110]   '
[00:00:00.110 --> 00:00:00.220]  S
[00:00:00.220 --> 00:00:00.330]   a
[00:00:00.330 --> 00:00:01.430]   generation
[00:00:01.430 --> 00:00:01.650]   we
[00:00:01.650 --> 00:00:01.980]   see
[00:00:01.980 --> 00:00:02.310]   are
[00:00:02.310 --> 00:00:02.640]   all
[00:00:02.640 --> 00:00:03.200]   Astro
[00:00:03.200 --> 00:00:04.320]  iddle
[00:00:04.320 --> 00:00:05.000]  .
[00:00:05.000 --> 00:00:07.780]   Generation
[00:00:07.780 --> 00:00:08.330]   be
[00:00:08.330 --> 00:00:09.180]   raw
[00:00:09.180 --> 00:00:10.570]  Cause
[00:00:10.570 --> 00:00:11.400]  .
[00:00:11.400 --> 00:00:11.680]   a
[00:00:11.680 --> 00:00:14.470]   generation
[00:00:14.470 --> 00:00:15.030]   be
[00:00:15.030 --> 00:00:15.870]   raw
[00:00:15.870 --> 00:00:18.660]   Generation
[00:00:18.660 --> 00:00:19.220]   be
[00:00:19.220 --> 00:00:20.060]   raw
[00:00:20.060 --> 00:00:20.940]  .
[00:00:20.940 --> 00:00:20.940]  
[00:00:20.940 --> 00:00:21.350]   Welcome
[00:00:21.350 --> 00:00:21.460]   to
[00:00:21.460 --> 00:00:21.690]   Tech
[00:00:21.690 --> 00:00:21.740]  S
[00:00:21.740 --> 00:00:21.970]  ting
[00:00:21.970 --> 00:00:22.380]   seventy
[00:00:22.380 --> 00:00:22.550]   six
[00:00:22.550 --> 00:00:22.900]   hosted
[00:00:22.900 --> 00:00:23.010]   by
[00:00:23.010 --> 00:00:23.360]   myself
[00:00:23.360 --> 00:00:23.710]   Justin
[00:00:23.710 --> 00:00:23.820]  ,
[00:00:23.820 --> 00:00:24.230]   Vincent
[00:00:24.230 --> 00:00:24.400]   and
[00:00:24.400 --> 00:00:24.690]   Jason
[00:00:24.690 --> 00:00:25.100]   Roberts
[00:00:25.100 --> 00:00:25.270]  .
[00:00:25.270 --> 00:00:25.380]   On
[00:00:25.380 --> 00:00:25.670]   today
[00:00:25.670 --> 00:00:25.780]  's
[00:00:25.780 --> 00:00:26.010]   show
[00:00:26.010 --> 00:00:26.120]   we
[00:00:26.120 --> 00:00:26.350]   have
[00:00:26.350 --> 00:00:26.400]   a
[00:00:26.400 --> 00:00:26.630]   very
[00:00:26.630 --> 00:00:27.040]   special
[00:00:27.040 --> 00:00:27.390]   guest
[00:00:27.390 --> 00:00:27.560]   with
[00:00:27.560 --> 00:00:27.670]   us
[00:00:27.670 --> 00:00:28.020]   Thomas
[00:00:28.020 --> 00:00:28.120]  ,
[00:00:28.120 --> 00:00:28.420]   Thur
[00:00:28.420 --> 00:00:28.590]  ston
