
[00:00:00.140 --> 00:00:00.380]   [
[00:00:00.380 --> 00:00:01.910]  able
[00:00:01.910 --> 00:00:03.820]   music
[00:00:03.820 --> 00:00:05.730]   plays
[00:00:05.730 --> 00:00:06.140]  ]
[00:00:06.140 --> 00:00:06.440]   â™
[00:00:06.440 --> 00:00:06.590]  ª
[00:00:06.590 --> 00:00:08.120]   Generation
[00:00:08.120 --> 00:00:08.420]   we
[00:00:08.420 --> 00:00:08.870]  'll
[00:00:08.870 --> 00:00:09.330]   see
[00:00:09.330 --> 00:00:10.240]   heroes
[00:00:10.240 --> 00:00:10.540]   â™
[00:00:10.540 --> 00:00:10.740]  ª
[00:00:10.740 --> 00:00:10.970]   â™
[00:00:10.970 --> 00:00:11.080]  ª
[00:00:11.080 --> 00:00:12.250]   Generation
[00:00:12.250 --> 00:00:12.480]   we
[00:00:12.480 --> 00:00:12.830]  'll
[00:00:12.830 --> 00:00:13.180]   see
[00:00:13.180 --> 00:00:13.880]   heroes
[00:00:13.880 --> 00:00:14.110]   â™
[00:00:14.110 --> 00:00:14.280]  ª
[00:00:14.280 --> 00:00:14.500]   â™
[00:00:14.500 --> 00:00:14.610]  ª
[00:00:14.610 --> 00:00:15.720]   Generation
[00:00:15.720 --> 00:00:15.940]   we
[00:00:15.940 --> 00:00:16.270]  'll
[00:00:16.270 --> 00:00:16.600]   see
[00:00:16.600 --> 00:00:17.260]   heroes
[00:00:17.260 --> 00:00:17.480]   â™
[00:00:17.480 --> 00:00:17.620]  ª
[00:00:17.620 --> 00:00:17.840]   â™
[00:00:17.840 --> 00:00:17.940]  ª
[00:00:17.940 --> 00:00:19.030]   Generation
[00:00:19.030 --> 00:00:19.250]   we
[00:00:19.250 --> 00:00:19.570]  'll
[00:00:19.570 --> 00:00:19.900]   see
[00:00:19.900 --> 00:00:20.550]   heroes
[00:00:20.550 --> 00:00:20.770]   â™
[00:00:20.770 --> 00:00:20.920]  ª
[00:00:20.920 --> 00:00:21.320]   Welcome
[00:00:21.320 --> 00:00:21.430]   to
