
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.970]   This
[00:00:00.970 --> 00:00:01.250]   show
[00:00:01.250 --> 00:00:01.500]   is
[00:00:01.500 --> 00:00:03.170]   distributed
[00:00:03.170 --> 00:00:03.770]   by
[00:00:03.770 --> 00:00:04.570]   someone
[00:00:04.570 --> 00:00:05.450]  .
[00:00:05.450 --> 00:00:05.510]   Let
[00:00:05.510 --> 00:00:05.850]  's
[00:00:05.850 --> 00:00:06.040]   go
[00:00:06.040 --> 00:00:06.500]  .
[00:00:27.920 --> 00:00:27.920]  
[00:00:27.920 --> 00:00:28.310]   Welcome
[00:00:28.310 --> 00:00:28.420]   to
[00:00:28.420 --> 00:00:28.810]   episode
[00:00:28.810 --> 00:00:28.860]   a
[00:00:28.860 --> 00:00:29.250]   hundred
[00:00:29.250 --> 00:00:29.420]   and
[00:00:29.420 --> 00:00:29.760]   ninety
[00:00:29.760 --> 00:00:30.040]   eight
[00:00:30.040 --> 00:00:30.150]   of
[00:00:30.150 --> 00:00:30.370]   Tech
[00:00:30.370 --> 00:00:30.420]  S
[00:00:30.420 --> 00:00:30.590]  ick
[00:00:30.590 --> 00:00:30.930]   hosted
[00:00:30.930 --> 00:00:31.040]   by
[00:00:31.040 --> 00:00:31.400]   myself
[00:00:31.400 --> 00:00:31.720]   Justin
[00:00:31.720 --> 00:00:31.830]  ,
[00:00:31.830 --> 00:00:32.220]   Vincent
[00:00:32.220 --> 00:00:32.390]   and
[00:00:32.390 --> 00:00:32.670]   Jason
[00:00:32.670 --> 00:00:33.060]   Roberts
[00:00:33.060 --> 00:00:33.310]  .
[00:00:33.310 --> 00:00:33.490]   Well
[00:00:33.490 --> 00:00:33.780]   Jason
[00:00:33.780 --> 00:00:33.810]  ,
[00:00:33.810 --> 00:00:33.900]   how
[00:00:33.900 --> 00:00:34.020]   you
[00:00:34.020 --> 00:00:34.230]   doing
[00:00:34.230 --> 00:00:34.440]   today
[00:00:34.440 --> 00:00:34.960]  ? [SPEAKER_TURN]
[00:00:35.300 --> 00:00:35.400]  
[00:00:35.400 --> 00:00:35.650]   Doing
[00:00:35.650 --> 00:00:35.930]   well
[00:00:35.930 --> 00:00:36.240]  ,
[00:00:36.240 --> 00:00:36.340]   been
[00:00:36.340 --> 00:00:36.410]   a
[00:00:36.410 --> 00:00:37.110]   productive
[00:00:37.110 --> 00:00:37.370]   day
[00:00:37.370 --> 00:00:37.460]   so
[00:00:37.460 --> 00:00:37.690]   far
[00:00:37.690 --> 00:00:37.870]  .
[00:00:37.870 --> 00:00:37.940]   I
[00:00:37.940 --> 00:00:38.150]   got
[00:00:38.150 --> 00:00:38.500]   out
[00:00:38.500 --> 00:00:38.520]   of
[00:00:38.520 --> 00:00:38.710]   the
[00:00:38.710 --> 00:00:38.990]   gate
[00:00:38.990 --> 00:00:39.360]   like
[00:00:39.360 --> 00:00:39.410]   at
[00:00:39.410 --> 00:00:39.760]   eight
[00:00:39.760 --> 00:00:40.180]   thirty
[00:00:40.180 --> 00:00:40.340]   so
[00:00:40.340 --> 00:00:40.600]   this
[00:00:40.600 --> 00:00:40.740]   is
[00:00:40.740 --> 00:00:40.950]   for
[00:00:40.950 --> 00:00:41.570]   our
[00:00:41.570 --> 00:00:41.790]   listeners
[00:00:41.790 --> 00:00:42.000]   who
[00:00:42.000 --> 00:00:42.210]   don
[00:00:42.210 --> 00:00:42.340]  't
[00:00:42.340 --> 00:00:42.620]   know
[00:00:42.620 --> 00:00:42.900]   what
[00:00:42.900 --> 00:00:43.110]   day
[00:00:43.110 --> 00:00:43.250]   it
[00:00:43.250 --> 00:00:43.390]   is
[00:00:43.390 --> 00:00:43.730]   they
[00:00:43.730 --> 00:00:43.870]  're
[00:00:43.870 --> 00:00:44.000]  ,
[00:00:44.000 --> 00:00:44.630]   recording
[00:00:44.630 --> 00:00:44.920]   this
[00:00:44.920 --> 00:00:45.050]   it
[00:00:45.050 --> 00:00:45.180]  's
[00:00:45.180 --> 00:00:45.320]   uh
[00:00:45.320 --> 00:00:45.770]   Sunday
[00:00:45.770 --> 00:00:46.370]   afternoon
[00:00:46.370 --> 00:00:46.500]  ,
[00:00:46.500 --> 00:00:46.640]   so
[00:00:46.640 --> 00:00:46.920]   this
[00:00:46.920 --> 00:00:47.160]   morning
[00:00:47.160 --> 00:00:47.760]   I
[00:00:47.760 --> 00:00:47.780]   woke
[00:00:47.780 --> 00:00:47.900]   up
[00:00:47.900 --> 00:00:47.970]   I
[00:00:47.970 --> 00:00:48.040]   g
[00:00:48.040 --> 00:00:48.250]   you
[00:00:48.250 --> 00:00:49.160]   know
[00:00:49.160 --> 00:00:49.210]   typically
[00:00:49.210 --> 00:00:49.300]   at
[00:00:49.300 --> 00:00:49.370]   a
[00:00:49.370 --> 00:00:49.900]   typical
[00:00:49.900 --> 00:00:50.140]   time
[00:00:50.140 --> 00:00:50.280]   at
[00:00:50.280 --> 00:00:50.560]   like
[00:00:50.560 --> 00:00:50.910]   seven
[00:00:50.910 --> 00:00:51.330]   thirty
[00:00:51.330 --> 00:00:51.540]   you
[00:00:51.540 --> 00:00:51.820]   know
[00:00:51.820 --> 00:00:51.890]   '
[00:00:51.890 --> 00:00:52.230]  cause
[00:00:52.230 --> 00:00:52.720]   kids
[00:00:52.720 --> 00:00:52.730]   our
