
[00:00:00.000 --> 00:00:00.910]  
[00:00:00.910 --> 00:00:22.400]   Welcome
[00:00:22.400 --> 00:00:22.540]   to
[00:00:22.540 --> 00:00:23.030]   episode
[00:00:23.030 --> 00:00:23.240]   two
[00:00:23.240 --> 00:00:23.730]   hundred
[00:00:23.730 --> 00:00:23.940]   and
[00:00:23.940 --> 00:00:24.300]   fifty
[00:00:24.300 --> 00:00:24.570]   four
[00:00:24.570 --> 00:00:24.710]   of
[00:00:24.710 --> 00:00:24.920]   Tex
[00:00:24.920 --> 00:00:25.130]  ing
[00:00:25.130 --> 00:00:25.330]  ,
[00:00:25.330 --> 00:00:25.690]   hosted
[00:00:25.690 --> 00:00:25.830]   by
[00:00:25.830 --> 00:00:26.250]   myself
[00:00:26.250 --> 00:00:26.670]   Justin
[00:00:26.670 --> 00:00:26.810]  ,
[00:00:26.810 --> 00:00:27.290]   Vincent
[00:00:27.290 --> 00:00:27.440]  ,
[00:00:27.440 --> 00:00:27.820]   Jason
[00:00:27.820 --> 00:00:29.100]   Roberts
[00:00:29.100 --> 00:00:29.100]  .
[00:00:29.100 --> 00:00:29.220]   Hey
[00:00:29.220 --> 00:00:29.450]   Jason
[00:00:29.450 --> 00:00:29.540]   how
[00:00:29.540 --> 00:00:29.620]  ,
[00:00:29.620 --> 00:00:29.750]   you
[00:00:29.750 --> 00:00:29.980]   doing
[00:00:29.980 --> 00:00:29.980]  ?
[00:00:30.900 --> 00:00:30.200]   Doing
[00:00:30.200 --> 00:00:30.560]   alright
[00:00:30.560 --> 00:00:30.690]  .
[00:00:30.690 --> 00:00:30.970]   How
[00:00:30.970 --> 00:00:31.080]   about
[00:00:31.080 --> 00:00:31.470]   yourself
[00:00:31.470 --> 00:00:31.650]   you
[00:00:31.650 --> 00:00:31.700]  ,
[00:00:31.700 --> 00:00:31.910]   look
[00:00:31.910 --> 00:00:31.930]   a
[00:00:31.930 --> 00:00:32.220]   little
[00:00:32.220 --> 00:00:32.510]   sleepy
[00:00:32.510 --> 00:00:33.140]  . [SPEAKER_TURN]
[00:00:33.140 --> 00:00:33.220]   A
[00:00:33.220 --> 00:00:33.340]   bit
[00:00:33.340 --> 00:00:33.560]   tired
[00:00:33.560 --> 00:00:33.650]   um
[00:00:33.650 --> 00:00:33.690]   I
[00:00:33.690 --> 00:00:33.910]   wasn
[00:00:33.910 --> 00:00:33.970]  't
[00:00:33.970 --> 00:00:34.410]   expecting
[00:00:34.410 --> 00:00:34.600]   this
[00:00:34.600 --> 00:00:34.940]   podcast
[00:00:34.940 --> 00:00:34.980]   '
[00:00:34.980 --> 00:00:35.210]  cause
[00:00:35.210 --> 00:00:35.360]   you
[00:00:35.360 --> 00:00:35.550]   told
[00:00:35.550 --> 00:00:35.640]   me
[00:00:35.640 --> 00:00:35.830]   that
[00:00:35.830 --> 00:00:35.920]   we
[00:00:35.920 --> 00:00:36.160]   weren
[00:00:36.160 --> 00:00:36.240]  't
[00:00:36.240 --> 00:00:36.510]   gonna
[00:00:36.510 --> 00:00:36.580]   do
[00:00:36.580 --> 00:00:36.720]   one
[00:00:36.720 --> 00:00:36.960]   today
[00:00:36.960 --> 00:00:37.680]  . [SPEAKER_TURN]
[00:00:37.680 --> 00:00:37.740]  
[00:00:37.740 --> 00:00:37.920]   Yeah
[00:00:37.920 --> 00:00:38.160]   well
[00:00:38.160 --> 00:00:38.220]   I
[00:00:38.220 --> 00:00:38.650]   thought
[00:00:38.650 --> 00:00:38.730]   I
[00:00:38.730 --> 00:00:38.890]   had
[00:00:38.890 --> 00:00:38.960]   a
[00:00:38.960 --> 00:00:39.450]   conference
[00:00:39.450 --> 00:00:39.910]   call
[00:00:39.910 --> 00:00:40.360]   scheduled
[00:00:40.360 --> 00:00:40.480]   at
[00:00:40.480 --> 00:00:40.730]   four
[00:00:40.730 --> 00:00:40.970]   four
[00:00:40.970 --> 00:00:41.200]   four
[00:00:41.200 --> 00:00:41.380]   and
[00:00:41.380 --> 00:00:41.500]   uh
[00:00:41.500 --> 00:00:41.740]   when
[00:00:41.740 --> 00:00:41.980]   that
[00:00:41.980 --> 00:00:42.220]   didn
[00:00:42.220 --> 00:00:42.340]  't
[00:00:42.340 --> 00:00:42.770]   happen
[00:00:42.770 --> 00:00:42.780]   I
[00:00:42.780 --> 00:00:43.200]   figured
[00:00:43.200 --> 00:00:43.380]   you
[00:00:43.380 --> 00:00:43.620]   know
[00:00:43.620 --> 00:00:43.740]   it
[00:00:43.740 --> 00:00:43.860]  'd
[00:00:43.860 --> 00:00:43.980]   be
[00:00:43.980 --> 00:00:44.440]   better
[00:00:44.440 --> 00:00:44.470]   to
[00:00:44.470 --> 00:00:44.710]   just
[00:00:44.710 --> 00:00:44.890]   get
[00:00:44.890 --> 00:00:45.130]   this
[00:00:45.130 --> 00:00:45.450]   get
[00:00:45.450 --> 00:00:45.490]   the
[00:00:45.490 --> 00:00:45.730]   show
[00:00:45.730 --> 00:00:45.910]   out
