
[00:00:00.000 --> 00:00:00.890]  
[00:00:00.890 --> 00:00:02.150]   [
[00:00:02.150 --> 00:00:12.830]  Music
[00:00:12.830 --> 00:00:14.980]  ]
[00:00:29.420 --> 00:00:29.420]  
[00:00:29.420 --> 00:00:29.800]   Welcome
[00:00:29.800 --> 00:00:29.910]   to
[00:00:29.910 --> 00:00:30.290]   episode
[00:00:30.290 --> 00:00:30.560]   three
[00:00:30.560 --> 00:00:30.940]   hundred
[00:00:30.940 --> 00:00:31.100]   and
[00:00:31.100 --> 00:00:31.430]   thirty
[00:00:31.430 --> 00:00:31.650]   nine
[00:00:31.650 --> 00:00:31.760]   of
[00:00:31.760 --> 00:00:31.980]   Tech
[00:00:31.980 --> 00:00:32.030]  S
[00:00:32.030 --> 00:00:32.190]  ane
[00:00:32.190 --> 00:00:32.350]  .
[00:00:32.350 --> 00:00:32.570]   Host
[00:00:32.570 --> 00:00:32.680]   of
[00:00:32.680 --> 00:00:32.900]   what
[00:00:32.900 --> 00:00:33.220]   myself
[00:00:33.220 --> 00:00:33.560]   Justin
[00:00:33.560 --> 00:00:33.660]  ,
[00:00:33.660 --> 00:00:34.050]   Vincent
[00:00:34.050 --> 00:00:34.210]   and
[00:00:34.210 --> 00:00:34.480]   Jason
[00:00:34.480 --> 00:00:34.860]   Roberts
[00:00:34.860 --> 00:00:35.150]  .
[00:00:35.150 --> 00:00:35.430]   Well
[00:00:35.430 --> 00:00:35.670]   hey
[00:00:35.670 --> 00:00:35.970]   there
[00:00:35.970 --> 00:00:36.190]   sir
[00:00:36.190 --> 00:00:36.290]  ,
[00:00:36.290 --> 00:00:36.490]   how
[00:00:36.490 --> 00:00:36.690]   you
[00:00:36.690 --> 00:00:37.030]   doing
[00:00:37.030 --> 00:00:37.280]  ? [SPEAKER_TURN]
[00:00:37.280 --> 00:00:37.310]   I
[00:00:37.310 --> 00:00:37.370]  'm
[00:00:37.370 --> 00:00:37.680]   doing
[00:00:37.680 --> 00:00:37.760]   great
[00:00:37.760 --> 00:00:37.870]   how
[00:00:37.870 --> 00:00:37.940]  ,
[00:00:37.940 --> 00:00:38.130]   about
[00:00:38.130 --> 00:00:38.440]   yourself
[00:00:38.440 --> 00:00:38.920]  ? [SPEAKER_TURN]
