
[00:00:00.160 --> 00:00:03.930]   [
[00:00:03.930 --> 00:00:23.350]  Music
[00:00:23.350 --> 00:00:27.260]  ]
[00:00:27.260 --> 00:00:27.270]  
[00:00:27.270 --> 00:00:27.930]   Jason
[00:00:27.930 --> 00:00:28.880]   Vincent
[00:00:28.880 --> 00:00:28.890]  ,
[00:00:28.890 --> 00:00:29.080]   J
[00:00:29.080 --> 00:00:29.760]   Jason
[00:00:29.760 --> 00:00:30.970]   Roberts
[00:00:30.970 --> 00:00:31.540]  .
[00:00:31.540 --> 00:00:31.610]   On
[00:00:31.610 --> 00:00:31.960]   today
[00:00:31.960 --> 00:00:32.000]  's
[00:00:32.000 --> 00:00:32.230]   show
[00:00:32.230 --> 00:00:32.270]   I
[00:00:32.270 --> 00:00:32.380]  'm
[00:00:32.380 --> 00:00:32.760]   turning
[00:00:32.760 --> 00:00:32.940]   the
[00:00:32.940 --> 00:00:33.280]   tables
[00:00:33.280 --> 00:00:33.390]   on
[00:00:33.390 --> 00:00:33.670]   Jason
[00:00:33.670 --> 00:00:33.840]   and
[00:00:33.840 --> 00:00:34.180]   Justin
[00:00:34.180 --> 00:00:34.350]   and
[00:00:34.350 --> 00:00:34.400]   I
[00:00:34.400 --> 00:00:34.560]  'm
[00:00:34.560 --> 00:00:34.620]   uh
[00:00:34.620 --> 00:00:35.010]   leading
[00:00:35.010 --> 00:00:35.450]   through
[00:00:35.450 --> 00:00:35.510]   a
[00:00:35.510 --> 00:00:35.730]   bunch
[00:00:35.730 --> 00:00:35.840]   of
[00:00:35.840 --> 00:00:36.010]   the
[00:00:36.010 --> 00:00:36.350]   topics
[00:00:36.350 --> 00:00:36.460]   of
[00:00:36.460 --> 00:00:36.630]   the
[00:00:36.630 --> 00:00:36.850]   last
[00:00:36.850 --> 00:00:37.020]   two
[00:00:37.020 --> 00:00:37.450]   hundred
[00:00:37.450 --> 00:00:37.640]   and
[00:00:37.640 --> 00:00:37.920]   ninety
[00:00:37.920 --> 00:00:38.130]   nine
[00:00:38.130 --> 00:00:38.360]   and
[00:00:38.360 --> 00:00:38.400]   a
[00:00:38.400 --> 00:00:38.580]   half
[00:00:38.580 --> 00:00:39.030]   episodes
[00:00:39.030 --> 00:00:39.200]   and
[00:00:39.200 --> 00:00:39.310]   we
[00:00:39.310 --> 00:00:39.470]  're
[00:00:39.470 --> 00:00:39.810]   gonna
[00:00:39.810 --> 00:00:40.270]   obviously
[00:00:40.270 --> 00:00:40.440]   not
[00:00:40.440 --> 00:00:40.550]   be
[00:00:40.550 --> 00:00:40.800]   able
[00:00:40.800 --> 00:00:40.880]   to
[00:00:40.880 --> 00:00:41.060]   get
[00:00:41.060 --> 00:00:41.440]   through
[00:00:41.440 --> 00:00:42.010]   everything
[00:00:42.010 --> 00:00:42.290]   today
[00:00:42.290 --> 00:00:42.460]   but
[00:00:42.460 --> 00:00:42.600]   we
[00:00:42.600 --> 00:00:42.740]  're
[00:00:42.740 --> 00:00:43.240]   gonna
[00:00:43.240 --> 00:00:43.270]   talk
[00:00:43.270 --> 00:00:43.520]   about
[00:00:43.520 --> 00:00:44.000]   projects
[00:00:44.000 --> 00:00:44.270]   they
[00:00:44.270 --> 00:00:44.360]  've
[00:00:44.360 --> 00:00:44.580]   done
[00:00:44.580 --> 00:00:44.690]  ,
[00:00:44.690 --> 00:00:45.200]   unearthed
[00:00:45.200 --> 00:00:45.660]   old
[00:00:45.660 --> 00:00:45.890]   memes
[00:00:45.890 --> 00:00:45.980]  ,
[00:00:45.980 --> 00:00:46.210]   talk
[00:00:46.210 --> 00:00:46.390]   about
[00:00:46.390 --> 00:00:46.730]   notable
[00:00:46.730 --> 00:00:47.010]   guests
[00:00:47.010 --> 00:00:47.200]   and
[00:00:47.200 --> 00:00:47.290]   all
[00:00:47.290 --> 00:00:47.520]   kinds
[00:00:47.520 --> 00:00:47.620]   of
[00:00:47.620 --> 00:00:47.840]   stuff
[00:00:47.840 --> 00:00:47.990]   so
[00:00:47.990 --> 00:00:48.160]   stick
[00:00:48.160 --> 00:00:48.390]   with
[00:00:48.390 --> 00:00:48.440]   us
[00:00:48.440 --> 00:00:48.530]   it
[00:00:48.530 --> 00:00:48.620]  's
[00:00:48.620 --> 00:00:49.030]   probably
[00:00:49.030 --> 00:00:49.230]   gonna
[00:00:49.230 --> 00:00:49.320]   be
[00:00:49.320 --> 00:00:49.360]   a
[00:00:49.360 --> 00:00:49.550]   long
[00:00:49.550 --> 00:00:49.690]   one
[00:00:49.690 --> 00:00:49.940]  . [SPEAKER_TURN]
[00:00:49.940 --> 00:00:50.310]   Oh
[00:00:50.310 --> 00:00:50.330]   g
[00:00:50.330 --> 00:00:50.720]  eez
[00:00:50.720 --> 00:00:50.980]  ,
[00:00:50.980 --> 00:00:51.110]   a
[00:00:51.110 --> 00:00:51.640]   long
[00:00:51.640 --> 00:00:52.030]   one
[00:00:52.030 --> 00:00:52.210]   I
[00:00:52.210 --> 00:00:52.550]  .
[00:00:52.550 --> 00:00:52.940]   eat
[00:00:52.940 --> 00:00:53.600]   lunch
[00:00:53.600 --> 00:00:54.180]  . [SPEAKER_TURN]
[00:00:54.560 --> 00:00:54.610]  
[00:00:54.610 --> 00:00:54.770]   Well
[00:00:54.770 --> 00:00:54.930]   you
[00:00:54.930 --> 00:00:55.090]   may
[00:00:55.090 --> 00:00:55.300]   need
[00:00:55.300 --> 00:00:55.440]   to
[00:00:55.440 --> 00:00:55.620]   step
[00:00:55.620 --> 00:00:55.780]   out
[00:00:55.780 --> 00:00:56.100]   Justin
[00:00:56.100 --> 00:00:56.260]   and
[00:00:56.260 --> 00:00:56.310]   I
[00:00:56.310 --> 00:00:56.470]   can
[00:00:56.470 --> 00:00:56.680]   kill
[00:00:56.680 --> 00:00:57.110]   Cheryl
