
[00:00:00.000 --> 00:00:00.200]  
[00:00:00.200 --> 00:00:00.970]   This
[00:00:00.970 --> 00:00:01.260]   show
[00:00:01.260 --> 00:00:01.500]   is
[00:00:01.500 --> 00:00:03.180]   distributed
[00:00:03.180 --> 00:00:03.770]   by
[00:00:03.770 --> 00:00:04.570]   someone
[00:00:04.570 --> 00:00:04.990]  .
[00:00:04.990 --> 00:00:05.540]   Next
[00:00:05.540 --> 00:00:06.080]   time
[00:00:06.080 --> 00:00:06.500]  .
[00:00:28.000 --> 00:00:28.000]  
[00:00:28.000 --> 00:00:28.360]   Welcome
[00:00:28.360 --> 00:00:28.460]   to
[00:00:28.460 --> 00:00:28.820]   episode
[00:00:28.820 --> 00:00:28.870]   a
[00:00:28.870 --> 00:00:29.230]   hundred
[00:00:29.230 --> 00:00:29.370]   and
[00:00:29.370 --> 00:00:29.630]   sixty
[00:00:29.630 --> 00:00:29.730]   of
[00:00:29.730 --> 00:00:30.080]   texting
[00:00:30.080 --> 00:00:30.240]  .
[00:00:30.240 --> 00:00:30.440]   Host
[00:00:30.440 --> 00:00:30.530]   to
[00:00:30.530 --> 00:00:30.690]   one
[00:00:30.690 --> 00:00:31.000]   myself
[00:00:31.000 --> 00:00:31.310]   Justin
[00:00:31.310 --> 00:00:31.410]  ,
[00:00:31.410 --> 00:00:31.770]   Vincent
[00:00:31.770 --> 00:00:32.010]   Jason
[00:00:32.010 --> 00:00:32.120]  ,
[00:00:32.120 --> 00:00:32.480]   Roberts
[00:00:32.480 --> 00:00:32.570]   is
[00:00:32.570 --> 00:00:33.150]   unavailable
[00:00:33.150 --> 00:00:33.250]   to
[00:00:33.250 --> 00:00:33.350]   be
[00:00:33.350 --> 00:00:33.560]   with
[00:00:33.560 --> 00:00:33.650]   us
[00:00:33.650 --> 00:00:33.990]   today
[00:00:33.990 --> 00:00:34.290]   because
[00:00:34.290 --> 00:00:34.360]   uh
[00:00:34.360 --> 00:00:34.510]   due
[00:00:34.510 --> 00:00:34.610]   to
[00:00:34.610 --> 00:00:34.760]   an
[00:00:34.760 --> 00:00:35.070]   illness
[00:00:35.070 --> 00:00:35.170]   in
[00:00:35.170 --> 00:00:35.220]   a
[00:00:35.220 --> 00:00:35.530]   family
[00:00:35.530 --> 00:00:35.980]  .
[00:00:35.980 --> 00:00:35.980]   So
[00:00:35.980 --> 00:00:36.330]   um
[00:00:36.330 --> 00:00:36.410]   best
[00:00:36.410 --> 00:00:36.850]   wishes
[00:00:36.850 --> 00:00:36.990]   to
[00:00:36.990 --> 00:00:37.460]   Jason
[00:00:37.460 --> 00:00:37.710]   sorry
[00:00:37.710 --> 00:00:37.880]  ,
[00:00:37.880 --> 00:00:37.990]   he
[00:00:37.990 --> 00:00:38.210]   can
[00:00:38.210 --> 00:00:38.350]  't
[00:00:38.350 --> 00:00:38.490]   be
[00:00:38.490 --> 00:00:38.770]   here
[00:00:38.770 --> 00:00:39.230]  .
[00:00:39.230 --> 00:00:39.230]   We
[00:00:39.230 --> 00:00:39.660]   have
[00:00:39.660 --> 00:00:39.760]   two
[00:00:39.760 --> 00:00:40.300]   special
[00:00:40.300 --> 00:00:40.700]   guest
[00:00:40.700 --> 00:00:41.440]   hosts
[00:00:41.440 --> 00:00:41.520]   Peter
[00:00:41.520 --> 00:00:41.640]  ,
[00:00:41.640 --> 00:00:42.050]   Cooper
[00:00:42.050 --> 00:00:42.280]   and
[00:00:42.280 --> 00:00:42.580]   Alex
[00:00:42.580 --> 00:00:42.810]   Gem
[00:00:42.810 --> 00:00:43.110]  mill
[00:00:43.110 --> 00:00:43.340]   and
[00:00:43.340 --> 00:00:43.560]   um [SPEAKER_TURN]
[00:00:43.560 --> 00:00:43.650]   M
[00:00:43.650 --> 00:00:43.680]  m
[00:00:43.680 --> 00:00:43.880]   the
[00:00:43.880 --> 00:00:44.370]   English
[00:00:44.370 --> 00:00:44.880]   invasion
[00:00:44.880 --> 00:00:45.120]  . [SPEAKER_TURN]
[00:00:45.120 --> 00:00:45.400]   I
[00:00:45.400 --> 00:00:45.410]   always
[00:00:45.410 --> 00:00:45.700]   forget
[00:00:45.700 --> 00:00:45.800]   your
[00:00:45.800 --> 00:00:46.080]   English
[00:00:46.080 --> 00:00:46.520]  . [SPEAKER_TURN]
[00:00:46.520 --> 00:00:46.580]   Oh
[00:00:46.580 --> 00:00:46.780]   really
[00:00:46.780 --> 00:00:46.910]   well
[00:00:46.910 --> 00:00:47.040]   what
[00:00:47.040 --> 00:00:47.100]   do
[00:00:47.100 --> 00:00:47.200]   you
[00:00:47.200 --> 00:00:47.360]   think
[00:00:47.360 --> 00:00:47.500]   what
[00:00:47.500 --> 00:00:47.660]   do
[00:00:47.660 --> 00:00:47.720]   you
[00:00:47.720 --> 00:00:47.830]   think
[00:00:47.830 --> 00:00:47.880]   I
[00:00:47.880 --> 00:00:47.920]   am
[00:00:47.920 --> 00:00:48.190]   American
[00:00:48.190 --> 00:00:48.680]  ? [SPEAKER_TURN]
[00:00:48.900 --> 00:00:48.960]  
